,col0,col1,col2,col3,col4
0,386.4,386.5445,Hand,FailOnTouchObstacleShort,RightGate
1,386.4,386.5445,Hand,FailOnTouchObstacleLong,LeftGate
2,386.4,386.5445,Hand,FailOnTouchObstacleMed,RightGate
3,386.4333,386.6,HandToWrist,FailOnTouchObstacleShort,RightGate
4,386.4333,386.6889,HandToWrist,FailOnTouchObstacleLong,LeftGate
5,386.4333,386.6889,HandToWrist,FailOnTouchObstacleMed,RightGate
6,386.5334,387.2889,WristToElbow,FailOnTouchObstacleLong,LeftGate
7,386.5334,387.2889,WristToElbow,FailOnTouchObstacleMed,RightGate
8,386.8732,388.5376,Hand,FailOnTouchObstacleMed-1,PickedUp
9,387.1,387.4778,HandToWrist,FailOnTouchObstacleLong,LeftGate
10,387.1,387.4778,HandToWrist,FailOnTouchObstacleMed,RightGate
11,387.2444,387.4889,Hand,FailOnTouchObstacleShort,RightGate
12,387.2444,387.5111,Hand,FailOnTouchObstacleLong,LeftGate
13,387.2444,387.5111,Hand,FailOnTouchObstacleMed,RightGate
14,389.0778,389.1889,Hand,FailOnTouchObstacleMed-1,LeftGate
15,389.1111,389.2556,HandToWrist,FailOnTouchObstacleMed-1,LeftGate
16,389.1778,390.9222,WristToElbow,FailOnTouchObstacleMed-1,LeftGate
17,389.2111,389.3333,Hand,FailOnTouchObstacleMed,RightGate
18,389.2111,389.3333,Hand,FailOnTouchObstacleLong,LeftGate
19,389.2222,389.3333,Hand,FailOnTouchObstacleShort,RightGate
20,389.2444,389.4111,HandToWrist,FailOnTouchObstacleLong,LeftGate
21,389.2444,389.4111,HandToWrist,FailOnTouchObstacleMed,RightGate
22,389.2889,389.4111,HandToWrist,FailOnTouchObstacleShort,RightGate
23,389.3222,390.7,WristToElbow,FailOnTouchObstacleLong,LeftGate
24,389.3222,390.7,WristToElbow,FailOnTouchObstacleMed,RightGate
25,389.3889,389.4333,WristToElbow,FailOnTouchObstacleShort,RightGate
26,389.5,389.7556,Hand,FailOnTouchObstacleShort-1,RightGate
27,389.5,389.7556,Hand,FailOnTouchObstacleLong-1,RightGate
28,389.5556,390.4111,HandToWrist,FailOnTouchObstacleShort-1,RightGate
29,389.5556,390.4111,HandToWrist,FailOnTouchObstacleLong-1,RightGate
30,389.7222,390.2556,WristToElbow,FailOnTouchObstacleShort-1,RightGate
31,389.7222,390.2556,WristToElbow,FailOnTouchObstacleLong-1,RightGate
32,389.9897,,Hand,Target,PickedUp
33,390.2111,390.4333,Hand,FailOnTouchObstacleLong-1,RightGate
34,390.2111,390.4333,Hand,FailOnTouchObstacleShort-1,RightGate
35,390.5667,390.8222,HandToWrist,FailOnTouchObstacleLong,LeftGate
36,390.5667,390.8222,HandToWrist,FailOnTouchObstacleMed,RightGate
37,390.6667,390.8333,Hand,FailOnTouchObstacleLong,LeftGate
38,390.6667,390.8333,Hand,FailOnTouchObstacleMed,RightGate
39,390.8,391.0222,HandToWrist,FailOnTouchObstacleMed-1,LeftGate
40,390.8778,391.0445,Hand,FailOnTouchObstacleMed-1,LeftGate
