,col0,col1,col2,col3,col4
0,Unutilized Abstraction,PlacingObjects,AppDelegate,D:\research\architectureSmells\repos\xamarin_monotouch-samples\ios11\ARKitPlacingObjects\PlacingObjects\AppDelegate.cs,The tool detected the smell in this class because this class is potentially unused.   (Please ignore the smell if the reported class is auto-generated and/or used to serve a specific known purpose.)
1,Unutilized Abstraction,PlacingObjects,SessionDelegateCallbackProxy,D:\research\architectureSmells\repos\xamarin_monotouch-samples\ios11\ARKitPlacingObjects\PlacingObjects\ViewController.cs,The tool detected the smell in this class because this class is potentially unused.   (Please ignore the smell if the reported class is auto-generated and/or used to serve a specific known purpose.)
2,Duplicate Abstraction,PlacingObjects,TextManager,D:\research\architectureSmells\repos\xamarin_monotouch-samples\ios11\ARKitPlacingObjects\PlacingObjects\Utilities\TextManager.cs,The tool detected the smell in this class because a set of code clones has been found and at least one of the clones found in this class. List of code clones with start and end line numbers are:  TextManager (D:\research\architectureSmells\repos\xamarin_monotouch-samples\ios11\ARKitPlacingObjects\PlacingObjects\Utilities\TextManager.cs' [118' 145])' TextManager (D:\research\architectureSmells\repos\xamarin_monotouch-samples\ios11\ARKitPlacingObjects\PlacingObjects\Utilities\TextManager.cs' [166' 193])
3,Unutilized Abstraction,PlacingObjects,SCNNodeExtensions,D:\research\architectureSmells\repos\xamarin_monotouch-samples\ios11\ARKitPlacingObjects\PlacingObjects\ObjectExtensions\SCNNodeExtensions.cs,The tool detected the smell in this class because this class is potentially unused.   (Please ignore the smell if the reported class is auto-generated and/or used to serve a specific known purpose.)
4,Unutilized Abstraction,PlacingObjects,Direction_Extensions,D:\research\architectureSmells\repos\xamarin_monotouch-samples\ios11\ARKitPlacingObjects\PlacingObjects\UIElements\FocusSquareSegment.cs,The tool detected the smell in this class because this class is potentially unused.   (Please ignore the smell if the reported class is auto-generated and/or used to serve a specific known purpose.)
5,Unutilized Abstraction,PlacingObjects,UIImageExtensions,D:\research\architectureSmells\repos\xamarin_monotouch-samples\ios11\ARKitPlacingObjects\PlacingObjects\ObjectExtensions\UIImageExtensions.cs,The tool detected the smell in this class because this class is potentially unused.   (Please ignore the smell if the reported class is auto-generated and/or used to serve a specific known purpose.)
6,Unutilized Abstraction,PlacingObjects,CGSizeExtensions,D:\research\architectureSmells\repos\xamarin_monotouch-samples\ios11\ARKitPlacingObjects\PlacingObjects\ObjectExtensions\CGSizeExtensions.cs,The tool detected the smell in this class because this class is potentially unused.   (Please ignore the smell if the reported class is auto-generated and/or used to serve a specific known purpose.)
7,Unutilized Abstraction,PlacingObjects,CGRectExtensions,D:\research\architectureSmells\repos\xamarin_monotouch-samples\ios11\ARKitPlacingObjects\PlacingObjects\ObjectExtensions\CGRectExtensions.cs,The tool detected the smell in this class because this class is potentially unused.   (Please ignore the smell if the reported class is auto-generated and/or used to serve a specific known purpose.)
8,Unutilized Abstraction,PlacingObjects,ARSCNViewExtensions,D:\research\architectureSmells\repos\xamarin_monotouch-samples\ios11\ARKitPlacingObjects\PlacingObjects\ObjectExtensions\ARSCNViewExtensions.cs,The tool detected the smell in this class because this class is potentially unused.   (Please ignore the smell if the reported class is auto-generated and/or used to serve a specific known purpose.)
9,Unutilized Abstraction,PlacingObjects,ListExtensions,D:\research\architectureSmells\repos\xamarin_monotouch-samples\ios11\ARKitPlacingObjects\PlacingObjects\ObjectExtensions\ListExtensions.cs,The tool detected the smell in this class because this class is potentially unused.   (Please ignore the smell if the reported class is auto-generated and/or used to serve a specific known purpose.)
