,col0,col1,col2,col3,col4,col5,col6,col7,col8,col9,col10,col11,col12
0,"commons-io-2.6-src (17 Apr, 2019 3:40:16 PM)/commons-io-2.6-src/src/main/java",org.apache.commons.io.monitor,FileEntry,50,123,9,15,16,29,18,14,10,10
1,"commons-io-2.6-src (17 Apr, 2019 3:40:16 PM)/commons-io-2.6-src/src/main/java",org.apache.commons.io.monitor,FileAlterationMonitor,5,179,1,25,2,51,1,24,0,12
2,"commons-io-2.6-src (17 Apr, 2019 3:40:16 PM)/commons-io-2.6-src/src/main/java",org.apache.commons.io.monitor,FileAlterationObserver,48,514,10,60,10,113,11,47,3,20
3,"commons-io-2.6-src (17 Apr, 2019 3:40:16 PM)/commons-io-2.6-src/src/main/java",org.apache.commons.io.monitor,FileAlterationListenerAdaptor,0,11,0,0,0,9,0,9,0,9
4,"commons-io-2.6-src (17 Apr, 2019 3:40:16 PM)/commons-io-2.6-src/src/main/java",org.apache.commons.io.serialization,ValidatingObjectInputStream,6,223,0,18,2,36,0,21,0,12
5,"commons-io-2.6-src (17 Apr, 2019 3:40:16 PM)/commons-io-2.6-src/src/main/java",org.apache.commons.io.serialization,FullClassNameMatcher,0,16,0,0,0,4,0,2,0,2
6,"commons-io-2.6-src (17 Apr, 2019 3:40:16 PM)/commons-io-2.6-src/src/main/java",org.apache.commons.io.serialization,WildcardClassNameMatcher,0,11,0,0,0,4,0,2,0,2
7,"commons-io-2.6-src (17 Apr, 2019 3:40:16 PM)/commons-io-2.6-src/src/main/java",org.apache.commons.io.serialization,RegexpClassNameMatcher,0,24,0,2,0,8,0,4,0,3
8,"commons-io-2.6-src (17 Apr, 2019 3:40:16 PM)/commons-io-2.6-src/src/main/java",org.apache.commons.io.input,WindowsLineEndingInputStream,5,129,0,26,1,42,1,18,1,5
9,"commons-io-2.6-src (17 Apr, 2019 3:40:16 PM)/commons-io-2.6-src/src/main/java",org.apache.commons.io.input,MessageDigestCalculatingInputStream,6,22,0,0,2,7,1,3,1,3
10,"commons-io-2.6-src (17 Apr, 2019 3:40:16 PM)/commons-io-2.6-src/src/main/java",org.apache.commons.io.input,BoundedReader,0,100,0,12,0,27,0,12,0,6
11,"commons-io-2.6-src (17 Apr, 2019 3:40:16 PM)/commons-io-2.6-src/src/main/java",org.apache.commons.io.input,SwappedDataInputStream,4,97,1,5,1,26,1,18,0,16
12,"commons-io-2.6-src (17 Apr, 2019 3:40:16 PM)/commons-io-2.6-src/src/main/java",org.apache.commons.io.input,CloseShieldInputStream,0,10,0,0,0,4,0,2,0,2
13,"commons-io-2.6-src (17 Apr, 2019 3:40:16 PM)/commons-io-2.6-src/src/main/java",org.apache.commons.io.input,CharSequenceReader,41,129,6,16,6,33,7,13,1,8
14,"commons-io-2.6-src (17 Apr, 2019 3:40:16 PM)/commons-io-2.6-src/src/main/java",org.apache.commons.io.input,DemuxInputStream,12,29,3,1,5,8,3,3,1,3
15,"commons-io-2.6-src (17 Apr, 2019 3:40:16 PM)/commons-io-2.6-src/src/main/java",org.apache.commons.io.input,InfiniteCircularInputStream,0,27,0,0,0,6,0,2,0,2
16,"commons-io-2.6-src (17 Apr, 2019 3:40:16 PM)/commons-io-2.6-src/src/main/java",org.apache.commons.io.input,UnixLineEndingInputStream,5,111,0,24,1,34,1,17,1,5
17,"commons-io-2.6-src (17 Apr, 2019 3:40:16 PM)/commons-io-2.6-src/src/main/java",org.apache.commons.io.input,MessageDigestCalculatingInputStream.MessageDigestMaintainingObserver,6,13,0,0,2,5,1,2,1,2
18,"commons-io-2.6-src (17 Apr, 2019 3:40:16 PM)/commons-io-2.6-src/src/main/java",org.apache.commons.io.input,BOMInputStream,0,359,0,56,0,76,0,46,0,18
19,"commons-io-2.6-src (17 Apr, 2019 3:40:16 PM)/commons-io-2.6-src/src/main/java",org.apache.commons.io.input,NullReader,5,252,0,26,2,63,2,26,2,13
20,"commons-io-2.6-src (17 Apr, 2019 3:40:16 PM)/commons-io-2.6-src/src/main/java",org.apache.commons.io.input,TeeInputStream,10,60,2,6,5,18,2,8,1,5
21,"commons-io-2.6-src (17 Apr, 2019 3:40:16 PM)/commons-io-2.6-src/src/main/java",org.apache.commons.io.input,ClosedInputStream,0,10,0,0,0,3,0,3,0,3
22,"commons-io-2.6-src (17 Apr, 2019 3:40:16 PM)/commons-io-2.6-src/src/main/java",org.apache.commons.io.input,BOMInputStream.new Comparator() {...},0,21,0,4,0,9,0,4,0,2
