,col0,col1,col2,col3
0,c-api/list,,:high,list[low:high]
1,c-api/list,,:high,list[low:high] = itemlist
2,c-api/sequence,,:i2,o[i1:i2]
3,c-api/sequence,,:i2,o[i1:i2] = v
4,c-api/sequence,,:i2,del o[i1:i2]
5,c-api/unicode,,:end,str[start:end]
6,distutils/setupscript,,::,
7,extending/embedding,,:numargs,"if(!PyArg_ParseTuple(args, "":numargs""))"
8,extending/extending,,:set,"if (PyArg_ParseTuple(args, ""O:set_callback"", &temp)) {"
9,extending/extending,,:myfunction,"PyArg_ParseTuple(args, ""D:myfunction"", &c);"
10,extending/newtypes,,:call,"if (!PyArg_ParseTuple(args, ""sss:call"", &arg1, &arg2, &arg3)) {"
11,extending/windows,,:initspam,/export:initspam
12,howto/cporting,,:add,"if (!PyArg_ParseTuple(args, ""ii:add_ints"", &one, &two))"
13,howto/cporting,,:encode,"if (!PyArg_ParseTuple(args, ""O:encode_object"", &myobj))"
14,howto/cporting,,:say,"if (!PyArg_ParseTuple(args, ""U:say_hello"", &name))"
15,howto/curses,,:black,"They are: 0:black, 1:red, 2:green, 3:yellow, 4:blue, 5:magenta, 6:cyan, and"
16,howto/curses,,:blue,"They are: 0:black, 1:red, 2:green, 3:yellow, 4:blue, 5:magenta, 6:cyan, and"
17,howto/curses,,:cyan,"They are: 0:black, 1:red, 2:green, 3:yellow, 4:blue, 5:magenta, 6:cyan, and"
18,howto/curses,,:green,"They are: 0:black, 1:red, 2:green, 3:yellow, 4:blue, 5:magenta, 6:cyan, and"
19,howto/curses,,:magenta,"They are: 0:black, 1:red, 2:green, 3:yellow, 4:blue, 5:magenta, 6:cyan, and"
20,howto/curses,,:red,"They are: 0:black, 1:red, 2:green, 3:yellow, 4:blue, 5:magenta, 6:cyan, and"
21,howto/curses,,:white,7:white.
22,howto/curses,,:yellow,"They are: 0:black, 1:red, 2:green, 3:yellow, 4:blue, 5:magenta, 6:cyan, and"
23,howto/regex,,::,
24,howto/regex,,:foo,(?:foo)
25,howto/urllib2,,:example,"for example ""joe@password:example.com"""
26,howto/webservers,,.. image:,.. image:: http.png
27,library/audioop,,:ipos,"# factor = audioop.findfactor(in_test[ipos*2:ipos*2+len(out_test)],"
28,library/datetime,,:MM,
29,library/datetime,,:SS,
30,library/decimal,,:optional,trailneg:optional trailing minus indicator
31,library/difflib,,:ahi,a[alo:ahi]
32,library/difflib,,:bhi,b[blo:bhi]
33,library/difflib,,:i2,
34,library/difflib,,:j2,
35,library/difflib,,:i1,
36,library/dis,,:TOS,
37,library/dis,,`,TOS = `TOS`
38,library/doctest,,`,``factorial`` from the ``example`` module:
39,library/doctest,,`,The ``example`` module
40,library/doctest,,`,Using ``factorial``
41,library/functions,,:step,a[start:stop:step]
42,library/functions,,:stop,"a[start:stop, i]"
43,library/functions,,:stop,a[start:stop:step]
44,library/hotshot,,:lineno,ncalls  tottime  percall  cumtime  percall filename:lineno(function)
45,library/httplib,,:port,host:port
46,library/imaplib,,:MM,"""DD-Mmm-YYYY HH:MM:SS +HHMM"""
47,library/imaplib,,:SS,"""DD-Mmm-YYYY HH:MM:SS +HHMM"""
48,library/itertools,,:stop,elements from seq[start:stop:step]
49,library/itertools,,:step,elements from seq[start:stop:step]
50,library/linecache,,:sys,sys:x:3:3:sys:/dev:/bin/sh
51,library/logging,,:And,
52,library/logging,,:package1,
53,library/logging,,:package2,
54,library/logging,,:root,
55,library/logging,,:This,
56,library/logging,,:port,host:port
57,library/mmap,,:i2,obj[i1:i2]
58,library/multiprocessing,,:queue,">>> QueueManager.register('get_queue', callable=lambda:queue)"
59,library/multiprocessing,,`,">>> l._callmethod('__getitem__', (20,))     # equiv to `l[20]`"
60,library/multiprocessing,,`,">>> l._callmethod('__getslice__', (2, 7))   # equiv to `l[2:7]`"
61,library/multiprocessing,,`,# `BaseManager`.
62,library/multiprocessing,,`,# `Pool.imap()` (which will save on the amount of code needed anyway).
63,library/multiprocessing,,`,# A test file for the `multiprocessing` package
64,library/multiprocessing,,`,# A test of `multiprocessing.Pool` class
65,library/multiprocessing,,`,# Add more tasks using `put()`
66,library/multiprocessing,,`,# create server for a `HostManager` object
67,library/multiprocessing,,`,# Depends on `multiprocessing` package -- tested with `processing-0.60`
68,library/multiprocessing,,`,# in the original order then consider using `Pool.map()` or
69,library/multiprocessing,,`,# Not sure if we should synchronize access to `socket.accept()` method by
70,library/multiprocessing,,`,# object.  (We import `multiprocessing.reduction` to enable this pickling.)
71,library/multiprocessing,,`,# register the Foo class; make `f()` and `g()` accessible via proxy
72,library/multiprocessing,,`,# register the Foo class; make `g()` and `_h()` accessible via proxy
73,library/multiprocessing,,`,# register the generator function baz; use `GeneratorProxy` to make proxies
74,library/multiprocessing,,`,`Cluster` is a subclass of `SyncManager` so it allows creation of
75,library/multiprocessing,,`,`hostname` gives the name of the host.  If hostname is not
76,library/multiprocessing,,`,`slots` is used to specify the number of slots for processes on
77,library/optparse,,:len,del parser.rargs[:len(value)]
78,library/os.path,,:foo,c:foo
79,library/parser,,`,"""Make a function that raises an argument to the exponent `exp`."""
80,library/posix,,`,"CFLAGS=""`getconf LFS_CFLAGS`"" OPT=""-g -O2 $CFLAGS"""
81,library/profile,,:lineno,ncalls  tottime  percall  cumtime  percall filename:lineno(function)
82,library/profile,,:lineno,filename:lineno(function)
83,library/pyexpat,,:elem1,<py:elem1 />
84,library/pyexpat,,:py,"xmlns:py = ""http://www.python.org/ns/"">"
85,library/repr,,`,return `obj`
86,library/smtplib,,:port,as well as a regular host:port server.
87,library/socket,,::,'5aef:2b::8'
88,library/sqlite3,,:memory,
89,library/sqlite3,,:age,"select name_last, age from people where name_last=:who and age=:age"
90,library/sqlite3,,:who,"select name_last, age from people where name_last=:who and age=:age"
91,library/ssl,,:My,"Organization Name (eg, company) [Internet Widgits Pty Ltd]:My Organization, Inc."
92,library/ssl,,:My,"Organizational Unit Name (eg, section) []:My Group"
93,library/ssl,,:myserver,"Common Name (eg, YOUR name) []:myserver.mygroup.myorganization.com"
94,library/ssl,,:MyState,State or Province Name (full name) [Some-State]:MyState
95,library/ssl,,:ops,Email Address []:ops@myserver.mygroup.myorganization.com
96,library/ssl,,:Some,"Locality Name (eg, city) []:Some City"
97,library/ssl,,:US,Country Name (2 letter code) [AU]:US
98,library/stdtypes,,:len,s[len(s):len(s)]
99,library/stdtypes,,:len,s[len(s):len(s)]
100,library/string,,:end,s[start:end]
101,library/string,,:end,s[start:end]
102,library/subprocess,,`,output=`mycmd myarg`
103,library/subprocess,,`,output=`dmesg | grep hda`
104,library/tarfile,,:compression,filemode[:compression]
105,library/tarfile,,:gz,
106,library/tarfile,,:bz2,
107,library/time,,:mm,
108,library/time,,:ss,
109,library/turtle,,::,Example::
110,library/urllib,,:port,:port
111,library/urllib2,,:password,"""joe:password@python.org"""
112,library/uuid,,:uuid,urn:uuid:12345678-1234-5678-1234-567812345678
113,library/xmlrpclib,,:pass,http://user:pass@host:port/path
