,col0,col1,col2
0,1,ReplaceConstant,org.dynjs.runtime.builtins.types.array.prototype.Pop.call(Lorg/dynjs/runtime/ExecutionContext;Ljava/lang/Object;[Ljava/lang/Object;)Ljava/lang/Object;:19 - ReplaceConstant - length -> 
1,2,InsertUnaryOp,org.dynjs.runtime.builtins.types.array.prototype.Pop.call(Lorg/dynjs/runtime/ExecutionContext;Ljava/lang/Object;[Ljava/lang/Object;)Ljava/lang/Object;:21 - InsertUnaryOp Negation of len
2,3,ReplaceConstant,org.dynjs.runtime.builtins.types.array.prototype.Pop.call(Lorg/dynjs/runtime/ExecutionContext;Ljava/lang/Object;[Ljava/lang/Object;)Ljava/lang/Object;:21 - ReplaceConstant - 0 -> 1
3,4,ReplaceConstant,org.dynjs.runtime.builtins.types.array.prototype.Pop.call(Lorg/dynjs/runtime/ExecutionContext;Ljava/lang/Object;[Ljava/lang/Object;)Ljava/lang/Object;:21 - ReplaceConstant - 0 -> -1
4,5,ReplaceComparisonOperator,org.dynjs.runtime.builtins.types.array.prototype.Pop.call(Lorg/dynjs/runtime/ExecutionContext;Ljava/lang/Object;[Ljava/lang/Object;)Ljava/lang/Object;:21 - ReplaceComparisonOperator != -> -1
5,6,ReplaceComparisonOperator,org.dynjs.runtime.builtins.types.array.prototype.Pop.call(Lorg/dynjs/runtime/ExecutionContext;Ljava/lang/Object;[Ljava/lang/Object;)Ljava/lang/Object;:21 - ReplaceComparisonOperator != -> <
6,7,ReplaceComparisonOperator,org.dynjs.runtime.builtins.types.array.prototype.Pop.call(Lorg/dynjs/runtime/ExecutionContext;Ljava/lang/Object;[Ljava/lang/Object;)Ljava/lang/Object;:21 - ReplaceComparisonOperator != -> >
7,8,ReplaceConstant,org.dynjs.runtime.builtins.types.array.prototype.Pop.call(Lorg/dynjs/runtime/ExecutionContext;Ljava/lang/Object;[Ljava/lang/Object;)Ljava/lang/Object;:22 - ReplaceConstant - length -> 
8,9,ReplaceConstant,org.dynjs.runtime.builtins.types.array.prototype.Pop.call(Lorg/dynjs/runtime/ExecutionContext;Ljava/lang/Object;[Ljava/lang/Object;)Ljava/lang/Object;:22 - ReplaceConstant - 0 -> 1
9,10,ReplaceConstant,org.dynjs.runtime.builtins.types.array.prototype.Pop.call(Lorg/dynjs/runtime/ExecutionContext;Ljava/lang/Object;[Ljava/lang/Object;)Ljava/lang/Object;:22 - ReplaceConstant - 0 -> -1
