,col0,col1,col2,col3,col4,col5,col6,col7
0,7.0,7.0,-1.0,-1.0,2.883333333,2.883333333,3.0,4
1,6.0,5.0,5.0,-1.0,2.6076923080000003,2.6076923080000003,3.0,8
2,4.0,7.0,7.0,-1.0,3.214285714,3.214285714,3.0,7
3,10.0,7.0,7.0,-1.0,2.733333333,2.733333333,2.0,5
4,10.0,10.0,-1.0,-1.0,3.6,3.75,3.0,10
5,7.0,7.0,7.0,-1.0,3.3125,3.3125,3.0,4
6,10.0,10.0,10.0,-1.0,3.914754098,3.907692308,3.0,9
7,5.0,6.0,-1.0,-1.0,3.373333333,3.373333333,3.0,7
8,7.0,7.0,-1.0,-1.0,2.74,2.0,2.0,7
9,3.0,6.0,4.0,-1.0,2.18,2.18,2.0,10
10,4.0,7.0,10.0,-1.0,3.066666667,3.066666667,3.0,7
11,8.0,9.0,10.0,-1.0,2.566666667,2.566666667,2.0,7
12,4.0,10.0,7.0,-1.0,2.933333333,2.933333333,2.0,7
13,10.0,10.0,10.0,-1.0,3.5333333330000003,3.5333333330000003,3.0,10
14,4.0,9.0,10.0,-1.0,3.483870968,3.625,3.0,7
15,7.0,9.0,4.0,-1.0,1.08,0.5,1.0,6
16,6.0,7.0,9.0,10.0,3.925,3.925,3.0,10
17,10.0,10.0,10.0,-1.0,4.0,4.0,3.0,10
18,4.0,4.0,10.0,10.0,2.875,2.875,3.0,5
19,7.0,10.0,-1.0,-1.0,3.2,3.2,3.0,6
20,10.0,10.0,10.0,-1.0,4.0,4.0,3.0,8
21,0.0,4.0,0.0,-1.0,2.285714286,2.285714286,2.0,3
22,5.0,7.0,4.0,7.0,2.75,2.75,3.0,7
23,7.0,8.0,8.0,-1.0,3.84,3.78,3.0,8
24,9.0,7.0,5.0,-1.0,2.9125,2.9125,3.0,9
25,4.0,7.0,7.0,-1.0,2.95060241,3.04375,3.0,10
26,7.0,6.0,10.0,-1.0,2.9288888889999996,3.12,3.0,9
27,3.0,0.0,4.0,-1.0,2.125,2.125,2.0,6
28,4.0,4.0,7.0,-1.0,2.68,2.68,3.0,4
29,7.0,8.0,7.0,-1.0,2.370212766,2.48,3.0,6
30,0.0,7.0,4.0,-1.0,3.066666667,3.066666667,3.0,8
31,4.0,4.0,4.0,-1.0,2.133333333,2.133333333,2.0,4
32,4.0,6.0,4.0,-1.0,2.375,2.375,2.0,6
33,7.0,7.0,-1.0,-1.0,2.9857142860000003,2.9857142860000003,3.0,10
34,4.0,4.0,10.0,-1.0,3.0,3.0,2.0,4
35,10.0,10.0,-1.0,-1.0,3.8530612239999997,3.9,3.0,10
36,7.0,7.0,4.0,-1.0,3.176923077,3.176923077,3.0,10
37,9.0,10.0,10.0,-1.0,3.777777778,3.777777778,3.0,9
