,col0,col1,col2,col3,col4,col5,col6,col7,col8,col9,col10,col11,col12,col13,col14,col15,col16,col17,col18,col19,col20,col21,col22,col23,col24
0,1.0,20.0,29000.0,29000.0,1314.0,0.0,8400.0,0.0,0.0,0.0,8400.0,0.0,0.04531034482758621,0.0006779310344827588,,237483.0,238714.0,4536.0,29482.0,237536.0,237420.0,238398.0,3647.0,30707.0,238259.0
1,2.0,19.0,58000.0,58000.0,3023.0,0.0,4200.0,0.0,0.0,0.0,4200.0,0.0,0.05212068965517242,0.0003389655172413793,,545373.0,545382.0,245693.0,270513.0,545373.0,545283.0,545326.0,245484.0,272343.0,545283.0
2,3.0,18.0,87000.0,87000.0,7048.0,0.0,2800.0,0.0,0.0,0.0,2800.0,0.0,0.08101149425287356,0.00022597701149425293,,1270336.0,1270341.0,245694.0,818785.0,1270336.0,1270280.0,1270286.0,245485.0,820583.0,1270280.0
3,4.0,17.0,116000.0,116000.0,9293.0,0.0,2100.0,0.0,0.0,0.0,2100.0,0.0,0.08011206896551724,0.00016948275862068967,,1674678.0,1674683.0,794951.0,2092081.0,1674678.0,1674621.0,1674627.0,794637.0,2093874.0,1674621.0
4,5.0,16.0,145000.0,145000.0,5373.0,0.0,1680.0,0.0,0.0,0.0,1680.0,0.0,0.0370551724137931,0.00013558620689655174,,968606.0,968729.0,245694.0,3769772.0,968606.0,968550.0,968673.0,245485.0,3771564.0,968550.0
5,6.0,15.0,174000.0,174000.0,3916.0,0.0,1400.0,140.0,0.0,0.0,1400.0,140.0,0.02250574712643678,0.00011298850574712644,,706230.0,951667.0,2069361.0,4741566.0,730364.0,706174.0,951749.0,2069007.0,4743359.0,730303.0
6,7.0,14.0,203000.0,203000.0,2289.0,0.0,1200.0,0.0,0.0,0.0,1200.0,0.0,0.011275862068965515,9.684729064039408e-05,,413138.0,413258.0,245694.0,5695663.0,413138.0,413080.0,413202.0,245485.0,5697369.0,413080.0
7,8.0,13.0,232000.0,232000.0,12141.0,0.0,1050.0,420.0,0.0,0.0,1050.0,420.0,0.052331896551724134,8.474137931034482e-05,,2187665.0,4125141.0,2473649.0,6111978.0,2459000.0,2187608.0,3708415.0,2473299.0,6113683.0,2435083.0
8,9.0,12.0,290000.0,290000.0,10297.0,0.0,840.0,280.0,0.0,0.0,840.0,280.0,0.03550689655172413,6.779310344827587e-05,,1855505.0,3793007.0,1767749.0,8302998.0,2063024.0,1855449.0,3792870.0,1767398.0,8304698.0,2062922.0
9,10.0,11.0,348000.0,348000.0,23354.0,0.0,700.0,700.0,20.0,0.0,700.0,680.0,0.06710919540229886,5.649425287356322e-05,,4452040.0,8255113.0,4458687.0,10161855.0,5221755.0,4207243.0,6396358.0,4458288.0,10163551.0,5028646.0
10,11.0,10.0,406000.0,406000.0,16640.0,0.0,600.0,430.0,-44.0,0.0,600.0,474.0,0.04098522167487685,4.842364532019705e-05,,2997963.0,8145892.0,1212568.0,15166469.0,3797278.0,2997907.0,8145609.0,1212215.0,18125306.0,4075088.0
11,12.0,9.0,435000.0,435000.0,7149.0,0.0,560.0,90.0,-114.0,0.0,560.0,204.0,0.01643448275862069,4.519540229885058e-05,,1288526.0,5954351.0,2492835.0,19686878.0,1647353.0,1288470.0,6619462.0,2492482.0,26040375.0,2035692.0
12,13.0,8.0,464000.0,464000.0,14928.0,0.0,525.0,440.0,86.0,0.0,525.0,354.0,0.03217241379310345,4.237068965517241e-05,,2689569.0,10691213.0,4665797.0,23451246.0,4007773.0,2689514.0,8551499.0,4665421.0,29356674.0,3638046.0
13,14.0,7.0,580000.0,580000.0,26007.0,0.0,420.0,460.0,-71.0,0.0,420.0,531.0,0.04483965517241379,3.3896551724137936e-05,,4685196.0,16043120.0,5552192.0,27363984.0,6901425.0,4685140.0,17980931.0,5551876.0,35490250.0,7945838.0
14,15.0,6.0,609000.0,609000.0,74281.0,0.0,400.0,1605.0,23.0,0.0,400.0,1582.0,0.12197208538587848,3.22824302134647e-05,,16910365.0,49248272.0,1937400.0,34831560.0,28910040.0,16648485.0,37561231.0,1937051.0,34831327.0,26215661.0
15,16.0,5.0,696000.0,696000.0,28112.0,0.0,350.0,595.0,25.0,0.0,350.0,570.0,0.04039080459770115,2.824712643678161e-05,,5309070.0,49256573.0,11902477.0,58933111.0,14499050.0,5308918.0,18399624.0,11901599.0,58931469.0,9019663.0
16,17.0,4.0,725000.0,725000.0,26133.0,0.0,336.0,509.0,36.0,0.0,336.0,473.0,0.03604551724137931,2.7117241379310347e-05,,4707874.0,67047645.0,1219252.0,72915590.0,14396013.0,4707818.0,53779750.0,1218984.0,73381750.0,11359596.0
17,18.0,3.0,725000.0,725000.0,791.0,0.0,336.0,8.0,-11.0,0.0,336.0,19.0,0.0010910344827586207,2.7117241379310347e-05,,143250.0,3928383.0,8403511.0,93214265.0,179703.0,143193.0,17027153.0,3628590.0,78093310.0,477042.0
18,19.0,2.0,812000.0,812000.0,26726.0,0.0,300.0,466.0,33.0,0.0,300.0,433.0,0.032913793103448274,2.4211822660098526e-05,,4814736.0,74709088.0,7413256.0,93378609.0,12673503.0,4814678.0,28143696.0,7412666.0,81477557.0,9481304.0
19,20.0,1.0,870000.0,870000.0,39440.0,8.0,280.0,681.0,17.0,0.0,280.0,664.0,0.04533333333333334,2.259770114942529e-05,,7349510.0,96283021.0,7151823.0,101221563.0,31723095.0,7349357.0,55693688.0,7151107.0,96985937.0,19416226.0
20,,,243600000.0,,,,,6824.0,,,,6824.0,0.8965177093596058,0.0022982669129720857,0.8988159762725779,,,,,,,,,,
21,,,,,,,,0.0,,,,,,,,,,,,,,,,,
