,col0,col1,col2,col3,col4,col5,col6,col7,col8,col9,col10,col11,col12,col13,col14,col15,col16,col17,col18,col19,col20,col21,col22,col23,col24,col25,col26,col27,col28,col29,col30,col31
0,0,21601043,1610612739,CLE,Cleveland,2544,LeBron James,F,,8:30,139.8,150.0,130.3,129.4,9.4,20.6,0.14300000000000002,0.0,14.3,0.0,0.0,0.0,0.0,0.75,0.75,0.3,0.281,102.21,98.82,82.35,18,0.165
1,1,21601043,1610612739,CLE,Cleveland,201567,Kevin Love,F,,8:30,139.8,150.0,130.3,129.4,9.4,20.6,0.0,0.0,0.0,0.0,0.7140000000000001,0.33299999999999996,0.0,0.583,0.654,0.3,0.281,102.21,98.82,82.35,18,0.183
2,2,21601043,1610612739,CLE,Cleveland,202684,Tristan Thompson,C,,11:55,122.4,124.0,117.3,116.7,5.2,7.3,0.083,0.0,50.0,0.182,0.14300000000000002,0.16,0.0,1.0,1.0,0.037000000000000005,0.037000000000000005,99.03,98.63,82.19,25,0.094
3,3,21601043,1610612739,CLE,Cleveland,202697,Iman Shumpert,G,,7:43,130.3,137.5,133.3,133.3,-3.0,4.2,0.111,0.0,50.0,0.0,0.16699999999999998,0.071,0.0,0.0,0.0,0.055999999999999994,0.053,99.15,96.41,80.35,16,0.021
4,4,21601043,1610612739,CLE,Cleveland,202681,Kyrie Irving,G,,11:55,122.4,124.0,117.3,116.7,5.2,7.3,0.125,0.5,10.0,0.0,0.071,0.04,20.0,0.7140000000000001,0.7390000000000001,0.33299999999999996,0.32899999999999996,99.03,98.63,82.19,25,0.142
5,5,21601043,1610612739,CLE,Cleveland,2747,JR Smith,,,4:12,106.6,100.0,90.1,88.9,16.5,11.1,0.25,0.0,33.3,0.0,0.25,0.182,0.0,0.0,0.0,0.222,0.237,98.81,102.69,85.58,9,0.067
6,6,21601043,1610612739,CLE,Cleveland,2210,Richard Jefferson,,,3:25,66.7,57.1,85.7,85.7,-19.0,-28.6,0.0,0.0,0.0,0.0,0.14300000000000002,0.1,0.0,0.0,0.0,0.14300000000000002,0.16699999999999998,91.14,98.15,81.79,7,-0.111
7,7,21601043,1610612739,CLE,Cleveland,101114,Deron Williams,,,3:25,66.7,57.1,85.7,85.7,-19.0,-28.6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,91.14,98.15,81.79,7,0.0
8,8,21601043,1610612747,LAL,Los Angeles,1627742,Brandon Ingram,F,,10:44,134.1,127.3,132.9,140.9,1.2,-13.6,0.0,0.0,0.0,0.0,0.2,0.095,0.0,0.2,0.2,0.20800000000000002,0.21899999999999997,98.83,98.39,81.99,22,-0.016
9,9,21601043,1610612747,LAL,Los Angeles,203944,Julius Randle,F,,11:55,117.3,116.7,122.4,124.0,-5.2,-7.3,0.4,4.0,57.1,0.071,0.182,0.12,14.3,0.0,0.0,0.115,0.11599999999999999,99.03,98.63,82.19,24,0.039
10,10,21601043,1610612747,LAL,Los Angeles,1627826,Ivica Zubac,C,,8:21,130.3,129.4,134.2,141.2,-3.9,-11.8,0.14300000000000002,0.0,50.0,0.0,0.375,0.2,0.0,1.0,1.0,0.059000000000000004,0.059000000000000004,99.91,97.72,81.44,17,0.124
11,11,21601043,1610612747,LAL,Los Angeles,1626156,D'Angelo Russell,G,,11:55,117.3,116.7,122.4,124.0,-5.2,-7.3,0.5,0.0,18.2,0.0,0.0,0.0,0.0,1.0,1.014,0.34600000000000003,0.348,99.03,98.63,82.19,24,0.28300000000000003
12,12,21601043,1610612747,LAL,Los Angeles,203903,Jordan Clarkson,G,,8:21,130.3,129.4,134.2,141.2,-3.9,-11.8,0.16699999999999998,0.0,20.0,0.0,0.0,0.0,0.0,0.75,0.75,0.235,0.237,99.91,97.72,81.44,17,0.095
13,13,21601043,1610612747,LAL,Los Angeles,1628021,David Nwaba,,,3:34,85.7,85.7,94.1,87.5,-8.4,-1.8,0.0,0.0,0.0,0.0,0.33299999999999996,0.1,0.0,0.0,0.0,0.111,0.111,96.99,100.75,83.96,7,-0.091
14,14,21601043,1610612747,LAL,Los Angeles,1626204,Larry Nance Jr.,,,3:34,85.7,85.7,94.1,87.5,-8.4,-1.8,0.0,0.0,0.0,0.14300000000000002,0.33299999999999996,0.2,0.0,0.0,0.0,0.222,0.222,96.99,100.75,83.96,7,-0.045
15,15,21601043,1610612747,LAL,Los Angeles,201147,Corey Brewer,,,1:11,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.33299999999999996,0.33299999999999996,100.84,121.01,100.84,3,1.0
