,col0,col1,col2,col3,col4,col5,col6,col7,col8,col9,col10,col11,col12,col13,col14,col15,col16,col17,col18,col19,col20,col21,col22,col23,col24,col25,col26,col27,col28
0,0,21800184,1610612766,CHA,Charlotte,201587,Nicolas Batum,F,,34:07,2.0,6.0,0.33299999999999996,1.0,4.0,0.25,0.0,0.0,0.0,0.0,8.0,8.0,3.0,2.0,1.0,3.0,3.0,5.0,13.0
1,1,21800184,1610612766,CHA,Charlotte,101107,Marvin Williams,F,,27:27,3.0,9.0,0.33299999999999996,3.0,7.0,0.429,1.0,2.0,0.5,1.0,3.0,4.0,0.0,2.0,0.0,0.0,2.0,10.0,12.0
2,2,21800184,1610612766,CHA,Charlotte,203469,Cody Zeller,C,,31:30,5.0,11.0,0.455,0.0,1.0,0.0,4.0,4.0,1.0,2.0,4.0,6.0,1.0,0.0,3.0,1.0,6.0,14.0,8.0
3,3,21800184,1610612766,CHA,Charlotte,203087,Jeremy Lamb,G,,23:19,4.0,6.0,0.667,2.0,2.0,1.0,0.0,0.0,0.0,0.0,6.0,6.0,3.0,2.0,0.0,1.0,4.0,10.0,11.0
4,4,21800184,1610612766,CHA,Charlotte,202689,Kemba Walker,G,,36:02,9.0,17.0,0.529,2.0,5.0,0.4,4.0,4.0,1.0,0.0,3.0,3.0,8.0,0.0,0.0,1.0,1.0,24.0,1.0
5,5,21800184,1610612766,CHA,Charlotte,1626195,Willy Hernangomez,,,13:03,4.0,6.0,0.667,1.0,2.0,0.5,0.0,0.0,0.0,2.0,1.0,3.0,1.0,0.0,1.0,2.0,4.0,9.0,-6.0
6,6,21800184,1610612766,CHA,Charlotte,203077,Michael Kidd-Gilchrist,,,4:38,2.0,3.0,0.667,0.0,1.0,0.0,1.0,2.0,0.5,0.0,0.0,0.0,0.0,0.0,2.0,0.0,1.0,5.0,-3.0
7,7,21800184,1610612766,CHA,Charlotte,1628970,Miles Bridges,,,23:45,3.0,4.0,0.75,0.0,1.0,0.0,2.0,2.0,1.0,1.0,7.0,8.0,2.0,0.0,1.0,1.0,1.0,8.0,1.0
8,8,21800184,1610612766,CHA,Charlotte,2225,Tony Parker,,,27:50,11.0,18.0,0.611,2.0,2.0,1.0,0.0,0.0,0.0,0.0,3.0,3.0,4.0,0.0,0.0,2.0,2.0,24.0,6.0
9,9,21800184,1610612766,CHA,Charlotte,1628370,Malik Monk,,,17:56,0.0,5.0,0.0,0.0,3.0,0.0,4.0,4.0,1.0,0.0,5.0,5.0,2.0,0.0,0.0,1.0,2.0,4.0,7.0
10,10,21800184,1610612766,CHA,Charlotte,1628407,Dwayne Bacon,,,0:23,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
11,11,21800184,1610612766,CHA,Charlotte,202687,Bismack Biyombo,,DNP - Coach's Decision                  ,,,,,,,,,,,,,,,,,,,,
12,12,21800184,1610612766,CHA,Charlotte,1628984,Devonte' Graham,,DNP - Coach's Decision                  ,,,,,,,,,,,,,,,,,,,,
13,13,21800184,1610612765,DET,Detroit,203922,Glenn Robinson III,F,,22:05,2.0,9.0,0.222,1.0,6.0,0.16699999999999998,0.0,0.0,0.0,0.0,2.0,2.0,1.0,0.0,1.0,0.0,0.0,5.0,-20.0
14,14,21800184,1610612765,DET,Detroit,201933,Blake Griffin,F,,30:26,4.0,16.0,0.25,0.0,5.0,0.0,2.0,3.0,0.667,3.0,3.0,6.0,5.0,0.0,1.0,3.0,3.0,10.0,-19.0
15,15,21800184,1610612765,DET,Detroit,203083,Andre Drummond,C,,36:41,9.0,16.0,0.563,0.0,0.0,0.0,5.0,7.0,0.7140000000000001,9.0,13.0,22.0,3.0,3.0,2.0,2.0,5.0,23.0,4.0
16,16,21800184,1610612765,DET,Detroit,203493,Reggie Bullock,G,,34:21,7.0,13.0,0.5379999999999999,6.0,9.0,0.667,3.0,3.0,1.0,2.0,1.0,3.0,2.0,1.0,0.0,0.0,1.0,23.0,5.0
17,17,21800184,1610612765,DET,Detroit,202704,Reggie Jackson,G,,32:12,6.0,15.0,0.4,2.0,8.0,0.25,5.0,6.0,0.833,3.0,0.0,3.0,7.0,0.0,0.0,4.0,3.0,19.0,-5.0
