,col0,col1,col2,col3,col4,col5,col6,col7,col8,col9,col10,col11,col12,col13,col14,col15,col16,col17,col18,col19
0,F27,27%,hungarian_chart_template,sale,Fizetendő - 27%,percent,0.27,chart_hu_467,chart_hu_467,tax_code_hu_1011,tax_code_hu_1010,tax_code_hu_1011,tax_code_hu_1010,1,1,-1,-1,,1,False
1,F18,18%,hungarian_chart_template,sale,Fizetendő – 18%,percent,0.18,chart_hu_467,chart_hu_467,tax_code_hu_1021,tax_code_hu_1020,tax_code_hu_1021,tax_code_hu_1020,1,1,-1,-1,,2,False
2,F5,5%,hungarian_chart_template,sale,Fizetendő – 5%,percent,0.05,chart_hu_467,chart_hu_467,tax_code_hu_1031,tax_code_hu_1030,tax_code_hu_1031,tax_code_hu_1030,1,1,-1,-1,,2,False
3,FA,AAM,hungarian_chart_template,sale,Fizetendő – Alanyi Adómentes,percent,0.0,chart_hu_467,chart_hu_467,tax_code_hu_1041,,tax_code_hu_1041,,1,1,-1,-1,,2,False
4,FT,TAM,hungarian_chart_template,sale,Fizetendő – Tárgyi Adómentes,percent,0.0,chart_hu_467,chart_hu_467,tax_code_hu_1061,,tax_code_hu_1061,,1,1,-1,-1,,2,False
5,FF,FORD,hungarian_chart_template,sale,Fizetendő – Fordított ÁFA,percent,0.0,chart_hu_467,chart_hu_467,tax_code_hu_1081,,tax_code_hu_1081,,1,1,-1,-1,,2,False
6,FEUO,Export,hungarian_chart_template,sale,Fizetendő – Export,percent,0.0,chart_hu_467,chart_hu_467,tax_code_hu_1071,,tax_code_hu_1071,,1,1,-1,-1,,2,False
7,FEU,EU,hungarian_chart_template,sale,Fizetendő – EU,percent,0.0,chart_hu_467,chart_hu_467,tax_code_hu_1051,,tax_code_hu_1051,,1,1,-1,-1,,2,False
8,V18,18%,hungarian_chart_template,purchase,Visszaigényelhető – 18%,percent,0.18,chart_hu_466,chart_hu_466,tax_code_hu_1221,tax_code_hu_1220,tax_code_hu_1221,tax_code_hu_1220,1,1,-1,-1,,2,False
9,V27,27%,hungarian_chart_template,purchase,Visszaigényelhető – 27%,percent,0.27,chart_hu_466,chart_hu_466,tax_code_hu_1211,tax_code_hu_1210,tax_code_hu_1211,tax_code_hu_1210,1,1,-1,-1,,1,False
10,V5,5%,hungarian_chart_template,purchase,Visszaigényelhető – 5%,percent,0.05,chart_hu_466,chart_hu_466,tax_code_hu_1231,tax_code_hu_1230,tax_code_hu_1231,tax_code_hu_1230,1,1,-1,-1,,2,False
11,VA,AAM,hungarian_chart_template,purchase,Visszaigényelhető – Alanyi Adómentes,percent,0.0,chart_hu_466,chart_hu_466,tax_code_hu_1240,,tax_code_hu_1240,,1,1,-1,-1,,2,False
12,VT,TAM,hungarian_chart_template,purchase,Visszaigényelhető – Tárgyi Adómentes,percent,0.0,chart_hu_466,chart_hu_466,tax_code_hu_1260,,tax_code_hu_1260,,1,1,-1,-1,,2,False
13,VEU,EU,hungarian_chart_template,purchase,Visszaigényelhető – EU,percent,0.0,chart_hu_466,chart_hu_466,tax_code_hu_1250,,tax_code_hu_1250,,1,1,-1,-1,,2,False
14,VEUO,Import,hungarian_chart_template,purchase,Visszaigényelhető – Import,percent,0.0,chart_hu_466,chart_hu_466,tax_code_hu_1270,,tax_code_hu_1270,,1,1,-1,-1,,2,False
15,VF,FORD,hungarian_chart_template,purchase,Visszaigényelhető – Fordított ÁFA,percent,0.0,chart_hu_466,chart_hu_466,tax_code_hu_1280,,tax_code_hu_1280,,1,1,-1,-1,,2,False
