,col0,col1,col2,col3,col4,col5,col6,col7,col8,col9,col10,col11,col12,col13,col14,col15,col16,col17,col18,col19,col20,col21,col22,col23,col24,col25,col26,col27,col28
0,0,21500296,1610612738,BOS,Boston,203109,Jae Crowder,F,,35:04,5.0,5.0,1.0,3.0,3.0,1.0,2.0,2.0,1.0,0.0,3.0,3.0,3.0,1.0,0.0,3.0,4.0,15.0,-1.0
1,1,21500296,1610612738,BOS,Boston,101161,Amir Johnson,F,,32:25,5.0,11.0,0.455,1.0,4.0,0.25,0.0,2.0,0.0,4.0,7.0,11.0,1.0,1.0,1.0,2.0,4.0,11.0,18.0
2,2,21500296,1610612738,BOS,Boston,203096,Jared Sullinger,C,,26:45,1.0,6.0,0.16699999999999998,0.0,2.0,0.0,2.0,2.0,1.0,2.0,6.0,8.0,4.0,0.0,1.0,1.0,2.0,4.0,-3.0
3,3,21500296,1610612738,BOS,Boston,202340,Avery Bradley,G,,36:32,7.0,14.0,0.5,4.0,6.0,0.667,0.0,0.0,0.0,1.0,1.0,2.0,1.0,2.0,0.0,2.0,1.0,18.0,4.0
4,4,21500296,1610612738,BOS,Boston,202738,Isaiah Thomas,G,,35:39,7.0,17.0,0.41200000000000003,1.0,6.0,0.16699999999999998,8.0,9.0,0.889,0.0,4.0,4.0,8.0,2.0,0.0,2.0,1.0,23.0,9.0
5,5,21500296,1610612738,BOS,Boston,202323,Evan Turner,,,30:08,7.0,17.0,0.41200000000000003,1.0,2.0,0.5,1.0,2.0,0.5,1.0,3.0,4.0,1.0,2.0,0.0,1.0,2.0,16.0,-9.0
6,6,21500296,1610612738,BOS,Boston,203482,Kelly Olynyk,,,12:10,3.0,6.0,0.5,0.0,1.0,0.0,0.0,2.0,0.0,0.0,2.0,2.0,1.0,0.0,1.0,1.0,5.0,6.0,-12.0
7,7,21500296,1610612738,BOS,Boston,201973,Jonas Jerebko,,,11:02,0.0,3.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,2.0,2.0,4.0,2.0,1.0,0.0,1.0,2.0,0.0,-6.0
8,8,21500296,1610612738,BOS,Boston,203092,Tyler Zeller,,,6:23,2.0,3.0,0.667,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0,1.0,4.0,-10.0
9,9,21500296,1610612738,BOS,Boston,1626154,RJ Hunter,,,13:53,2.0,4.0,0.5,2.0,4.0,0.5,2.0,2.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,8.0,-5.0
10,10,21500296,1610612738,BOS,Boston,101135,David Lee,,DND - bruised right heel                ,,,,,,,,,,,,,,,,,,,,
11,11,21500296,1610612738,BOS,Boston,1626179,Terry Rozier,,DNP - Coach's Decision                  ,,,,,,,,,,,,,,,,,,,,
12,12,21500296,1610612738,BOS,Boston,203923,James Young,,DNP - Coach's Decision                  ,,,,,,,,,,,,,,,,,,,,
13,13,21500296,1610612759,SAS,San Antonio,202695,Kawhi Leonard,F,,34:06,4.0,13.0,0.308,2.0,4.0,0.5,5.0,6.0,0.833,0.0,7.0,7.0,4.0,2.0,0.0,3.0,4.0,15.0,-2.0
14,14,21500296,1610612759,SAS,San Antonio,200746,LaMarcus Aldridge,F,,27:29,8.0,15.0,0.5329999999999999,0.0,0.0,0.0,1.0,2.0,0.5,3.0,5.0,8.0,1.0,0.0,1.0,1.0,4.0,17.0,-7.0
15,15,21500296,1610612759,SAS,San Antonio,1495,Tim Duncan,C,,24:05,3.0,5.0,0.6,0.0,0.0,0.0,0.0,0.0,0.0,1.0,4.0,5.0,4.0,0.0,1.0,1.0,1.0,6.0,1.0
16,16,21500296,1610612759,SAS,San Antonio,201980,Danny Green,G,,28:52,2.0,6.0,0.33299999999999996,0.0,2.0,0.0,2.0,2.0,1.0,1.0,3.0,4.0,0.0,0.0,0.0,1.0,4.0,6.0,-10.0
17,17,21500296,1610612759,SAS,San Antonio,2225,Tony Parker,G,,26:37,5.0,8.0,0.625,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,6.0,0.0,0.0,4.0,4.0,10.0,-6.0
18,18,21500296,1610612759,SAS,San Antonio,201988,Patty Mills,,,25:48,4.0,8.0,0.5,1.0,4.0,0.25,0.0,0.0,0.0,1.0,3.0,4.0,2.0,0.0,0.0,0.0,1.0,9.0,4.0
19,19,21500296,1610612759,SAS,San Antonio,2564,Boris Diaw,,,24:48,6.0,11.0,0.545,1.0,2.0,0.5,3.0,5.0,0.6,2.0,1.0,3.0,4.0,0.0,0.0,2.0,0.0,16.0,12.0
20,20,21500296,1610612759,SAS,San Antonio,1938,Manu Ginobili,,,25:41,6.0,11.0,0.545,1.0,5.0,0.2,2.0,4.0,0.5,1.0,6.0,7.0,4.0,0.0,0.0,1.0,1.0,15.0,12.0
21,21,21500296,1610612759,SAS,San Antonio,2561,David West,,,14:26,4.0,4.0,1.0,0.0,0.0,0.0,2.0,3.0,0.667,2.0,4.0,6.0,1.0,0.0,1.0,1.0,2.0,10.0,6.0
22,22,21500296,1610612759,SAS,San Antonio,203937,Kyle Anderson,,,8:07,2.0,2.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,2.0,0.0,1.0,0.0,0.0,1.0,4.0,5.0
23,23,21500296,1610612759,SAS,San Antonio,2588,Matt Bonner,,DNP - Coach's Decision                  ,,,,,,,,,,,,,,,,,,,,
24,24,21500296,1610612759,SAS,San Antonio,203492,Ray McCallum,,DNP - Coach's Decision                  ,,,,,,,,,,,,,,,,,,,,
25,25,21500296,1610612759,SAS,San Antonio,203613,Jonathon Simmons,,DNP - Coach's Decision                  ,,,,,,,,,,,,,,,,,,,,
