,col0,col1,col2,col3,col4,col5,col6,col7,col8,col9,col10,col11,col12,col13,col14,col15
0,LinqToExcel.Attributes,ExcelColumnAttribute,1,1,1,0,1,13,1,0,0,0.0,0,1,,LinqToExcel.Query.ExcelQueryable<T>
1,LinqToExcel,Cell,0,3,1,0,3,36,3,0,0,-1.0,0,4,,LinqToExcel.IContainsUnmappedCells' LinqToExcel.RowNoHeader' LinqToExcel.Row' LinqToExcel.Query.ExcelQueryExecutor
2,LinqToExcel,IAllowFieldTypeConversionExceptions,0,0,1,0,0,4,0,2,0,-1.0,1,1,LinqToExcel.Exceptions.ExcelException,LinqToExcel.Query.ExcelQueryExecutor
3,LinqToExcel,IContainsUnmappedCells,0,0,1,0,0,4,0,1,0,-1.0,1,1,LinqToExcel.Cell,LinqToExcel.Query.ExcelQueryExecutor
4,LinqToExcel,Row,1,2,1,0,2,33,3,0,0,1.0,1,3,LinqToExcel.Cell,LinqToExcel.IExcelQueryFactory' LinqToExcel.Query.ExcelQueryExecutor' LinqToExcel.ExcelQueryFactory
5,LinqToExcel,RowNoHeader,0,1,0,0,1,8,1,0,0,-1.0,1,4,LinqToExcel.Cell,LinqToExcel.Query.WhereClauseExpressionTreeVisitor' LinqToExcel.Query.ExcelQueryExecutor' LinqToExcel.IExcelQueryFactory' LinqToExcel.ExcelQueryFactory
6,LinqToExcel,ExcelQueryFactory,6,54,8,0,49,750,64,0,1,0.22,12,0,LinqToExcel.Row' LinqToExcel.RowNoHeader' LinqToExcel.IExcelQueryFactory' LinqToExcel.Logging.ILogManagerFactory' LinqToExcel.Logging.ILogProvider' LinqToExcel.Query.ExcelQueryable<T>' LinqToExcel.Query.ExcelQueryArgs' LinqToExcel.Query.ExcelQueryConstructorArgs' LinqToExcel.Query.ExcelUtilities' LinqToExcel.Query.OleDbServices' LinqToExcel.Query.StrictMappingType' LinqToExcel.Query.TrimSpacesType,
7,LinqToExcel,IExcelQueryFactory,0,36,4,0,0,239,36,1,0,-1.0,5,1,LinqToExcel.Row' LinqToExcel.RowNoHeader' LinqToExcel.Query.ExcelQueryable<T>' LinqToExcel.Query.StrictMappingType' LinqToExcel.Query.TrimSpacesType,LinqToExcel.ExcelQueryFactory
8,LinqToExcel.Domain,StrictMappingException,0,2,0,0,2,9,2,0,0,-1.0,0,1,,LinqToExcel.Query.ExcelQueryExecutor
9,LinqToExcel.Exceptions,ExcelException,0,3,3,0,3,35,3,0,0,-1.0,1,2,LinqToExcel.Query.ExcelUtilities,LinqToExcel.IAllowFieldTypeConversionExceptions' LinqToExcel.Query.ExcelQueryExecutor
10,LinqToExcel.Extensions,CommonExtensions,0,10,0,0,10,72,14,0,0,-1.0,0,0,,
11,LinqToExcel.Logging,ILogManagerFactory,0,2,0,0,0,4,2,1,0,-1.0,1,3,LinqToExcel.Logging.ILogProvider,LinqToExcel.Query.ExcelQueryable<T>' LinqToExcel.Query.ExcelQueryExecutor' LinqToExcel.ExcelQueryFactory
12,LinqToExcel.Logging,ILogProvider,0,4,1,0,0,7,4,1,0,-1.0,0,3,,LinqToExcel.Query.ExcelQueryExecutor' LinqToExcel.ExcelQueryFactory' LinqToExcel.Logging.ILogManagerFactory
13,LinqToExcel.Query,ExcelQueryable<T>,0,3,0,0,1,24,5,0,0,-1.0,4,2,LinqToExcel.Attributes.ExcelColumnAttribute' LinqToExcel.Logging.ILogManagerFactory' LinqToExcel.Query.ExcelQueryArgs' LinqToExcel.Query.ExcelQueryExecutor,LinqToExcel.IExcelQueryFactory' LinqToExcel.ExcelQueryFactory
14,LinqToExcel.Query,ExcelQueryArgs,0,4,17,0,1,72,6,0,0,-1.0,4,5,LinqToExcel.Query.ExcelQueryConstructorArgs' LinqToExcel.Query.OleDbServices' LinqToExcel.Query.StrictMappingType' LinqToExcel.Query.TrimSpacesType,LinqToExcel.Query.SqlGeneratorQueryModelVisitor' LinqToExcel.Query.ExcelQueryable<T>' LinqToExcel.Query.ExcelQueryExecutor' LinqToExcel.Query.ExcelUtilities' LinqToExcel.ExcelQueryFactory
15,LinqToExcel.Query,ExcelQueryConstructorArgs,0,1,10,0,1,17,1,0,0,-1.0,3,2,LinqToExcel.Query.OleDbServices' LinqToExcel.Query.StrictMappingType' LinqToExcel.Query.TrimSpacesType,LinqToExcel.Query.ExcelQueryArgs' LinqToExcel.ExcelQueryFactory
