,col0,col1,col2,col3,col4,col5,col6,col7
0,access_survey_public,survey.survey public,model_survey_survey,,1,0,0,0
1,access_survey_page_public,survey.page public,model_survey_page,,1,0,0,0
2,access_survey_question_public,survey.question public,model_survey_question,,1,0,0,0
3,access_survey_label_public,survey.label public,model_survey_label,,1,0,0,0
4,access_survey_user_input_public,survey.user_input public,model_survey_user_input,,1,1,1,0
5,access_survey_user_input_line_public,survey.user_input_line public,model_survey_user_input_line,,1,1,1,0
6,access_survey_stage_public,survey.stage public,model_survey_stage,,1,0,0,0
7,access_survey_user,survey.survey user,model_survey_survey,base.group_survey_user,1,0,0,0
8,access_survey_page_user,survey.page user,model_survey_page,base.group_survey_user,1,0,0,0
9,access_survey_question_user,survey.question user,model_survey_question,base.group_survey_user,1,0,0,0
10,access_survey_label_user,survey.label user,model_survey_label,base.group_survey_user,1,0,0,0
11,access_survey_user_input_user,survey.user_input user,model_survey_user_input,base.group_survey_user,1,1,1,0
12,access_survey_user_input_line_user,survey.user_input_line user,model_survey_user_input_line,base.group_survey_user,1,1,1,0
13,access_survey_stage_user,survey.stage user,model_survey_stage,base.group_survey_user,1,0,0,0
14,access_survey_manager,survey.survey manager,model_survey_survey,base.group_survey_manager,1,1,1,1
15,access_survey_page_manager,survey.page manager,model_survey_page,base.group_survey_manager,1,1,1,1
16,access_survey_question_manager,survey.question manager,model_survey_question,base.group_survey_manager,1,1,1,1
17,access_survey_label_manager,survey.label manager,model_survey_label,base.group_survey_manager,1,1,1,1
18,access_survey_user_input_manager,survey.user_input manager,model_survey_user_input,base.group_survey_manager,1,1,1,1
19,access_survey_user_input_line_manager,survey.user_input_line manager,model_survey_user_input_line,base.group_survey_manager,1,1,1,1
20,access_survey_stage_manager,survey.stage manager,model_survey_stage,base.group_survey_manager,1,1,1,1
