,col0,col1,col2
0,1,1,0
1,1,2,100
2,1,3,100
3,1,4,500
4,1,5,200
5,1,6,300
6,1,7,500
7,1,8,800
8,1,9,500
9,1,10,1300
10,1,11,500
11,1,12,200
12,1,13,500
13,1,14,300
14,1,15,500
15,1,16,500
16,1,17,400
17,1,18,100
18,1,19,300
19,1,20,300
20,1,21,100
21,1,22,400
22,1,23,300
23,1,24,100
24,2,1,100
25,2,2,0
26,2,3,100
27,2,4,200
28,2,5,100
29,2,6,400
30,2,7,200
31,2,8,400
32,2,9,200
33,2,10,600
34,2,11,200
35,2,12,100
36,2,13,300
37,2,14,100
38,2,15,100
39,2,16,400
40,2,17,200
41,2,18,0
42,2,19,100
43,2,20,100
44,2,21,0
45,2,22,100
46,2,23,0
47,2,24,0
48,3,1,100
49,3,2,100
50,3,3,0
51,3,4,200
52,3,5,100
53,3,6,300
54,3,7,100
55,3,8,200
56,3,9,100
57,3,10,300
58,3,11,300
59,3,12,200
60,3,13,100
61,3,14,100
62,3,15,100
63,3,16,200
64,3,17,100
65,3,18,0
66,3,19,0
67,3,20,0
68,3,21,0
69,3,22,100
70,3,23,100
71,3,24,0
72,4,1,500
73,4,2,200
74,4,3,200
75,4,4,0
76,4,5,500
77,4,6,400
78,4,7,400
79,4,8,700
80,4,9,700
81,4,10,1200
82,4,11,1400
83,4,12,600
84,4,13,600
85,4,14,500
86,4,15,500
87,4,16,800
88,4,17,500
89,4,18,100
90,4,19,200
91,4,20,300
92,4,21,200
93,4,22,400
94,4,23,500
95,4,24,200
96,5,1,200
97,5,2,100
98,5,3,100
99,5,4,500
100,5,5,0
101,5,6,200
102,5,7,200
103,5,8,500
104,5,9,800
105,5,10,1000
106,5,11,500
107,5,12,200
108,5,13,200
109,5,14,100
110,5,15,200
111,5,16,500
112,5,17,200
113,5,18,0
114,5,19,100
115,5,20,100
116,5,21,100
117,5,22,200
118,5,23,100
119,5,24,0
120,6,1,300
121,6,2,400
122,6,3,300
123,6,4,400
124,6,5,200
125,6,6,0
126,6,7,400
127,6,8,800
128,6,9,400
129,6,10,800
130,6,11,400
131,6,12,200
132,6,13,200
133,6,14,100
134,6,15,200
135,6,16,900
136,6,17,500
137,6,18,100
138,6,19,200
139,6,20,300
140,6,21,100
141,6,22,200
142,6,23,100
143,6,24,100
144,7,1,500
145,7,2,200
146,7,3,100
147,7,4,400
148,7,5,200
149,7,6,400
150,7,7,0
151,7,8,1000
152,7,9,600
153,7,10,1900
154,7,11,500
155,7,12,700
156,7,13,400
157,7,14,200
158,7,15,500
159,7,16,1400
160,7,17,1000
161,7,18,200
162,7,19,400
163,7,20,500
164,7,21,200
165,7,22,500
166,7,23,200
167,7,24,100
168,8,1,800
169,8,2,400
170,8,3,200
171,8,4,700
172,8,5,500
173,8,6,800
174,8,7,1000
175,8,8,0
176,8,9,800
177,8,10,1600
178,8,11,800
179,8,12,600
180,8,13,600
181,8,14,400
182,8,15,600
183,8,16,2200
184,8,17,1400
185,8,18,300
186,8,19,700
187,8,20,900
188,8,21,400
189,8,22,500
190,8,23,300
191,8,24,200
192,9,1,500
193,9,2,200
194,9,3,100
195,9,4,700
196,9,5,800
197,9,6,400
198,9,7,600
199,9,8,800
200,9,9,0
201,9,10,2800
202,9,11,1400
203,9,12,600
204,9,13,600
205,9,14,600
206,9,15,900
207,9,16,1400
208,9,17,900
209,9,18,200
210,9,19,400
211,9,20,600
212,9,21,300
213,9,22,700
214,9,23,500
215,9,24,200
216,10,1,1300
217,10,2,600
218,10,3,300
219,10,4,1200
220,10,5,1000
221,10,6,800
222,10,7,1900
223,10,8,1600
224,10,9,2800
225,10,10,0
226,10,11,4000
227,10,12,2000
228,10,13,1900
229,10,14,2100
230,10,15,4000
231,10,16,4400
232,10,17,3900
233,10,18,700
234,10,19,1800
235,10,20,2500
236,10,21,1200
237,10,22,2600
238,10,23,1800
239,10,24,800
240,11,1,500
241,11,2,200
242,11,3,300
243,11,4,1500
244,11,5,500
245,11,6,400
246,11,7,500
247,11,8,800
248,11,9,1400
249,11,10,3900
250,11,11,0
251,11,12,1400
252,11,13,1000
253,11,14,1600
254,11,15,1400
255,11,16,1400
256,11,17,1000
257,11,18,100
258,11,19,400
259,11,20,600
260,11,21,400
261,11,22,1100
262,11,23,1300
263,11,24,600
264,12,1,200
265,12,2,100
266,12,3,200
267,12,4,600
268,12,5,200
269,12,6,200
270,12,7,700
271,12,8,600
272,12,9,600
273,12,10,2000
274,12,11,1400
275,12,12,0
276,12,13,1300
277,12,14,700
278,12,15,700
279,12,16,700
280,12,17,600
281,12,18,200
282,12,19,300
283,12,20,400
284,12,21,300
285,12,22,700
286,12,23,700
287,12,24,500
288,13,1,500
289,13,2,300
290,13,3,100
291,13,4,600
292,13,5,200
293,13,6,200
294,13,7,400
295,13,8,600
296,13,9,600
297,13,10,1900
298,13,11,1000
299,13,12,1300
300,13,13,0
301,13,14,600
