,col0,col1,col2,col3,col4,col5,col6
0,0,ROW_TRANSLATION_RULE,,false(),,No disturbance info to translate, TRUE
1,1,CAS_ID,text,notEmpty(inventory_id);notEmpty(src_filename);notNull(map_sheet_id);notNull(orig_stand_id);notNull(ogc_fid),"padConcat({inventory_id, src_filename, map_sheet_id, orig_stand_id, ogc_fid}, {4,15,10,10,7}, {'x','x','x','x','x'}, '-', TRUE, TRUE)",Create cas_id using the unique identifier poly_id added during loading., TRUE
2,2,DIST_TYPE_1,text,false(),nothingText(),Attribute does not occur, TRUE
3,3,DIST_YEAR_1,integer,false(),nothingInt(),Attribute does not occur, TRUE
4,4,DIST_EXT_UPPER_1,integer,false(),nothingInt(),Attribute does not occur, TRUE
5,5,DIST_EXT_LOWER_1,integer,false(),nothingInt(),Attribute does not occur, TRUE
6,6,DIST_TYPE_2,text,false(),nothingText(),Attribute does not occur, TRUE
7,7,DIST_YEAR_2,integer,false(),nothingInt(),Attribute does not occur, TRUE
8,8,DIST_EXT_UPPER_2,integer,false(),nothingInt(),Attribute does not occur, TRUE
9,9,DIST_EXT_LOWER_2,integer,false(),nothingInt(),Attribute does not occur, TRUE
10,10,DIST_TYPE_3,text,false(),nothingText(),Attribute does not occur, TRUE
11,11,DIST_YEAR_3,integer,false(),nothingInt(),Attribute does not occur, TRUE
12,12,DIST_EXT_UPPER_3,integer,false(),nothingInt(),Attribute does not occur, TRUE
13,13,DIST_EXT_LOWER_3,integer,false(),nothingInt(),Attribute does not occur, TRUE
14,14,LAYER,integer,false(|-8886),nothingInt(),Attribute does not occur, TRUE
