,col0,col1,col2,col3,col4,col5,col6,col7,col8,col9,col10,col11,col12,col13,col14,col15,col16,col17,col18,col19,col20,col21,col22,col23,col24,col25,col26,col27,col28,col29,col30,col31
0,0,21600899,1610612743,DEN,Denver,201568,Danilo Gallinari,F,,5:47,94.0,92.3,116.5,115.4,-22.4,-23.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.5,1.268,0.17600000000000002,0.179,106.31,107.8,89.84,13,0.3
1,1,21600899,1610612743,DEN,Denver,201163,Wilson Chandler,F,,6:38,94.9,100.0,100.8,107.1,-6.0,-7.1,0.0,0.0,0.0,0.0,0.0,0.0,50.0,0.0,0.0,0.105,0.107,107.16,101.23,84.36,14,-0.087
2,2,21600899,1610612743,DEN,Denver,203999,Nikola Jokic,C,,5:12,102.0,100.0,90.9,90.9,11.1,9.1,1.0,1.0,25.0,0.667,0.75,0.7,25.0,0.25,0.25,0.375,0.381,104.95,106.05,88.38,12,0.2
3,3,21600899,1610612743,DEN,Denver,203914,Gary Harris,G,,5:12,102.0,100.0,90.9,90.9,11.1,9.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.5,1.5,0.063,0.063,104.95,106.05,88.38,12,0.15
4,4,21600899,1610612743,DEN,Denver,1627750,Jamal Murray,G,,5:12,102.0,100.0,90.9,90.9,11.1,9.1,0.0,0.0,0.0,0.0,0.0,0.0,20.0,0.0,0.0,0.313,0.317,104.95,106.05,88.38,12,-0.25
5,5,21600899,1610612743,DEN,Denver,203486,Mason Plumlee,,,6:47,128.7,146.2,83.8,92.3,44.9,53.8,0.0,0.0,0.0,0.0,0.2,0.11800000000000001,0.0,0.5,0.5,0.125,0.11900000000000001,102.89,91.99,76.66,13,0.08199999999999999
6,6,21600899,1610612743,DEN,Denver,203115,Will Barton,,,6:47,128.7,146.2,83.8,92.3,44.9,53.8,0.25,0.0,16.7,0.14300000000000002,0.0,0.059000000000000004,0.0,0.6,0.643,0.313,0.298,102.89,91.99,76.66,13,0.184
7,7,21600899,1610612743,DEN,Denver,1626144,Emmanuel Mudiay,,,6:47,128.7,146.2,83.8,92.3,44.9,53.8,0.2,1.0,16.7,0.0,0.3,0.17600000000000002,16.7,0.625,0.625,0.313,0.298,102.89,91.99,76.66,13,0.245
8,8,21600899,1610612743,DEN,Denver,1627823,Juancho Hernangomez,,,6:12,138.1,158.3,56.3,58.3,81.8,100.0,0.0,0.0,0.0,0.0,0.1,0.059000000000000004,0.0,0.0,0.647,0.133,0.127,101.42,92.9,77.42,12,0.154
9,9,21600899,1610612743,DEN,Denver,201589,Darrell Arthur,,,5:21,144.6,154.5,67.0,63.6,77.5,90.9,0.0,0.0,0.0,0.16699999999999998,0.125,0.14300000000000002,0.0,1.0,1.0,0.077,0.073,99.59,98.69,82.24,11,0.163
