,col0,col1,col2,col3,col4,col5
0,Long Statement,Insight.Tests.PostgreSQL,PostgreSQLTests,D:\research\architectureSmells\repos\jonwagner_Insight.Database\Insight.Tests.PostgreSQL\PostgreSQLTests.cs,TestSchemaSwitching,"The length of the statement  ""                Assert.AreEqual(1' _connectionStringBuilder.ConnectionWithSchema(""test1"").ExecuteScalarSql<int>(""SELECT * FROM InsightTestData"")); "" is 130."
1,Long Statement,Insight.Tests.PostgreSQL,PostgreSQLTests,D:\research\architectureSmells\repos\jonwagner_Insight.Database\Insight.Tests.PostgreSQL\PostgreSQLTests.cs,TestSchemaSwitching,"The length of the statement  ""                Assert.AreEqual(2' _connectionStringBuilder.ConnectionWithSchema(""test2"").ExecuteScalarSql<int>(""SELECT * FROM InsightTestData"")); "" is 130."
2,Long Statement,Insight.Tests.PostgreSQL,PostgreSQLTests,D:\research\architectureSmells\repos\jonwagner_Insight.Database\Insight.Tests.PostgreSQL\PostgreSQLTests.cs,TestStringToJsonProcParameters,"The length of the statement  ""				var users = new Users() { Id = 1' JsonData = (string)JsonObjectSerializer.Serializer.SerializeObject(typeof(TestData)' input) }; "" is 128."
3,Long Statement,Insight.Tests.PostgreSQL,PostgreSQLTests,D:\research\architectureSmells\repos\jonwagner_Insight.Database\Insight.Tests.PostgreSQL\PostgreSQLTests.cs,TestStringToJsonbProcParameters,"The length of the statement  ""				var users = new Users() { Id = 1' JsonData = (string)JsonObjectSerializer.Serializer.SerializeObject(typeof(TestData)' input) }; "" is 128."
4,Long Statement,Insight.Tests.PostgreSQL,PostgreSQLTests,D:\research\architectureSmells\repos\jonwagner_Insight.Database\Insight.Tests.PostgreSQL\PostgreSQLTests.cs,TestIssue342,"The length of the statement  ""				_connection.ExecuteSql(""CREATE TABLE InsightTestData (email varchar(256)' first_name varchar(256)' last_name varchar(256))""); "" is 125."
5,Long Statement,Insight.Tests.PostgreSQL,PostgreSQLTests,D:\research\architectureSmells\repos\jonwagner_Insight.Database\Insight.Tests.PostgreSQL\PostgreSQLTests.cs,TestEnumToSmallInt,"The length of the statement  ""				try { _connection.ExecuteSql(""DROP FUNCTION PostgresSQLSmallInt (i smallint' NullableValue smallint' NullValue smallint)""); } catch { } "" is 135."
6,Long Statement,Insight.Tests.PostgreSQL,PostgreSQLTests,D:\research\architectureSmells\repos\jonwagner_Insight.Database\Insight.Tests.PostgreSQL\PostgreSQLTests.cs,TestReturnSetofTable,"The length of the statement  ""				connection.ExecuteSql(""CREATE TABLE widget (id INTEGER PRIMARY KEY GENERATED BY DEFAULT AS IDENTITY NOT NULL' name TEXT)""); "" is 123."
7,Empty Catch Block,Insight.Tests.PostgreSQL,PostgreSQLTests,D:\research\architectureSmells\repos\jonwagner_Insight.Database\Insight.Tests.PostgreSQL\PostgreSQLTests.cs,TestExecuteProcedure,The method has an empty catch block.
8,Empty Catch Block,Insight.Tests.PostgreSQL,PostgreSQLTests,D:\research\architectureSmells\repos\jonwagner_Insight.Database\Insight.Tests.PostgreSQL\PostgreSQLTests.cs,TestExecuteProcedure,The method has an empty catch block.
9,Empty Catch Block,Insight.Tests.PostgreSQL,PostgreSQLTests,D:\research\architectureSmells\repos\jonwagner_Insight.Database\Insight.Tests.PostgreSQL\PostgreSQLTests.cs,TestExecuteProcedureWithDateParameter,The method has an empty catch block.
10,Empty Catch Block,Insight.Tests.PostgreSQL,PostgreSQLTests,D:\research\architectureSmells\repos\jonwagner_Insight.Database\Insight.Tests.PostgreSQL\PostgreSQLTests.cs,TestExecuteProcedureWithDateParameter,The method has an empty catch block.
11,Empty Catch Block,Insight.Tests.PostgreSQL,PostgreSQLTests,D:\research\architectureSmells\repos\jonwagner_Insight.Database\Insight.Tests.PostgreSQL\PostgreSQLTests.cs,TestExecuteProcedureWithOutputParameter,The method has an empty catch block.
12,Empty Catch Block,Insight.Tests.PostgreSQL,PostgreSQLTests,D:\research\architectureSmells\repos\jonwagner_Insight.Database\Insight.Tests.PostgreSQL\PostgreSQLTests.cs,TestMultipleRecordsets,The method has an empty catch block.
13,Empty Catch Block,Insight.Tests.PostgreSQL,PostgreSQLTests,D:\research\architectureSmells\repos\jonwagner_Insight.Database\Insight.Tests.PostgreSQL\PostgreSQLTests.cs,TestMultipleRecordsets,The method has an empty catch block.
14,Empty Catch Block,Insight.Tests.PostgreSQL,PostgreSQLTests,D:\research\architectureSmells\repos\jonwagner_Insight.Database\Insight.Tests.PostgreSQL\PostgreSQLTests.cs,TestMultipleRecordsetsAsync,The method has an empty catch block.
15,Empty Catch Block,Insight.Tests.PostgreSQL,PostgreSQLTests,D:\research\architectureSmells\repos\jonwagner_Insight.Database\Insight.Tests.PostgreSQL\PostgreSQLTests.cs,TestMultipleRecordsetsAsync,The method has an empty catch block.
16,Empty Catch Block,Insight.Tests.PostgreSQL,PostgreSQLTests,D:\research\architectureSmells\repos\jonwagner_Insight.Database\Insight.Tests.PostgreSQL\PostgreSQLTests.cs,TestDynamicExecute,The method has an empty catch block.
17,Empty Catch Block,Insight.Tests.PostgreSQL,PostgreSQLTests,D:\research\architectureSmells\repos\jonwagner_Insight.Database\Insight.Tests.PostgreSQL\PostgreSQLTests.cs,TestDynamicExecute,The method has an empty catch block.
18,Empty Catch Block,Insight.Tests.PostgreSQL,PostgreSQLTests,D:\research\architectureSmells\repos\jonwagner_Insight.Database\Insight.Tests.PostgreSQL\PostgreSQLTests.cs,TestQueryRecordset,The method has an empty catch block.
19,Empty Catch Block,Insight.Tests.PostgreSQL,PostgreSQLTests,D:\research\architectureSmells\repos\jonwagner_Insight.Database\Insight.Tests.PostgreSQL\PostgreSQLTests.cs,TestQueryRecordset,The method has an empty catch block.
20,Empty Catch Block,Insight.Tests.PostgreSQL,PostgreSQLTests,D:\research\architectureSmells\repos\jonwagner_Insight.Database\Insight.Tests.PostgreSQL\PostgreSQLTests.cs,TestXmlTypes,The method has an empty catch block.
21,Empty Catch Block,Insight.Tests.PostgreSQL,PostgreSQLTests,D:\research\architectureSmells\repos\jonwagner_Insight.Database\Insight.Tests.PostgreSQL\PostgreSQLTests.cs,TestXmlTypes,The method has an empty catch block.
22,Empty Catch Block,Insight.Tests.PostgreSQL,PostgreSQLTests,D:\research\architectureSmells\repos\jonwagner_Insight.Database\Insight.Tests.PostgreSQL\PostgreSQLTests.cs,TestBulkLoad,The method has an empty catch block.
23,Empty Catch Block,Insight.Tests.PostgreSQL,PostgreSQLTests,D:\research\architectureSmells\repos\jonwagner_Insight.Database\Insight.Tests.PostgreSQL\PostgreSQLTests.cs,Cleanup,The method has an empty catch block.
24,Empty Catch Block,Insight.Tests.PostgreSQL,PostgreSQLTests,D:\research\architectureSmells\repos\jonwagner_Insight.Database\Insight.Tests.PostgreSQL\PostgreSQLTests.cs,TestIssue342,The method has an empty catch block.
25,Empty Catch Block,Insight.Tests.PostgreSQL,PostgreSQLTests,D:\research\architectureSmells\repos\jonwagner_Insight.Database\Insight.Tests.PostgreSQL\PostgreSQLTests.cs,TestEnumToSmallInt,The method has an empty catch block.
26,Empty Catch Block,Insight.Tests.PostgreSQL,PostgreSQLTests,D:\research\architectureSmells\repos\jonwagner_Insight.Database\Insight.Tests.PostgreSQL\PostgreSQLTests.cs,TestEnumToSmallInt,The method has an empty catch block.
27,Magic Number,Insight.Tests.PostgreSQL,PostgreSQLTests,D:\research\architectureSmells\repos\jonwagner_Insight.Database\Insight.Tests.PostgreSQL\PostgreSQLTests.cs,TestExecuteWithParameters,"The following statement contains a magic number: var result = _connection.QuerySql<int>(""SELECT @p as p""' new { p = 5 });"
28,Magic Number,Insight.Tests.PostgreSQL,PostgreSQLTests,D:\research\architectureSmells\repos\jonwagner_Insight.Database\Insight.Tests.PostgreSQL\PostgreSQLTests.cs,TestExecuteWithParameters,The following statement contains a magic number: Assert.AreEqual(5' result[0]);
29,Magic Number,Insight.Tests.PostgreSQL,PostgreSQLTests,D:\research\architectureSmells\repos\jonwagner_Insight.Database\Insight.Tests.PostgreSQL\PostgreSQLTests.cs,TestExecuteProcedure,"The following statement contains a magic number: var result = _connection.Execute(""PostgreSQLTestExecute""' new { i = 5 });"
30,Magic Number,Insight.Tests.PostgreSQL,PostgreSQLTests,D:\research\architectureSmells\repos\jonwagner_Insight.Database\Insight.Tests.PostgreSQL\PostgreSQLTests.cs,TestExecuteProcedureWithOutputParameter,"The following statement contains a magic number: var result = _connection.Query(""PostgreSQLTestOutput""' new TestData() { X = 11' Z = 0 });"
31,Magic Number,Insight.Tests.PostgreSQL,PostgreSQLTests,D:\research\architectureSmells\repos\jonwagner_Insight.Database\Insight.Tests.PostgreSQL\PostgreSQLTests.cs,TestExecuteProcedureWithOutputParameter,The following statement contains a magic number: Assert.AreEqual(11' output.Z);
32,Magic Number,Insight.Tests.PostgreSQL,PostgreSQLTests,D:\research\architectureSmells\repos\jonwagner_Insight.Database\Insight.Tests.PostgreSQL\PostgreSQLTests.cs,TestMultipleRecordsets,"The following statement contains a magic number: var result = connection.QueryResults<int' int>(@""PostgreSQLTestProc""' new { i = 5 });"
33,Magic Number,Insight.Tests.PostgreSQL,PostgreSQLTests,D:\research\architectureSmells\repos\jonwagner_Insight.Database\Insight.Tests.PostgreSQL\PostgreSQLTests.cs,TestMultipleRecordsets,The following statement contains a magic number: Assert.AreEqual(5' result.Set1[0]);
34,Magic Number,Insight.Tests.PostgreSQL,PostgreSQLTests,D:\research\architectureSmells\repos\jonwagner_Insight.Database\Insight.Tests.PostgreSQL\PostgreSQLTests.cs,TestMultipleRecordsets,The following statement contains a magic number: Assert.AreEqual(5' result.Set2[0]);
