,col0,col1,col2,col3,col4,col5,col6,col7,col8,col9,col10,col11,col12,col13,col14,col15,col16,col17,col18,col19
0,e29b5074-8fd1-11eb-924d-9cd76263cbd0,genus,Dermatophyllum,,,Scheele,Q4522370,,,,,,,,,22227-1,wfo-4000011173,9802334,,
1,af94ddb6-8fcd-11eb-924d-9cd76263cbd0,species,arizonicum,Dermatophyllum,,(S.Watson) Vincent,"Q960820,Q6012704",2011.0,,Phytoneuron 2011–57: 2 2011,,,,25d813ce-8fc1-11eb-924d-9cd76263cbd0,,77116895-1,wfo-0001042781,7906494,,
2,afab9600-8fcd-11eb-924d-9cd76263cbd0,species,guadalupense,Dermatophyllum,,(B.L.Turner & A.M.Powell) B.L.Turner,"Q4468157,Q2638485",2012.0,,Phytoneuron 2012–3: 1 2012,,,,,,77116783-1,wfo-0001042955,7428851,,
3,af94fecc-8fcd-11eb-924d-9cd76263cbd0,species,gypsophilum,Dermatophyllum,,(B.L.Turner & A.M.Powell) Vincent,"Q4468157,Q2638485,Q6012704",2011.0,,Phytoneuron 2011–57: 2 2011,,,,,,77116896-1,wfo-0001042782,7570923,,
4,af953c52-8fcd-11eb-924d-9cd76263cbd0,subspecies,guadalupense,Dermatophyllum,gypsophilum,(B.L.Turner & A.M.Powell) Vincent,"Q4468157,Q2638485,Q6012704",2011.0,,Phytoneuron 2011–57: 2 2011,,,,,,77116897-1,wfo-0001042784,8251832,,
5,afabb248-8fcd-11eb-924d-9cd76263cbd0,species,juanhintonianum,Dermatophyllum,,(B.L.Turner) B.L.Turner,Q4468157,2012.0,,Phytoneuron 2012–3: 1 2012,,,,,,77116782-1,wfo-0001042956,7930450,,
6,af955cb4-8fcd-11eb-924d-9cd76263cbd0,species,purpusii,Dermatophyllum,,(Brandegee) Vincent,"Q1002345,Q6012704",2011.0,,Phytoneuron 2011–57: 3 2011,,,,,,77116899-1,wfo-0001042785,7762206,,
7,7ac8f40c-8fb2-11eb-924d-9cd76263cbd0,species,schomburgkii,Dermatophyllum,,Sch.Bip. ex M.R.Schomb.,"Q65685,Q106178",,,,,,,,,,wfo-0000025712,3150377,,
8,b451e24a-8fcd-11eb-924d-9cd76263cbd0,species,schomburgkii,Dermatophyllum,,Sch.Bip.,Q65685,,,Reis. Br.-Guiana 3: 1079 1848,,,,,,491257-1,wfo-0001053403,7876902,,
9,af951f42-8fcd-11eb-924d-9cd76263cbd0,species,secundiflorum,Dermatophyllum,,(Ortega) Gandhi & Reveal,"Q957993,Q21445866,Q1364160",2011.0,,Phytoneuron 2011–57: 2 2011,,,,,,77116898-1,wfo-0001042783,7594161,,
10,4e7a1bcc-8fc3-11eb-924d-9cd76263cbd0,species,speciosum,Dermatophyllum,,Scheele,Q4522370,,,,,,,,,,wfo-0000182066,2959005,,
