,col0,col1,col2
0,,135836,
1,,132741,Federal Poverty Level
2,,108216,Area median income
3,,129441,Federal Poverty Level
4,,,Federal Poverty Level
5,,129071,
6,,127461,Area median income
7,,127216,
8,,127206,
9,,127186,
10,,127176,
11,,127166,
12,,127156,
13,,127061,
14,,127051,
15,,,
16,,124276,
17,,122701,
18,,120306,
19,,120061,
20,,116931,
21,,,
22,,115961,
23,,113196,
24,,,
25,,,
26,,,Federal Poverty Level
27,,110956,
28,,110896,
29,,,Federal Poverty Level
30,,107096,Federal Poverty Level
31,,106706,
32,,105921,Federal Poverty Level
33,,"97546,Unnamed record",
34,,,
35,,95456,
36,,,Federal Poverty Level
37,,91721,
38,,91706,
39,,91691,
40,,91696,
41,,91051,
42,,,
43,,,
44,,,
45,,90536,
46,,91326,Federal Poverty Level
47,,89636,
48,,"89016,89006",Federal Poverty Level
49,,88501,
50,,86836,
51,,,
52,,90346,
53,,64196,
54,,64186,
55,,64176,
56,,63846,
57,,63516,
58,,54736,
59,,54726,
60,,54716,
61,,54696,
62,,54681,
63,,54341,
64,,53951,
65,,52971,
66,,51961,
67,,51936,
68,,51906,
69,,51871,
70,,51846,
71,,51821,
72,,,
73,,51751,
74,,51731,
75,,51716,
76,,51706,
77,,51671,
78,,51616,
79,,51536,
80,,51511,
81,,51501,
82,,51491,
83,,51466,
84,,51451,
85,,51456,
86,,51416,
87,,51401,
88,,51371,
89,,51341,
90,,51331,
91,,51291,
92,,51271,
93,,51251,
94,,51236,
95,,51196,
96,,51181,
97,,51156,
98,,,
99,,50616,
100,,49931,
101,,49916,
102,,49901,Federal Poverty Level
103,,49891,Federal Poverty Level
104,,49881,Federal Poverty Level
105,,49871,Federal Poverty Level
106,,49861,Federal Poverty Level
107,,49816,Federal Poverty Level
108,,49771,Federal Poverty Level
109,,49741,Federal Poverty Level
110,,49726,Federal Poverty Level
111,,49646,Federal Poverty Level
112,,49636,Federal Poverty Level
113,,49626,Federal Poverty Level
114,,49591,Federal Poverty Level
115,,49411,
116,,49416,
117,,49391,Federal Poverty Level
118,,49381,Federal Poverty Level
119,,49371,Federal Poverty Level
120,,49361,Federal Poverty Level
121,,49351,Federal Poverty Level
122,,49336,Federal Poverty Level
123,,49326,Federal Poverty Level
124,,38446,
125,,38396,
126,,37816,
127,,,
128,,37366,
129,,37356,
130,,37346,
131,,37281,
132,,37271,
133,,36856,
134,,36796,
135,,36776,
136,,36751,
137,,36721,
138,,36706,
139,,36691,
140,,60891,
141,,36636,
142,,36551,
143,,36536,
144,,36516,
145,,36506,
146,,36451,
147,,36436,
148,,36416,
149,,36181,
150,,36176,
151,,36161,
152,,36151,
153,,36141,
154,,29821,
155,,36116,
156,,,
157,,34991,
158,,34976,
159,,34961,
160,,34926,
161,,33921,
162,,33871,
163,,61871,
164,,31751,
165,,31741,
166,,30246,Federal Poverty Level
167,,30301,Federal Poverty Level
168,,30046,
169,,30031,
170,,30016,Federal Poverty Level
171,,30006,Federal Poverty Level
172,,29991,Federal Poverty Level
173,,29976,Federal Poverty Level
174,,29966,Federal Poverty Level
175,,29941,Federal Poverty Level
176,,29906,Federal Poverty Level
177,,,Federal Poverty Level
178,,"30116,30111,30106,29566,29561",Federal Poverty Level
179,,29126,Federal Poverty Level
180,,28871,Federal Poverty Level
181,,28721,Federal Poverty Level
182,,"86921,28501,28496",
183,,32166,
184,,49396,
185,,,
186,,,
187,,,
188,,,
189,,51596,
190,,29701,
191,,,
192,,51646,
193,,,
194,,,
195,,,
196,,,
197,,,
198,,51661,
199,,,
200,,,
201,,68066,
202,,51081,
203,,50661,
204,,50631,
205,,,
206,,,
207,,33881,
208,,,
209,,,
210,,"50346,50316,50156",
211,,,
212,,,
213,,,
214,,,
215,,,
216,,,
217,,36566,
218,,,
219,,,
220,,"94711,94706",
221,,50456,
222,,,
223,,,
224,,49941,
225,,49936,
226,,33876,
227,,36556,
228,,,
229,,67401,
230,,49921,
231,,49906,
232,,68056,
233,,36526,
234,,61876,
235,,51361,
236,,51421,
237,,51426,
238,,36541,
239,,34966,
240,,,
241,,,
242,,,
243,,34981,
244,,51431,
245,,51476,
246,,,
247,,,
248,,"101146,100171,31706,31686,31631,29511",Federal Poverty Level
249,,,
250,,,
251,,68076,
252,,,
253,,68086,
254,,,
255,,,
256,,,
257,,,
258,,51516,
259,,,
260,,,
261,,,
262,,68071,
263,,51521,
264,,51526,
265,,,
266,,51721,
267,,36371,
268,,51546,
269,,,
270,,,
271,,84526,Federal Poverty Level
272,,,
273,,,
274,,51551,
275,,51556,
276,,,
277,,51561,
278,,,
279,,,
280,,51576,
281,,51586,
282,,,
283,,,
284,,93286,
285,,,
286,,,
287,,68081,
288,,,
289,,,
290,,50781,
291,,51136,
292,,50861,
293,,"32796,30066,30061,30056,30036,30021,29926,29866,29856,29801,29791",Federal Poverty Level
294,,68096,
295,,50931,
296,,50981,
297,,,
298,,,
299,,,
300,,51036,
301,,"83176,83171",
302,,92921,Federal Poverty Level
303,,,
304,,51226,
305,,,
306,,"99161,28856,28851,28846,28841,28836,28831,28776",Federal Poverty Level
307,,,
308,,68091,
309,,,
310,,51241,
311,,,
312,,51281,
313,,,
314,,,
315,,,
316,,,
317,,,
318,,,
319,,,
320,,51301,
321,,51306,
322,,51316,
323,,,
324,,51321,
325,,,
326,,51346,
327,,51351,
328,,51356,
329,,36426,
330,,,
331,,36441,
332,,36346,
333,,36376,
334,,36571,
335,,,
336,,,
337,,,
338,,,
339,,36351,
340,,36356,
341,,,
342,,36361,
343,,,
344,,,
345,,37711,
346,,37736,
