,col0,col1,col2,col3,col4,col5,col6,col7,col8,col9,col10,col11,col12,col13,col14,col15,col16,col17,col18,col19,col20,col21,col22,col23,col24,col25,col26,col27,col28,col29,col30,col31
0,0,21701221,1610612761,TOR,Toronto,201942,DeMar DeRozan,G,,4:53,38.3,40.0,121.1,122.2,-82.8,-82.2,0.0,0.0,0.0,0.1,0.0,0.077,0.0,0.33299999999999996,0.33299999999999996,0.25,0.24100000000000002,96.0,93.44,77.87,10,-0.071
1,1,21701221,1610612761,TOR,Toronto,200768,Kyle Lowry,G,,4:53,38.3,40.0,121.1,122.2,-82.8,-82.2,0.5,1.0,20.0,0.0,0.33299999999999996,0.077,20.0,0.0,0.0,0.33299999999999996,0.322,96.0,93.44,77.87,10,-0.429
2,2,21701221,1610612761,TOR,Toronto,101139,CJ Miles,,,1:46,0.0,0.0,36.2,33.3,-36.2,-33.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.16699999999999998,0.16699999999999998,92.01,95.27,79.4,4,0.4
3,3,21701221,1610612761,TOR,Toronto,1627751,Jakob Poeltl,,,4:53,38.3,40.0,121.1,122.2,-82.8,-82.2,0.0,0.0,0.0,0.1,0.33299999999999996,0.154,0.0,0.5,0.41,0.16699999999999998,0.161,96.0,93.44,77.87,10,0.214
4,4,21701221,1610612761,TOR,Toronto,1627783,Pascal Siakam,,,3:07,62.1,66.7,158.2,166.7,-96.1,-100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,98.26,92.41,77.01,6,0.0
5,5,21701221,1610612761,TOR,Toronto,1626153,Delon Wright,,,4:53,38.3,40.0,121.1,122.2,-82.8,-82.2,0.0,0.0,0.0,0.0,0.33299999999999996,0.077,0.0,0.0,0.0,0.16699999999999998,0.161,96.0,93.44,77.87,10,-0.429
6,6,21701221,1610612748,MIA,Miami,1626196,Josh Richardson,F,,4:53,121.1,122.2,38.3,40.0,82.8,82.2,0.33299999999999996,0.0,50.0,0.0,0.0,0.0,0.0,1.0,1.0,0.111,0.11,96.0,93.44,77.87,9,0.5710000000000001
7,7,21701221,1610612748,MIA,Miami,201949,James Johnson,F,,1:46,36.2,33.3,0.0,0.0,36.2,33.3,0.0,0.0,0.0,0.0,0.33299999999999996,0.25,0.0,0.0,0.568,0.33299999999999996,0.36200000000000004,92.01,95.27,79.4,3,-0.4
8,8,21701221,1610612748,MIA,Miami,201961,Wayne Ellington,,,4:53,121.1,122.2,38.3,40.0,82.8,82.2,0.0,0.0,0.0,0.0,0.1,0.077,0.0,1.0,1.0,0.111,0.11,96.0,93.44,77.87,9,0.429
9,9,21701221,1610612748,MIA,Miami,203482,Kelly Olynyk,,,3:07,158.2,166.7,62.1,66.7,96.1,100.0,0.0,0.0,0.0,0.0,0.25,0.2,0.0,0.0,0.0,0.16699999999999998,0.158,98.26,92.41,77.01,6,0.0
10,10,21701221,1610612748,MIA,Miami,1626159,Justise Winslow,,,4:53,121.1,122.2,38.3,40.0,82.8,82.2,0.33299999999999996,1.0,20.0,0.0,0.4,0.308,20.0,1.0,0.5429999999999999,0.444,0.441,96.0,93.44,77.87,9,0.429
11,11,21701221,1610612748,MIA,Miami,1628389,Bam Adebayo,,,4:53,121.1,122.2,38.3,40.0,82.8,82.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.042,0.111,0.11,96.0,93.44,77.87,9,0.28600000000000003
