,col0,col1,col2,col3,col4,col5,col6,col7,col8,col9,col10,col11,col12,col13,col14,col15,col16,col17,col18,col19,col20,col21,col22,col23,col24,col25,col26,col27,col28
0,0,21600821,1610612755,PHI,Philadelphia,203496,Robert Covington,F,,30:05,6.0,16.0,0.375,3.0,10.0,0.3,2.0,3.0,0.667,2.0,3.0,5.0,1.0,3.0,1.0,5.0,3.0,17.0,5.0
1,1,21600821,1610612755,PHI,Philadelphia,101141,Ersan Ilyasova,F,,20:07,2.0,7.0,0.28600000000000003,1.0,4.0,0.25,0.0,0.0,0.0,1.0,9.0,10.0,4.0,1.0,0.0,1.0,3.0,5.0,2.0
2,2,21600821,1610612755,PHI,Philadelphia,203457,Nerlens Noel,C,,28:02,5.0,6.0,0.833,0.0,0.0,0.0,2.0,3.0,0.667,1.0,6.0,7.0,1.0,3.0,2.0,1.0,2.0,12.0,-2.0
3,3,21600821,1610612755,PHI,Philadelphia,201945,Gerald Henderson,G,,27:51,4.0,8.0,0.5,1.0,4.0,0.25,3.0,3.0,1.0,0.0,4.0,4.0,1.0,0.0,0.0,2.0,3.0,12.0,6.0
4,4,21600821,1610612755,PHI,Philadelphia,204456,T.J. McConnell,G,,35:49,7.0,12.0,0.583,0.0,1.0,0.0,0.0,0.0,0.0,0.0,4.0,4.0,7.0,1.0,0.0,2.0,1.0,14.0,4.0
5,5,21600821,1610612755,PHI,Philadelphia,1626158,Richaun Holmes,,,19:26,1.0,3.0,0.33299999999999996,0.0,0.0,0.0,1.0,4.0,0.25,2.0,2.0,4.0,0.0,0.0,1.0,0.0,1.0,3.0,5.0
6,6,21600821,1610612755,PHI,Philadelphia,203917,Nik Stauskas,,,24:31,3.0,8.0,0.375,2.0,3.0,0.667,3.0,4.0,0.75,1.0,5.0,6.0,2.0,1.0,0.0,2.0,3.0,11.0,-3.0
7,7,21600821,1610612755,PHI,Philadelphia,203967,Dario Saric,,,31:05,8.0,17.0,0.47100000000000003,2.0,7.0,0.28600000000000003,0.0,0.0,0.0,2.0,9.0,11.0,3.0,0.0,1.0,3.0,1.0,18.0,1.0
8,8,21600821,1610612755,PHI,Philadelphia,200771,Sergio Rodriguez,,,12:11,3.0,5.0,0.6,2.0,3.0,0.667,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,2.0,3.0,8.0,2.0
9,9,21600821,1610612755,PHI,Philadelphia,1627789,Timothe Luwawu-Cabarrot,,,10:53,2.0,4.0,0.5,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,1.0,5.0,10.0
10,10,21600821,1610612755,PHI,Philadelphia,203954,Joel Embiid,,NWT - Left Knee Contusion               ,,,,,,,,,,,,,,,,,,,,
11,11,21600821,1610612755,PHI,Philadelphia,1626143,Jahlil Okafor,,NWT - Rest                              ,,,,,,,,,,,,,,,,,,,,
12,12,21600821,1610612755,PHI,Philadelphia,1626184,Chasson Randle,,DNP - Coach's Decision                  ,,,,,,,,,,,,,,,,,,,,
13,13,21600821,1610612766,CHA,Charlotte,203077,Michael Kidd-Gilchrist,F,,31:55,2.0,2.0,1.0,0.0,0.0,0.0,2.0,2.0,1.0,2.0,5.0,7.0,2.0,2.0,1.0,2.0,5.0,6.0,-6.0
14,14,21600821,1610612766,CHA,Charlotte,101107,Marvin Williams,F,,33:08,1.0,7.0,0.14300000000000002,0.0,5.0,0.0,2.0,2.0,1.0,0.0,0.0,0.0,2.0,1.0,0.0,0.0,2.0,4.0,-13.0
15,15,21600821,1610612766,CHA,Charlotte,1626163,Frank Kaminsky,C,,37:46,5.0,16.0,0.313,1.0,6.0,0.16699999999999998,1.0,4.0,0.25,1.0,10.0,11.0,2.0,1.0,3.0,3.0,1.0,12.0,0.0
16,16,21600821,1610612766,CHA,Charlotte,201587,Nicolas Batum,G,,37:56,5.0,12.0,0.41700000000000004,3.0,6.0,0.5,3.0,3.0,1.0,0.0,1.0,1.0,4.0,2.0,0.0,1.0,0.0,16.0,0.0
17,17,21600821,1610612766,CHA,Charlotte,202689,Kemba Walker,G,,37:52,10.0,18.0,0.556,1.0,4.0,0.25,8.0,10.0,0.8,0.0,7.0,7.0,3.0,2.0,0.0,2.0,2.0,29.0,0.0
18,18,21600821,1610612766,CHA,Charlotte,203087,Jeremy Lamb,,,15:29,4.0,8.0,0.5,2.0,3.0,0.667,2.0,3.0,0.667,0.0,0.0,0.0,0.0,1.0,0.0,0.0,4.0,12.0,-10.0
19,19,21600821,1610612766,CHA,Charlotte,201158,Marco Belinelli,,,27:07,3.0,10.0,0.3,2.0,5.0,0.4,0.0,0.0,0.0,0.0,4.0,4.0,4.0,1.0,1.0,4.0,1.0,8.0,10.0
20,20,21600821,1610612766,CHA,Charlotte,203148,Brian Roberts,,,10:08,2.0,3.0,0.667,2.0,2.0,1.0,2.0,2.0,1.0,0.0,0.0,0.0,2.0,0.0,0.0,2.0,0.0,8.0,-6.0
21,21,21600821,1610612766,CHA,Charlotte,203101,Miles Plumlee,,,8:39,2.0,2.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,3.0,0.0,1.0,0.0,1.0,2.0,4.0,-5.0
22,22,21600821,1610612766,CHA,Charlotte,1626203,Treveon Graham,,DNP - Coach's Decision                  ,,,,,,,,,,,,,,,,,,,,
23,23,21600821,1610612766,CHA,Charlotte,203492,Ray McCallum,,DNP - Coach's Decision                  ,,,,,,,,,,,,,,,,,,,,
24,24,21600821,1610612766,CHA,Charlotte,1627861,Mike Tobey,,DNP - Coach's Decision                  ,,,,,,,,,,,,,,,,,,,,
25,25,21600821,1610612766,CHA,Charlotte,1626174,Christian Wood,,DNP - Coach's Decision                  ,,,,,,,,,,,,,,,,,,,,
