,col0,col1,col2,col3,col4,col5,col6,col7,col8,col9,col10,col11,col12,col13,col14,col15,col16
0,201,225,198,387,5300200,3,1,137,23,57,818,798,165,189,137,13,149
1,201,225,198,387,5300200,1,1,165,23,57,818,798,165,189,137,13,149
2,201,225,198,387,5300200,2,1,189,23,57,818,798,165,189,137,13,149
3,201,225,201,412,5300200,5,1,149,23,57,818,798,165,189,137,13,149
4,198,387,212,398,5300559,3,2,135,165,57,818,798,45,65,135,195,186
5,198,387,201,412,5300559,5,2,186,165,57,818,798,45,65,135,195,186
6,198,387,201,412,5300559,4,2,195,165,57,818,798,45,65,135,195,186
7,198,387,225,398,5300559,1,2,45,165,57,818,798,45,65,135,195,186
8,198,387,201,426,5300559,2,2,65,165,57,818,798,45,65,135,195,186
9,225,398,373,401,5300919,1,3,18,45,57,818,798,18,10000000,10000000,10000000,10000000
10,373,401,398,385,5301278,4,4,104,18,57,818,798,24,107,53,104,10000000
11,373,401,427,398,5301278,1,4,24,18,57,818,798,24,107,53,104,10000000
12,373,401,573,401,5301278,3,4,53,18,57,818,798,24,107,53,104,10000000
13,427,398,573,401,5301637,1,5,53,24,57,818,798,53,35,131,21,10000000
14,427,398,586,401,5301637,3,5,131,24,57,818,798,53,35,131,21,10000000
15,427,398,626,398,5301637,2,5,35,24,57,818,798,53,35,131,21,10000000
16,573,401,586,401,5301996,5,6,131,53,57,818,798,21,35,107,81,131
17,573,401,601,426,5301996,1,6,21,53,57,818,798,21,35,107,81,131
18,573,401,612,398,5301996,3,6,107,53,57,818,798,21,35,107,81,131
19,573,401,626,398,5301996,2,6,35,53,57,818,798,21,35,107,81,131
20,601,426,598,572,5302356,3,7,85,21,57,818,798,179,117,85,4,10000000
21,601,426,598,586,5302356,2,7,117,21,57,818,798,179,117,85,4,10000000
22,601,426,598,587,5302356,1,7,179,21,57,818,798,179,117,85,4,10000000
23,598,587,612,598,5302715,5,8,115,179,57,818,798,148,4,84,193,115
24,598,587,627,598,5302715,3,8,84,179,57,818,798,148,4,84,193,115
25,598,587,601,629,5302715,2,8,4,179,57,818,798,148,4,84,193,115
26,626,398,773,401,5306356,5,7,81,35,57,818,798,111,126,190,170,81
27,626,398,787,401,5306356,1,7,111,35,57,818,798,111,126,190,170,81
28,626,398,787,401,5306356,3,7,190,35,57,818,798,111,126,190,170,81
29,601,629,598,771,5307075,4,9,19,4,57,818,798,172,148,193,19,10000000
30,601,629,598,786,5307075,2,9,148,4,57,818,798,172,148,193,19,10000000
31,601,629,598,787,5307075,1,9,172,4,57,818,798,172,148,193,19,10000000
32,601,629,598,787,5307075,3,9,193,4,57,818,798,172,148,193,19,10000000
33,598,787,612,798,5307434,4,10,176,172,57,818,798,120,184,6,176,138
34,598,787,613,798,5307434,5,10,138,172,57,818,798,120,184,6,176,138
35,598,787,625,798,5307434,3,10,6,172,57,818,798,120,184,6,176,138
36,627,598,773,601,5311075,2,9,90,84,57,818,798,118,90,10000000,10000000,10000000
37,627,598,801,613,5311075,1,9,118,84,57,818,798,118,90,10000000,10000000,10000000
38,801,613,801,624,5311434,2,10,94,118,57,818,798,37,94,184,10000000,10000000
39,801,624,798,774,5315793,2,11,37,94,57,818,798,120,37,10000000,10000000,10000000
40,798,774,812,798,5320152,1,12,155,37,57,818,798,155,57,184,120,10000000
41,798,774,801,812,5320152,3,12,184,37,57,818,798,155,57,184,120,10000000
42,798,774,801,813,5320152,4,12,120,37,57,818,798,155,57,184,120,10000000
43,801,812,812,798,5328511,1,13,155,184,57,818,798,155,57,10000000,10000000,10000000
44,801,812,828,798,5328511,57,13,57,184,57,818,798,155,57,10000000,10000000,10000000
