,col0,col1,col2,col3,col4,col5,col6,col7,col8,col9,col10,col11,col12,col13,col14
0,,,,,U. S. D,epartme,nt of I,nterior,#NAME?,au of R,eclama,tion,,,
1,,,,,,Central,Valley,Operat,ions Of,fice,,,,,
2,Preliminary Values Subject to Change,,,,San,Luis an,d Cross,Valley,Canals,,,,,,
3,,,,,,,2010,,,,,,,,
4,Monthly Deliveries in AF,,,,,,,,,,,,,,
5,Water User,Canal,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec,Total
6,City of Avenal,SAN LUIS CANAL,161,139,163,176,204,234,259,261,233,203,156,146,"2,335"
7,City of Coalinga,SAN LUIS CANAL,209,234,310,287,386,621,756,772,654,512,415,281,"5,437"
8,City of Dos Palos,SAN LUIS CANAL,60,54,75,81,110,162,188,167,136,94,68,62,"1,257"
9,City of Huron,SAN LUIS CANAL,59,51,77,88,92,105,137,122,109,96,72,58,"1,066"
10,Pacheco WD,SAN LUIS CANAL,1,1,1,1,1,888,"1,745","1,474",518,235,154,171,"5,190"
11,Pacheco CCID Non-project (Hamburg),SAN LUIS CANAL,99,439,727,387,"1,154",792,0,0,0,132,126,0,"3,856"
12,Panoche WD,SAN LUIS CANAL,266,936,"1,491","1,763","3,631","7,030","8,218","3,643","1,044","1,254","1,031",721,"31,028"
13,San Luis WD,SAN LUIS CANAL,291,"1,189","3,771","4,565","8,265","11,239","12,717","8,051","3,251","4,542","3,035",101,"61,017"
14,Westlands WD,SAN LUIS CANAL,"4,037","6,547","19,830","30,219","73,219","134,369","152,150","94,172","51,218","36,168","22,718","18,713","643,360"
15,Mendota WMA (CDFG) (via WWD Lateral,SAN LUIS CANAL,0,0,0,0,0,1,1,1,1,1,0,0,5
16,Mendota WMA (CDFG) (via WWD Lateral,SAN LUIS CANAL,0,0,0,0,0,0,0,0,0,0,0,0,0
17,Kern National Wildlife Refuge (USFW,SAN LUIS CANAL,"1,204","1,807",68,70,290,0,0,"1,319","4,988","4,760","4,663","2,597","21,766"
18,O'Neill Forebay Wildlife,O'NEILL FOREBAY DELIVERIES,62,14,8,0,28,93,147,79,13,90,114,79,727
19,San Luis WD Ag,O'NEILL FOREBAY DELIVERIES,4,0,242,279,691,"1,172","1,272",800,390,335,105,3,"5,293"
20,San Luis M&I,O'NEILL FOREBAY DELIVERIES,3,0,37,32,54,65,79,80,74,59,37,28,548
21,VA Cemetery,O'NEILL FOREBAY DELIVERIES,2,1,6,13,40,40,59,38,38,15,10,4,266
22,County of Fresno,CROSS VALLEY CANAL (See Note 1 below,0,0,0,0,0,0,"1,350",0,0,0,0,0,"1,350"
23,County of Tulare,CROSS VALLEY CANAL (See Note 1 below,0,0,0,0,0,0,"2,389",0,0,0,0,0,"2,389"
24,Lower Tule River ID,CROSS VALLEY CANAL (See Note 1 below,0,0,0,0,0,0,"5,575","1,775",0,0,72,"4,455","11,877"
25,Pixley ID,CROSS VALLEY CANAL (See Note 1 below,0,0,0,0,0,0,"5,575","1,775",0,0,73,"4,456","11,879"
26,Kern-Tulare WD,CROSS VALLEY CANAL (See Note 1 below,0,0,0,0,0,0,"6,542","2,384","11,175","3,883",0,0,"23,984"
27,Hills-Valley ID,CROSS VALLEY CANAL (See Note 1 below,0,0,0,0,0,0,"1,506",0,0,0,0,0,"1,506"
28,Tri-Valley ID,CROSS VALLEY CANAL (See Note 1 below,0,0,0,0,0,0,0,0,0,0,0,0,0
29,Santa Clara,SAN FELIPE DIVISION,"7,094","2,477",526,"4,255","8,782","7,423","12,544","11,914","10,858","9,267","5,367","3,092","83,599"
30,San Benito,SAN FELIPE DIVISION,225,477,532,615,"1,025","1,813","1,940","3,728","1,975",359,237,250,"13,176"
31,,,,,,,,,,,,,,,
32,,,,,,,,,,,,,,,
