,col0,col1,col2,col3,col4,col5,col6,col7
0,access_l10n_es_aeat_mod349_report_user,AEAT 349 Model: Report - Account User,model_l10n_es_aeat_mod349_report,account.group_account_user,1,0,0,0
1,access_l10n_es_aeat_mod349_report_manager,AEAT 349 Model: Report - Account Manager,model_l10n_es_aeat_mod349_report,account.group_account_manager,1,1,1,1
2,access_l10n_es_aeat_mod349_partner_record_user,AEAT 349 Model: Partner record - Account User,model_l10n_es_aeat_mod349_partner_record,account.group_account_user,1,0,0,0
3,access_l10n_es_aeat_mod349_partner_record_manager,AEAT 349 Model: Partner record - Account Manager,model_l10n_es_aeat_mod349_partner_record,account.group_account_manager,1,1,1,1
4,access_l10n_es_aeat_mod349_partner_record_detail_user,AEAT 349 Model: Partner record detail - Account User,model_l10n_es_aeat_mod349_partner_record_detail,account.group_account_user,1,0,0,0
5,access_l10n_es_aeat_mod349_partner_record_detail_manager,AEAT 349 Model: Partner record detail - Account Manager,model_l10n_es_aeat_mod349_partner_record_detail,account.group_account_manager,1,1,1,1
6,access_l10n_es_aeat_mod349_partner_refund_user,AEAT 349 Model: Partner refund - Account User,model_l10n_es_aeat_mod349_partner_refund,account.group_account_user,1,0,0,0
7,access_l10n_es_aeat_mod349_partner_refund_manager,AEAT 349 Model: Partner refund - Account Manager,model_l10n_es_aeat_mod349_partner_refund,account.group_account_manager,1,1,1,1
8,access_l10n_es_aeat_mod349_partner_refund_detail_user,AEAT 349 Model: Partner refund detail - Account User,model_l10n_es_aeat_mod349_partner_refund_detail,account.group_account_user,1,0,0,0
9,access_l10n_es_aeat_mod349_partner_refund_detail_manager,AEAT 349 Model: Partner refund detail - Account Manager,model_l10n_es_aeat_mod349_partner_refund_detail,account.group_account_manager,1,1,1,1
