,col0,col1,col2,col3,col4,col5,col6,col7
0,446887,Ecoretools,General,ecore-inbox,UNCONFIRMED, ---,[sirius] Found 2 main representations files (that means not referenced by another) in ... (err_grp: d1d8725b),2019-01-07 03:55:46
1,398384,Ecoretools,General,ecore-inbox,NEW, ---,Default fill color of EClasses in Ecore Tools Diagram Editor cannot be modified,2014-05-10 09:36:38
2,400803,Ecoretools,General,ecore-inbox,NEW, ---,"Ecore diagramm editor does now allow ""##any"" in field ""Wildcards""",2016-05-04 08:13:58
3,427965,Ecoretools,General,ecore-inbox,NEW, ---,New Representation for Type Hierarchy of Ecore model,2014-02-12 04:47:04
4,427967,Ecoretools,General,ecore-inbox,NEW, ---,Support for Maps/Feature Maps,2014-02-12 04:02:06
5,428049,Ecoretools,General,ecore-inbox,NEW, ---,Add an overview representation on Ecore model,2014-02-26 03:35:44
6,428343,Ecoretools,General,ecore-inbox,NEW, ---,Add a dashboard view,2014-02-26 04:12:35
7,430594,Ecoretools,General,ecore-inbox,NEW, ---,Add support for virtual EPackages,2014-04-28 03:53:20
8,439465,Ecoretools,General,ecore-inbox,NEW, ---,to distinguish two clases with the same name but from different packages,2014-09-12 08:52:43
9,459461,Ecoretools,General,ecore-inbox,NEW, ---,Renmodel autoreload seems to be too lazy with xcore resources,2015-02-09 09:58:36
10,461290,Ecoretools,General,ecore-inbox,NEW, ---,Generate Image on save action,2015-03-24 06:33:36
11,454218,Ecoretools,General,ecore-inbox,RESOLVED,FIXED,Review the default settings in the .genmodel when creating the project,2017-05-30 04:30:44
12,370667,Ecoretools,General,ecore-inbox,RESOLVED,FIXED,NPE in ValidateAction.handleDiagnostic,2014-04-29 12:14:28
13,383562,Ecoretools,General,ecore-inbox,RESOLVED,FIXED,java.lang.ClassCastException: org.eclipse.emf.ecore.impl.EAttributeImpl cannot be cast to org.eclipse.emf.ecore.EReference  at org.eclipse.emf.ecoretools.diagram.edit.parts.EReferenceLowerBoundUpperBoundEditPart.setLabelTextHelper(EReferenceLowerBoundUppe,2014-04-29 12:14:21
14,404977,Ecoretools,General,ecore-inbox,RESOLVED,FIXED,EClassESuperEditType not holding semantic Object (EObject),2014-04-29 12:14:00
15,427966,Ecoretools,General,ecore-inbox,RESOLVED,FIXED,Support for eKeys,2014-06-04 08:40:59
16,428342,Ecoretools,General,ecore-inbox,RESOLVED,FIXED,Allow the usage of * in property view,2017-05-17 08:54:44
17,428350,Ecoretools,General,ecore-inbox,RESOLVED,FIXED,Help the users to choose an icon for each metaclass,2017-05-30 04:30:32
18,432804,Ecoretools,General,ecore-inbox,RESOLVED,FIXED,1.x Users are confused by the way 2.x need to be started.,2014-06-04 08:39:30
19,433304,Ecoretools,General,ecore-inbox,RESOLVED,FIXED,"Copy/Paste copies the models, but not the aird data",2014-06-26 10:48:56
20,433659,Ecoretools,General,ecore-inbox,RESOLVED,FIXED,"Add an ""External EClasses"" layer",2014-06-04 08:40:08
21,433764,Ecoretools,General,ecore-inbox,RESOLVED,FIXED,ClassCastException during reconnect on ETypeParameter,2014-06-10 10:42:22
22,434351,Ecoretools,General,ecore-inbox,RESOLVED,FIXED,Confusing P2 name,2014-05-13 05:13:36
23,436081,Ecoretools,General,ecore-inbox,RESOLVED,FIXED,Model gets invalid when creating a bidirectionnal reference with the same EClass as source and target.,2014-06-04 12:40:58
24,437255,Ecoretools,General,ecore-inbox,RESOLVED,FIXED,Can't create a Representation from the Java Perspective,2014-07-24 04:56:46
25,437681,Ecoretools,General,ecore-inbox,RESOLVED,FIXED,Ecores are dirty after added elements in diagram even if there is no modification,2014-11-07 04:25:25
26,437955,Ecoretools,General,ecore-inbox,RESOLVED,FIXED,IllegalStateException after adding Ecore model then selecting viewpoint,2016-05-17 09:43:37
27,438126,Ecoretools,General,ecore-inbox,RESOLVED,FIXED,"Using ""Initialize Ecore Diagram"" within a modeling project lead to an inconsistent state.",2014-08-13 13:25:15
28,438248,Ecoretools,General,ecore-inbox,RESOLVED,FIXED,Initialize Ecore Diagram makes .ecore file contain invalid references to other .ecore resources when Xtext bridge is installed,2015-03-23 12:29:33
29,438287,Ecoretools,General,ecore-inbox,RESOLVED,FIXED,java.lang.IllegalArgumentException when clicking in the outline.,2014-08-06 11:27:45
30,438307,Ecoretools,General,ecore-inbox,RESOLVED,WONTFIX,"Selecting ""Filters"" on context menu deactivates context menu items",2014-08-19 06:14:34
31,438516,Ecoretools,General,ecore-inbox,RESOLVED,FIXED,Derived features should have correct default settings,2014-08-18 08:08:09
32,439361,Ecoretools,General,ecore-inbox,RESOLVED,FIXED,Containment arrow is not always displayed on bi-directionnal references with containment,2014-11-03 08:15:25
33,439466,Ecoretools,General,ecore-inbox,RESOLVED,FIXED,"One class into a package has the icon ""from""",2014-09-12 08:51:10
34,441567,Ecoretools,General,ecore-inbox,RESOLVED,FIXED,Installing both ecoretools release 1.2.0 and release 2.0.0 results in a conflicting dependency,2017-03-13 11:40:15
35,441716,Ecoretools,General,ecore-inbox,RESOLVED,DUPLICATE,"The ""Intitialize Ecore Diagram"" action might lead to an inconsistent modeling project",2014-08-13 13:57:53
36,441722,Ecoretools,General,ecore-inbox,RESOLVED,FIXED,NullPointerException in EcoreInitDiagramFileAction,2014-08-18 08:08:23
37,442333,Ecoretools,General,ecore-inbox,RESOLVED,FIXED,"Reviewing the ""Classes"" table description",2014-09-12 08:50:12
38,443967,Ecoretools,General,ecore-inbox,RESOLVED,FIXED,"With XCore models, datatypes (e.g. EInt) are displayed as ""EJavaObject"" and create errors",2015-03-23 08:24:25
39,444845,Ecoretools,General,ecore-inbox,RESOLVED,FIXED,Setting EOpposite should set the other reference EOpposite,2014-11-03 05:31:37
40,447652,Ecoretools,General,ecore-inbox,RESOLVED,FIXED,Annotation and GenModelDoc property tabs are added on non Ecoretools editors,2017-05-17 08:55:02
