,col0,col1,col2
0,1,TA_LIB_NOT_INITIALIZE,TA_Initialize was not sucessfully called
1,2,TA_BAD_PARAM,A parameter is out of range
2,3,TA_ALLOC_ERR,Possibly out-of-memory
3,4,TA_GROUP_NOT_FOUND,No Info
4,5,TA_FUNC_NOT_FOUND,No Info
5,6,TA_INVALID_HANDLE,No Info
6,7,TA_INVALID_PARAM_HOLDER,No Info
7,8,TA_INVALID_PARAM_HOLDER_TYPE,No Info
8,9,TA_INVALID_PARAM_FUNCTION,No Info
9,10,TA_INPUT_NOT_ALL_INITIALIZE,No Info
10,11,TA_OUTPUT_NOT_ALL_INITIALIZE,No Info
11,12,TA_OUT_OF_RANGE_START_INDEX,No Info
12,13,TA_OUT_OF_RANGE_END_INDEX,No Info
13,14,TA_INVALID_LIST_TYPE,No Info
14,15,TA_BAD_OBJECT,No Info
15,16,TA_NOT_SUPPORTED,No Info
16,5000,TA_INTERNAL_ERROR,No Info
