,col0,col1,col2,col3,col4,col5,col6,col7,col8,col9,col10,col11,col12,col13,col14,col15,col16,col17,col18,col19,col20,col21,col22,col23,col24,col25,col26,col27,col28
0,0,21800155,1610612752,NYK,New York,1628422,Damyean Dotson,F,,17:51,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,3.0,3.0,2.0,0.0,0.0,0.0,4.0,3.0,6.0
1,1,21800155,1610612752,NYK,New York,203943,Noah Vonleh,F,,38:57,4.0,10.0,0.4,2.0,5.0,0.4,1.0,2.0,0.5,3.0,10.0,13.0,2.0,2.0,1.0,1.0,5.0,11.0,16.0
2,2,21800155,1610612752,NYK,New York,1629011,Mitchell Robinson,C,,14:53,2.0,2.0,1.0,0.0,0.0,0.0,1.0,2.0,0.5,3.0,3.0,6.0,0.0,1.0,2.0,1.0,2.0,5.0,3.0
3,3,21800155,1610612752,NYK,New York,203501,Tim Hardaway Jr.,G,,36:34,8.0,22.0,0.364,2.0,11.0,0.182,16.0,20.0,0.8,0.0,1.0,1.0,3.0,3.0,1.0,2.0,1.0,34.0,20.0
4,4,21800155,1610612752,NYK,New York,1628373,Frank Ntilikina,G,,22:56,5.0,10.0,0.5,2.0,4.0,0.5,2.0,2.0,1.0,0.0,3.0,3.0,3.0,1.0,0.0,3.0,6.0,14.0,3.0
5,5,21800155,1610612752,NYK,New York,1626144,Emmanuel Mudiay,,,21:34,4.0,8.0,0.5,3.0,3.0,1.0,0.0,2.0,0.0,1.0,4.0,5.0,3.0,0.0,1.0,1.0,2.0,11.0,8.0
6,6,21800155,1610612752,NYK,New York,202683,Enes Kanter,,,29:58,5.0,7.0,0.7140000000000001,0.0,0.0,0.0,7.0,10.0,0.7,3.0,8.0,11.0,0.0,0.0,2.0,5.0,4.0,17.0,3.0
7,7,21800155,1610612752,NYK,New York,1629019,Allonzo Trier,,,36:28,5.0,9.0,0.556,1.0,2.0,0.5,5.0,7.0,0.7140000000000001,1.0,3.0,4.0,1.0,1.0,0.0,2.0,4.0,16.0,-7.0
8,8,21800155,1610612752,NYK,New York,1628995,Kevin Knox,,,9:10,0.0,6.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,-14.0
9,9,21800155,1610612752,NYK,New York,1626209,Mario Hezonja,,,11:38,0.0,2.0,0.0,0.0,1.0,0.0,1.0,2.0,0.5,0.0,2.0,2.0,0.0,0.0,0.0,0.0,2.0,1.0,-13.0
10,10,21800155,1610612752,NYK,New York,1627758,Ron Baker,,DNP - Coach's Decision                  ,,,,,,,,,,,,,,,,,,,,
