,col0,col1,col2,col3
0,WEAP,Catchment,Node,ObjectInstances
1,WEAP,Catchment,Node,Area
2,WEAP,Catchment,Node,Kc
3,WEAP,Catchment,Node,Effective Precipitation
4,WEAP,Catchment,Node,Precipitation
5,WEAP,Catchment,Node,ETref
6,WEAP,Catchment,Node,Loss Rate
7,WEAP,Catchment,Node,Reuse Rate
8,WEAP,Catchment,Node,Potential Yield
9,WEAP,Catchment,Node,Yield Response Factor
10,WEAP,Catchment,Node,Market Price
11,WEAP,Catchment,Node,DO Intensity
12,WEAP,Catchment,Node,BOD Intensity
13,WEAP,Catchment,Node,BOD Concentration
14,WEAP,Catchment,Node,DO Concentration
15,WEAP,Catchment,Node,DO Inflow
16,WEAP,Catchment,Node,BOD Inflow
17,WEAP,Catchment,Node,Capital Costs
18,WEAP,Catchment,Node,Variable Operating Costs
19,WEAP,Catchment,Node,Fixed Operating Costs
20,WEAP,Catchment,Node,Variable Benefits
21,WEAP,Catchment,Node,Fixed Benefits
22,WEAP,Catchment,Node,Demand Priority
23,WEAP,Catchment,Node,Plant Factor
24,WEAP,Catchment,Node,Hydropower Priority
25,WEAP,Catchment,Node,Energy Demand
26,WEAP,Catchment,Node,Electricity Revenue
27,WEAP,Catchment,Node,Max Turbine Flow
28,WEAP,Catchment,Node,Generating Efficiency
29,WEAP,Catchment,Node,Fixed Head
30,WEAP,Demand Site,Node,ObjectInstances
31,WEAP,Demand Site,Node,Monthly Demand
32,WEAP,Demand Site,Node,Monthly Variation
33,WEAP,Demand Site,Node,Loss Rate
34,WEAP,Demand Site,Node,Reuse Rate
35,WEAP,Demand Site,Node,DO Intensity
36,WEAP,Demand Site,Node,BOD Intensity
37,WEAP,Demand Site,Node,BOD Concentration
38,WEAP,Demand Site,Node,DO Concentration
39,WEAP,Demand Site,Node,DO Inflow
40,WEAP,Demand Site,Node,BOD Inflow
41,WEAP,Demand Site,Node,Capital Costs
42,WEAP,Demand Site,Node,Variable Operating Costs
43,WEAP,Demand Site,Node,Fixed Operating Costs
44,WEAP,Demand Site,Node,Variable Benefits
45,WEAP,Demand Site,Node,Fixed Benefits
46,WEAP,Demand Site,Node,Demand Priority
47,WEAP,Demand Site,Node,Consumption
48,WEAP,Diversion,Link,ObjectInstances
49,WEAP,Diversion,Link,Capital Costs
50,WEAP,Diversion,Link,Variable Operating Costs
51,WEAP,Diversion,Link,Fixed Operating Costs
52,WEAP,Diversion,Link,Variable Benefits
53,WEAP,Diversion,Link,Fixed Benefits
54,WEAP,Diversion,Link,Maximum Diversion
55,WEAP,Diversion,Link,BOD Concentration
56,WEAP,Diversion,Link,DO Concentration
57,WEAP,Diversion Outflow,Node,ObjectInstances
58,WEAP,Groundwater,Node,ObjectInstances
59,WEAP,Groundwater,Node,Capital Costs
60,WEAP,Groundwater,Node,Variable Operating Costs
61,WEAP,Groundwater,Node,Fixed Operating Costs
62,WEAP,Groundwater,Node,Variable Benefits
63,WEAP,Groundwater,Node,Fixed Benefits
64,WEAP,Groundwater,Node,Storage Capacity
65,WEAP,Groundwater,Node,Initial Storage
66,WEAP,Groundwater,Node,Maximum Withdrawal
67,WEAP,Groundwater,Node,Natural Recharge
68,WEAP,Groundwater,Node,DO Concentration
69,WEAP,Groundwater,Node,BOD Concentration
70,WEAP,Other,Node,
