,col0,col1,col2,col3,col4,col5,col6
0,1,Browser,Open the Url [<Data>] in the Browser,Open,@http://toolsqa.com/automation-practice-form/,,
1,2,firstname,Click the [<Object>] ,Click,,,Demo
2,3,firstname,Enter the value [<Data>] in the Field [<Object>],Set,Iterations:FirstName,Start Param,Demo
3,4,lastname,Click the [<Object>] ,Click,,,Demo
4,5,lastname,Enter the value [<Data>] in the Field [<Object>],Set,Iterations:LastName,,Demo
5,6,Sex,Click the [<Object>] ,Click,,,Demo
6,7,Years of Experience,Click the [<Object>] ,Click,,,Demo
7,8,datepicker,Click the [<Object>] ,Click,,,Demo
8,9,datepicker,Enter the value [<Data>] in the Field [<Object>],Set,Iterations:Date,End Param,Demo
9,10,Profession,Click the [<Object>] ,Click,,,Demo
10,11,Automation Tool,Click the [<Object>] ,Click,,,Demo
11,12,AsiaEuropeAfricaAustraliaSouth,Select item in [<Object>] which has text: [<Data>],selectByVisibleText,@Australia,,Demo
12,13,Browser CommandsNavigation Com,Select item in [<Object>] which has text: [<Data>],selectByVisibleText,@Browser Commands,,Demo
13,14,Button,Click the [<Object>] ,Click,,,Demo
14,15,"Text1
 Text2",Assert if [<Object>] element is displayed,assertElementDisplayed,,,Demo
