,col0,col1,col2,col3
0,%d messages has been regenerated successfully and %d errors append.,Los mensajes %d se han regenerado con éxito y se añaden errores %d.,,
1,Address,Dirección,,
2,Address Block,Bloque de direcciones,,
3,All messages,Todos los mensajes,,
4,Bcc,CCO,,
5,Cannot regenerate message without related model.,No se puede regenerar el mensaje sin el modelo relacionado.,,
6,Cannot regenerate message without template associated to message.,No se puede regenerar el mensaje sin la plantilla asociada al mensaje.,,
7,Cc,Cc,,
8,Chat,Chat,,
9,Check Duplicate,Comprobar Duplicado,,
10,Code,Código,,
11,Configurations,Configuraciones,,
12,Connection successful,Conexión exitosa,,
13,Content,Contenido,,
14,Context,,,
15,Create message,Crear mensaje,,
16,Default,Predeterminado,,
17,Default account,Cuenta por defecto,,
18,Delete,Borrar,,
19,Deleted,Borrado,,
20,Draft,Proyecto de,,
21,Email,Correo electrónico,,
22,Email Accounts,Cuentas de correo,,
23,Email address,Dirección de correo electrónico,,
24,Email addresses,Direcciones de correo electrónico,,
25,Email sending is in progress,El envío de correo electrónico está en curso,,
26,Email sending is in progress for %d messages.,El envío de correo electrónico está en progreso para los mensajes %d.,,
27,Emails,Emails,,
28,Expr. value,,,
29,Fetch emails,Obtener correos electrónicos,,
30,Forecasted Sent Date,Fecha de envío prevista,,
31,From,Desde,,
32,Generate message,Generar mensaje,,
33,Group,Grupo,,
34,Host,Anfitrión,,
35,IMAP,IMAP,,
36,In progress,,,
37,Incorrect login or password,Nombre de usuario o contraseña incorrectos,,
38,Informations,Informaciones,,
39,Json,,,
40,Language,Idioma,,
41,Login,Iniciar sesión,,
42,Mail,Correo,,
43,Mail account,Cuenta de correo,,
44,Mail accounts,Cuentas de correo,,
45,Media Type,Tipo de medio,,
46,Message,Mensaje,,
47,Message destinated to,Mensaje destinado a,,
48,Messages,Mensajes,,
49,Messages not sent,Mensajes no enviados,,
50,Model,Modelo,,
51,Model empty. Please configure a model.,"Modelo vacío. Por favor, configure un modelo.",,
52,NONE,NINGUNA,,
53,Name,Nombre,,
54,No Mail content entered.,No se ha introducido ningún contenido de Mail.,,
55,POP,COP,,
56,Password,Contraseña,,
57,Please configure a template,"Por favor, configure una plantilla",,
58,Please select one or more messages.,"Por favor, seleccione uno o más mensajes.",,
59,Please set the email template to send,,,
60,Port,Puerto,,
61,Print,Imprimir,,
62,"Provided settings are wrong, please modify them and try again","Si la configuración es incorrecta, por favor, modifíquela e inténtelo de nuevo",,
63,Received,Recibido,,
64,Recipient,Destinatario,,
65,Recipient address,Dirección del destinatario,,
66,Recipients,Destinatarios,,
67,Record Id,Id. de registro,,
68,Record Name,Nombre del registro,,
69,Regenerate messages,Regenerar mensajes,,
70,Related to,Relacionado con,,
71,Related to1 select,Relacionado con1 seleccionar,,
72,Related to2 select,Relacionado con2 seleccionar,,
73,Reply to,Responder a,,
74,Resend messages,Reenviar mensajes,,
75,Routings,Hojas de ruta,,
76,SMTP,SMTP,,
77,SSL,SSL,,
78,SSL/STARTTLS,SSL/STARTTLS,,
79,STARTTLS,INICIO,,
80,Select template,Seleccionar plantilla,,
81,Send,Enviar,,
82,Sender (User),Remitente (Usuario),,
83,Sender's email address is null or empty,La dirección de correo electrónico del remitente es nula o vacía,,
84,Sent,Enviado,,
85,Sent by email,Enviado por correo electrónico,,
86,Sent date,Fecha de envío,,
87,Server Type,Tipo de servidor,,
88,Signature,Firma,,
89,Status,Estado,,
90,Subject,Tema,,
91,System,Sistema,,
92,TO/CC/BCC recipient's email address is empty,La dirección de correo electrónico del destinatario de TO/CC/BCC está vacía,,
93,Target receptor,Receptor de destino,,
94,Template,Plantilla,,
95,Template Context,,,
96,Template Rules,Reglas del modelo,,
97,Templates,Plantillas,,
98,Test connection,Conexión de prueba,,
99,The email template model (%s) is different than the entity generating the email (%s),,,
100,There is already a default account,Ya hay una cuenta por defecto,,
101,To,Para,,
102,Type,Tipo,,
103,"Unable to reach server. Please check Host,Port and SSL/TLS","Incapaz de llegar al servidor. Por favor, compruebe Host, Puerto y SSL/TLS",,
104,User,Usuario,,
105,Valid,Válido,,
106,Validate,Validar,,
107,Waiting model: %s,Modelo en espera: %s,,
108,Your target receptor is not valid. Please check it.,"Su receptor objetivo no es válido. Por favor, compruébalo.",,
109,user@mydomain.com,user@mydomain.com,,
