,col0,col1,col2,col3,col4,col5,col6,col7
0,1305,Grand Vitara,5-deurs suv,1998,2005,657,Grand Vitara,22572
1,1313,Grand Vitara,3-deurs suv,2005,2008,657,Grand Vitara,28969
2,1315,Grand Vitara,5-deurs suv,2005,2008,657,Grand Vitara,28978
3,3046,Grand Vitara,5-deurs suv,2008,2010,657,Grand Vitara,28978
4,3045,Grand Vitara,3-deurs suv,2008,2010,657,Grand Vitara,28969
5,3371,Grand Vitara,3-deurs suv,2010,2012,657,Grand Vitara,28969
6,3372,Grand Vitara,5-deurs suv,2010,2012,657,Grand Vitara,28978
7,3915,Grand Vitara,3-deurs suv,2012,heden,657,Grand Vitara,133035
8,3916,Grand Vitara,5-deurs suv,2012,heden,657,Grand Vitara,133033
9,2770,Grand Vitara Cabrio,3-deurs suv,1999,2004,657,Grand Vitara,23181
10,1307,Grand Vitara Metal Top,3-deurs suv,1999,2005,657,Grand Vitara,23175
11,1309,Grand Vitara XL-7,5-deurs suv,2001,2004,657,Grand Vitara,24824
12,1311,Grand Vitara XL-7,5-deurs suv,2004,2006,657,Grand Vitara,27782
