,col0,col1,col2,col3,col4,col5,col6,col7,col8,col9
0,Cash,1,1,0,1,6,2012-06-20T10:27:50,2012-06-20T10:27:50,12.0,
1,Cheque,1,1,0,1,1,2012-06-20T10:27:50,2012-06-20T10:27:50,12.0,
2,Credit card,1,1,1,1,2,2012-06-20T10:27:50,2012-06-20T10:27:50,12.0,
3,EFT,1,1,1,1,6,2012-06-20T10:27:50,2012-06-20T10:27:50,12.0,
4,B-Pay,1,0,0,1,6,2012-06-20T10:27:50,2012-06-20T10:27:50,12.0,
5,Zero,1,1,1,0,5,2012-06-20T10:27:50,2012-06-20T10:27:50,,
6,Other,1,1,0,1,6,2012-06-20T10:27:50,2012-06-20T10:27:50,12.0,
7,Contra,1,1,1,0,7,2012-06-20T10:27:50,2012-06-20T10:27:50,,
8,Voucher,1,1,1,0,8,2012-06-20T10:27:50,2012-06-20T10:27:50,,
9,PayPal,1,0,0,1,6,2012-06-20T10:27:50,2012-06-20T10:27:50,12.0,
10,Reverse,1,1,1,0,10,2012-06-20T10:27:50,2012-06-20T10:27:50,,
11,EFTPOS,1,1,1,1,6,2012-06-20T10:27:50,2012-06-20T10:27:50,12.0,
