,col0,col1,col2,col3,col4,col5,col6
0,04/16/2005,Road,Race,Men,Cat,4/5,
1,"Place,License","#,First,Last,City,State,Time,Team",,,,,
2,"1,224673,Alexandre,Lussier,Bozeman,MT,,GAS/Heritage",Homes,,,,,
3,"2,225869,Matt,Butterfield,Kalispell,MT,,GAS/Heritage",Homes,,,,,
4,"3,210582,David,Hassinger,Boise,ID,,Echelon",,,,,,
5,"4,210982,Jason,Keister,Whitefish,MT,,Flathead",,,,,,
6,"5,205245,John,Gleaves,Fullerton,CA,,Montana",Velo,,,,,
7,"6,210869,Eric,Ziegler,Carson","City,NV,,Northern",Rockies,,,,
8,"7,198925,Miles,Key,Missoula,MT,,Five",Valley,Velo,,,,
9,"8,118105,Chris,Rice,Bozeman,MT,,GAS/Heritage",Homes,,,,,
10,"9,218964,Joe,Chalmers,Missoula,MT,,Northern",Rockies,,,,,
11,"10,224696,Eric,Landl,Helena,MT,,Great",Divide,,,,,
12,"11,196962,Robert,Funk,Coolin,ID,,Northern",Rockies,,,,,
13,"12,11640,Rick,Finley,Helena,MT,,Great",Divide,,,,,
14,"13,178006,Benjamin,Sullivan,Missoula,MT,,Montana",Velo,,,,,
15,"14,194951,William,Snider,Helena,MT,,Great",Divide,,,,,
16,"15,0,Don,Ruesch,,,,Yellowstone",Valley,CC,,,,
17,"16,68315,Robert,Ray,Helena,MT,,Great",Divide,,,,,
18,"17,4264,Michael,Borduin,Butte,MT,,Highlands",,,,,,
19,"18,0,Matt,Arndt,,,,Five",Valley,Velo,,,,
20,"19,77626,Albert,Pendergrass,Livingston,MT,,GVBC",,,,,,
21,"20,0,Paul,Nash,,,,Unattached",,,,,,
22,"21,0,Trevor,Brandt,,,,Great",Divide,,,,,
23,"22,0,Mark,Hauger,,,,Northern",Rockies,,,,,
24,"DNF,0,Dirk,Basilewitcsch,,,,Great",Divide,,,,,
25,"DNF,0,Steve,Coen,,,,Montana",Velo,,,,,
26,"DNF,0,Caleb,Hood,,,,Unattached",,,,,,
27,"DNF,0,Jadin,Vansteevoort,,,,Great",Divide,,,,,
28,"DNF,203410,John,Winnie,Bozeman,MT,,GAS/Heritage",Homes,,,,,
29,04/16/2005,Road,Race,Men,Cat,1/2/3,
30,"Place,License","#,First,Last,City,State,Time,Team",,,,,
31,"1,0,Blake,Weidenheft,,,,GAS/Heritage",Homes,,,,,
32,"2,209124,Brad,Morgan,Belgrade,MT,,GAS/Heritage",Homes,,,,,
33,"3,150610,Tejay,Van","Garderen,Aspen,CO,,Rio",Grande,,,,
34,"4,58454,Russell,Schneider,Whitefish,MT,,Flathead",Velo,,,,,
35,"5,37860,John,Weyhrich,Missoula,MT,,Five",Valley,Velo,,,,
36,"6,162742,Daniel,Barry,Columbia,SC,,GAS/Heritage",Homes,,,,,
37,"7,202497,Robert,Presta,Missoula,MT,,Five",Valley,Velo,,,,
38,"8,184267,Aaron,Johnson,Bigfork,MT,,GAS/Heritage",Homes,,,,,
39,"9,87139,Tim,Evens,Bend,OR,,Northern",Rockies,,,,,
40,"10,173883,Jason,Hobson,Harrison,ID,,Five",Valley,Velo,,,,
41,"11,19942,Brink,Kuchenbrod,Missoula,MT,,Montana",Velo,,,,,
42,"12,116260,Shane,Mundt,Helena,MT,,Montana",Velo,,,,,
