,col0,col1,col2,col3,col4,col5,col6,col7,col8,col9,col10,col11,col12,col13,col14,col15,col16,col17,col18,col19,col20,col21,col22,col23,col24,col25,col26,col27,col28,col29,col30,col31
0,0,21800196,1610612756,PHX,Phoenix,2772,Trevor Ariza,F,,6:08,101.9,100.0,171.8,166.7,-69.9,-66.7,0.33299999999999996,0.0,50.0,0.0,0.0,0.0,0.0,1.5,1.5,0.067,0.068,95.48,97.83,81.52,13,0.095
1,1,21800196,1610612756,PHX,Phoenix,203933,T.J. Warren,F,,9:44,91.0,82.6,126.8,121.7,-35.8,-39.1,0.0,0.0,0.0,0.0,0.364,0.2,20.0,1.0,1.0,0.192,0.209,105.93,113.42,94.52,23,0.284
2,2,21800196,1610612756,PHX,Phoenix,1629028,Deandre Ayton,C,,7:14,95.2,93.8,150.3,146.7,-55.1,-52.9,0.0,0.0,0.0,0.14300000000000002,0.0,0.083,25.0,1.0,1.042,0.21100000000000002,0.213,100.87,102.86,85.71,16,0.136
3,3,21800196,1610612756,PHX,Phoenix,1626164,Devin Booker,G,,10:28,92.3,87.5,130.7,125.0,-38.4,-37.5,0.14300000000000002,1.0,11.1,0.182,0.091,0.136,11.1,0.16699999999999998,0.29100000000000004,0.28600000000000003,0.299,104.84,110.06,91.72,24,0.022000000000000002
4,4,21800196,1610612756,PHX,Phoenix,1626158,Richaun Holmes,,,4:22,122.2,110.0,96.9,90.9,25.3,19.1,0.0,0.0,0.0,0.0,0.14300000000000002,0.083,0.0,0.0,0.0,0.0,0.0,106.19,115.42,96.18,10,-0.05
5,5,21800196,1610612756,PHX,Phoenix,1629059,Elie Okobo,,,1:08,250.0,250.0,100.0,100.0,150.0,150.0,0.5,0.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,84.71,84.71,70.59,2,0.133
6,6,21800196,1610612756,PHX,Phoenix,1628969,Mikal Bridges,,,10:28,110.3,104.3,117.8,113.0,-7.5,-8.7,0.222,0.0,33.3,0.083,0.0,0.042,0.0,0.0,0.0,0.14300000000000002,0.149,100.52,105.48,87.9,23,-0.091
7,7,21800196,1610612756,PHX,Phoenix,2037,Jamal Crawford,,,8:28,116.5,110.0,115.3,110.0,1.2,0.0,0.14300000000000002,0.33,11.1,0.111,0.1,0.105,33.3,0.5,0.5,0.32,0.335,107.6,113.39,94.49,20,0.038
8,8,21800196,1610612760,OKC,Oklahoma City,202331,Paul George,F,,5:00,186.7,180.0,74.3,72.7,112.4,107.3,0.25,0.0,20.0,0.5,0.6,0.5710000000000001,0.0,0.667,0.773,0.364,0.376,97.92,100.8,84.0,10,0.396
9,9,21800196,1610612760,OKC,Oklahoma City,203924,Jerami Grant,F,,5:00,186.7,180.0,74.3,72.7,112.4,107.3,0.0,0.0,0.0,0.0,0.2,0.14300000000000002,0.0,0.667,0.667,0.273,0.282,97.92,100.8,84.0,10,0.16699999999999998
10,10,21800196,1610612760,OKC,Oklahoma City,203500,Steven Adams,C,,5:40,158.2,153.8,67.3,66.7,90.9,87.2,0.0,0.0,0.0,0.25,0.0,0.1,0.0,1.0,1.0,0.133,0.13699999999999998,103.85,105.88,88.24,13,0.294
11,11,21800196,1610612760,OKC,Oklahoma City,1628390,Terrance Ferguson,G,,6:59,150.3,146.7,101.6,100.0,48.6,46.7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.055999999999999994,0.057,101.04,103.1,85.92,15,-0.07400000000000001
12,12,21800196,1610612760,OKC,Oklahoma City,203471,Dennis Schroder,G,,7:43,146.4,138.9,89.5,83.3,56.9,55.6,0.25,0.0,28.6,0.0,0.0,0.0,0.0,0.33299999999999996,0.63,0.23800000000000002,0.249,105.25,111.97,93.3,18,0.16899999999999998
13,13,21800196,1610612760,OKC,Oklahoma City,203518,Alex Abrines,,,4:37,96.9,90.9,110.0,100.0,-13.1,-9.1,0.0,0.0,0.0,0.0,0.0,0.0,25.0,0.5,0.5,0.308,0.325,105.63,114.37,95.31,11,0.053
14,14,21800196,1610612760,OKC,Oklahoma City,203457,Nerlens Noel,,,5:56,97.4,92.3,139.8,128.6,-42.3,-36.3,0.33299999999999996,0.0,33.3,0.25,0.33299999999999996,0.28600000000000003,0.0,0.5,0.615,0.125,0.131,101.93,109.21,91.01,13,0.2
