,col0,col1,col2,col3,col4
0,870.8942,871.81,Hand,FailOnTouchObstacleLong,PickedUp
1,872.5137,873.1171,Hand,FailOnTouchObstacleMed,PickedUp
2,873.1778,873.2222,Hand,FailOnTouchObstacleMed,RightGate
3,873.2556,873.4778,Hand,FailOnTouchObstacleMed,RightGate
4,873.3445,873.5778,HandToWrist,FailOnTouchObstacleMed,RightGate
5,873.3889,873.5333,Hand,FailOnTouchObstacleShort,RightGate
6,873.4222,873.6,HandToWrist,FailOnTouchObstacleShort,RightGate
7,873.4445,876.3667,WristToElbow,FailOnTouchObstacleMed,RightGate
8,873.4667,874.4778,WristToElbow,FailOnTouchObstacleShort,RightGate
9,873.5222,873.7111,Hand,FailOnTouchObstacleLong,LeftGate
10,873.5556,873.8889,HandToWrist,FailOnTouchObstacleLong,LeftGate
11,873.6334,876.2556,WristToElbow,FailOnTouchObstacleLong,LeftGate
12,873.7667,874.2667,Hand,FailOnTouchObstacleShort-1,RightGate
13,873.7667,874.2667,Hand,FailOnTouchObstacleLong-1,LeftGate
14,873.7667,874.2667,Hand,FailOnTouchObstacleMed-1,RightGate
15,873.8445,876.1,HandToWrist,FailOnTouchObstacleShort-1,RightGate
16,873.8445,876.1,HandToWrist,FailOnTouchObstacleLong-1,LeftGate
17,873.8445,876.1,HandToWrist,FailOnTouchObstacleMed-1,RightGate
18,874.2111,875.6,WristToElbow,FailOnTouchObstacleShort-1,RightGate
19,874.2111,875.6,WristToElbow,FailOnTouchObstacleLong-1,LeftGate
20,874.2111,875.6,WristToElbow,FailOnTouchObstacleMed-1,RightGate
21,874.9713,,Hand,Target,PickedUp
22,875.4889,876.1667,Hand,FailOnTouchObstacleLong-1,LeftGate
23,875.4889,876.1667,Hand,FailOnTouchObstacleShort-1,RightGate
24,875.4889,876.1667,Hand,FailOnTouchObstacleMed-1,RightGate
25,876.1556,876.2556,WristToElbow,FailOnTouchObstacleShort,RightGate
26,876.2222,876.5445,HandToWrist,FailOnTouchObstacleLong,LeftGate
27,876.3112,876.5667,Hand,FailOnTouchObstacleLong,LeftGate
28,876.4778,876.6889,HandToWrist,FailOnTouchObstacleMed,RightGate
29,876.4778,876.6778,HandToWrist,FailOnTouchObstacleShort,RightGate
30,876.5111,876.6889,Hand,FailOnTouchObstacleShort,RightGate
31,876.5222,876.7,Hand,FailOnTouchObstacleMed,RightGate
