,col0,col1,col2,col3,col4,col5,col6,col7,col8
0,DeepSpeech_output_layer_1,1,5124,1,1,2048,700,1, 
1,DeepSpeech_output_layer_2,1,35,1,1,2048,700,1, 
2,DeepSpeech_output_layer_3,1,5124,1,1,2560,700,1, 
3,DeepSpeech_output_layer_4,1,35,1,1,2560,700,1, 
4,DeepSpeech_output_layer_5,1,5124,1,1,2048,1500,1, 
5,DeepSpeech_output_layer_6,1,35,1,1,2048,1500,1, 
6,DeepSpeech_output_layer_7,1,5124,1,1,2560,1500,1, 
7,DeepSpeech_output_layer_8,1,35,1,1,2560,1500,1, 
8,DeepSpeech_1,1,7680,1,1,2560,1,1, 
9,DeepSpeech_2,1,7680,1,1,2560,2,1, 
10,DeepSpeech_3,1,7680,1,1,2560,4,1, 
11,DeepSpeech_4,1,3072,1,1,1024,1,1, 
12,DeepSpeech_5,1,3072,1,1,1024,2,1, 
13,DeepSpeech_6,1,3072,1,1,1024,4,1, 
14,KWS,1,64,1,1,1216,1,1, 
15,Language_Modelling_1,1,512,1,1,500000,1,1, 
16,Language_Modelling_2,1,1024,1,1,500000,1,1, 
17,Language_Modelling_3,1,512,1,1,500000,2,1, 
18,Language_Modelling_4,1,1024,1,1,500000,2,1, 
19,Language_Modelling_5,1,512,1,1,500000,4,1, 
20,Language_Modelling_6,1,1024,1,1,500000,4,1, 
21,Speaker_ID,1,1024,1,1,512,700,1, 
22,DeepSpeech_gru_affine_1,1,7680,1,1,2560,1500,1, 
23,DeepSpeech_gru_affine_2,1,6144,1,1,2048,1500,1, 
24,DeepSpeech_gru_affine_3,1,4608,1,1,1536,1500,1, 
25,DeepSpeech_gru_affine_4,1,8448,1,1,2816,1500,1, 
26,DeepSpeech_gru_affine_5,1,3072,1,1,1024,1500,1, 
27,DeepSpeech_gru_affine_6,1,7680,1,1,2560,3000,1, 
28,DeepSpeech_gru_affine_7,1,6144,1,1,2048,3000,1, 
29,DeepSpeech_gru_affine_8,1,4608,1,1,1536,3000,1, 
30,DeepSpeech_gru_affine_9,1,8448,1,1,2816,3000,1, 
31,DeepSpeech_gru_affine_10,1,3072,1,1,1024,3000,1, 
32,DeepSpeech_gru_affine_11,1,7680,1,1,2560,6000,1, 
33,DeepSpeech_gru_affine_12,1,6144,1,1,2048,6000,1, 
34,DeepSpeech_gru_affine_13,1,4608,1,1,1536,6000,1, 
35,DeepSpeech_gru_affine_14,1,8448,1,1,2816,6000,1, 
36,DeepSpeech_gru_affine_15,1,3072,1,1,1024,6000,1, 
37,DeepSpeech_gru_1,1,6144,1,1,2048,1,1, 
38,DeepSpeech_gru_2,1,4608,1,1,1536,1,1, 
39,DeepSpeech_gru_3,1,8448,1,1,2816,1,1, 
40,DeepSpeech_gru_4,1,6144,1,1,2048,2,1, 
41,DeepSpeech_gru_5,1,4608,1,1,1536,2,1, 
42,DeepSpeech_gru_6,1,8448,1,1,2816,2,1, 
43,DeepSpeech_gru_7,1,6144,1,1,2048,4,1, 
44,DeepSpeech_gru_8,1,4608,1,1,1536,4,1, 
45,DeepSpeech_gru_9,1,8448,1,1,2816,4,1, 
46,DeepSpeech_gru_low_rank_1,1,128,1,1,1280,1500,1, 
47,DeepSpeech_gru_low_rank_2,1,3072,1,1,128,1500,1, 
48,DeepSpeech_gru_low_rank_3,1,128,1,1,1024,1,1, 
49,DeepSpeech_gru_low_rank_4,1,3072,1,1,128,1,1, 
50,DeepSpeech_gru_low_rank_5,1,176,1,1,1408,1500,1, 
51,DeepSpeech_gru_low_rank_6,1,4224,1,1,176,1500,1, 
52,DeepSpeech_gru_low_rank_7,1,128,1,1,1408,1,1, 
53,DeepSpeech_gru_low_rank_8,1,4224,1,1,128,1,1, 
54,DeepSpeech_1,1,512,1,1,2816,1500,1, 
55,DeepSpeech_2,1,512,1,1,2048,1500,1, 
56,DeepSpeech_3,1,512,1,1,2560,1500,1, 
57,DeepSpeech_4,1,512,1,1,1530,1500,1, 
58,DeepSpeech_5,1,1024,1,1,2816,1500,1, 
59,DeepSpeech_6,1,1024,1,1,2048,1500,1, 
60,DeepSpeech_7,1,1024,1,1,2560,1500,1, 
61,DeepSpeech_8,1,1024,1,1,1530,1500,1, 
62,DeepSpeech_9,1,512,1,1,512,1,1, 
63,DeepSpeech_10,1,1024,1,1,512,1,1, 
64,DeepSpeech_11,1,512,1,1,2816,3000,1, 
65,DeepSpeech_12,1,512,1,1,2048,3000,1, 
66,DeepSpeech_13,1,512,1,1,2560,3000,1, 
67,DeepSpeech_14,1,512,1,1,1530,3000,1, 
68,DeepSpeech_16,1,1024,1,1,2816,3000,1, 
69,DeepSpeech_17,1,1024,1,1,2048,3000,1, 
70,DeepSpeech_18,1,1024,1,1,2560,3000,1, 
71,DeepSpeech_19,1,1024,1,1,1530,3000,1, 
72,DeepSpeech_20,1,512,1,1,512,2,1, 
73,DeepSpeech_21,1,1024,1,1,512,2,1, 
74,DeepSpeech_22,1,512,1,1,2816,6000,1, 
75,DeepSpeech_23,1,512,1,1,2048,6000,1, 
76,DeepSpeech_24,1,512,1,1,2560,6000,1, 
77,DeepSpeech_25,1,512,1,1,1530,6000,1, 
78,DeepSpeech_26,1,1024,1,1,2816,6000,1, 
79,DeepSpeech_27,1,1024,1,1,2048,6000,1, 
80,DeepSpeech_28,1,1024,1,1,2560,6000,1, 
81,DeepSpeech_29,1,1024,1,1,1530,6000,1, 
82,DeepSpeech_30,1,512,1,1,512,4,1, 
83,DeepSpeech_31,1,1024,1,1,512,4,1, 
