,col0,col1,col2
0,DocType: Lead,Lead,Bly
1,apps/erpnext/erpnext/config/selling.py +153,Default settings for selling transactions.,Standardindstillinger for at sælge transaktioner.
2,DocType: Timesheet,% Amount Billed,% Beløb Billed
3,DocType: Purchase Order,% Billed,% Billed
4,,Lead Id,Bly Id
5,apps/erpnext/erpnext/accounts/report/accounts_receivable/accounts_receivable.html +65,'Total','Total'
6,DocType: Selling Settings,Selling Settings,Salg af indstillinger
7,apps/erpnext/erpnext/accounts/report/gross_profit/gross_profit.py +72,Selling Amount,Selling Beløb
8,apps/erpnext/erpnext/crm/doctype/opportunity/opportunity.py +174,Lead must be set if Opportunity is made from Lead,"Bly skal indstilles, hvis Opportunity er lavet af Lead"
9,DocType: Item,Default Selling Cost Center,Standard Selling Cost center
10,apps/erpnext/erpnext/accounts/report/payment_period_based_on_invoice_date/payment_period_based_on_invoice_date.py +64,90-Above,90-Above
11,DocType: Pricing Rule,Selling,Selling
12,apps/erpnext/erpnext/accounts/page/pos/pos.js +74, to ,Ultima Actualización : Fecha inválida
13,DocType: Sales Order,%  Delivered,% Leveres
14,DocType: Lead,Lead Owner,Bly Owner
15,apps/erpnext/erpnext/controllers/stock_controller.py +236,{0} {1}: Cost Center is mandatory for Item {2},{0} {1}: Udgiftområde er obligatorisk for varen {2}
16,apps/erpnext/erpnext/config/selling.py +169,Tax template for selling transactions.,Skat skabelon til at sælge transaktioner.
17,apps/erpnext/erpnext/controllers/accounts_controller.py +280, or ,o
18,DocType: Sales Order,% of materials billed against this Sales Order,% Af materialer faktureret mod denne Sales Order
19,DocType: SMS Center,All Lead (Open),Alle Bly (Open)
20,apps/erpnext/erpnext/templates/includes/footer/footer_extension.html +7,Get Updates,Hent opdateringer
21,apps/erpnext/erpnext/controllers/sales_and_purchase_return.py +48,'Update Stock' can not be checked because items are not delivered via {0},"'Opdater lager' kan ikke markeres, varerne ikke leveres via {0}"
22,apps/erpnext/erpnext/patches/v4_0/create_price_list_if_missing.py +21,Standard Selling,Standard Selling
23,,Lead Details,Bly Detaljer
24,DocType: Selling Settings,Settings for Selling Module,Indstillinger for Selling modul
25,,Lead Name,Bly navn
26,DocType: Vehicle Service,Half Yearly,Halvdelen Årlig
27,DocType: Rename Tool,"Attach .csv file with two columns, one for the old name and one for the new name","Vedhæfte .csv fil med to kolonner, en for det gamle navn og et til det nye navn"
