,col0,col1,col2
0,1,ReplaceConstant,org.dynjs.runtime.builtins.types.array.prototype.Concat.<init>(Lorg/dynjs/runtime/GlobalContext;)V:17 - ReplaceConstant - 0 -> 1
1,2,ReplaceConstant,org.dynjs.runtime.builtins.types.array.prototype.Concat.<init>(Lorg/dynjs/runtime/GlobalContext;)V:17 - ReplaceConstant - item1 -> 
2,3,ReplaceConstant,org.dynjs.runtime.builtins.types.array.prototype.Concat.call(Lorg/dynjs/runtime/ExecutionContext;Ljava/lang/Object;[Ljava/lang/Object;)Ljava/lang/Object;:30 - ReplaceConstant - 0 -> 1
3,4,ReplaceComparisonOperator,org.dynjs.runtime.builtins.types.array.prototype.Concat.call(Lorg/dynjs/runtime/ExecutionContext;Ljava/lang/Object;[Ljava/lang/Object;)Ljava/lang/Object;:30 - ReplaceComparisonOperator == -> !=
4,5,ReplaceConstant,org.dynjs.runtime.builtins.types.array.prototype.Concat.call(Lorg/dynjs/runtime/ExecutionContext;Ljava/lang/Object;[Ljava/lang/Object;)Ljava/lang/Object;:31 - ReplaceConstant - 0 -> 1
5,6,InsertUnaryOp,org.dynjs.runtime.builtins.types.array.prototype.Concat.call(Lorg/dynjs/runtime/ExecutionContext;Ljava/lang/Object;[Ljava/lang/Object;)Ljava/lang/Object;:31 - InsertUnaryOp Negation of i
6,7,InsertUnaryOp,org.dynjs.runtime.builtins.types.array.prototype.Concat.call(Lorg/dynjs/runtime/ExecutionContext;Ljava/lang/Object;[Ljava/lang/Object;)Ljava/lang/Object;:31 - InsertUnaryOp IINC 1 i
7,8,InsertUnaryOp,org.dynjs.runtime.builtins.types.array.prototype.Concat.call(Lorg/dynjs/runtime/ExecutionContext;Ljava/lang/Object;[Ljava/lang/Object;)Ljava/lang/Object;:31 - InsertUnaryOp IINC -1 i
8,9,ReplaceComparisonOperator,org.dynjs.runtime.builtins.types.array.prototype.Concat.call(Lorg/dynjs/runtime/ExecutionContext;Ljava/lang/Object;[Ljava/lang/Object;)Ljava/lang/Object;:31 - ReplaceComparisonOperator >= -> -1
9,10,ReplaceComparisonOperator,org.dynjs.runtime.builtins.types.array.prototype.Concat.call(Lorg/dynjs/runtime/ExecutionContext;Ljava/lang/Object;[Ljava/lang/Object;)Ljava/lang/Object;:31 - ReplaceComparisonOperator >= -> >
10,11,ReplaceComparisonOperator,org.dynjs.runtime.builtins.types.array.prototype.Concat.call(Lorg/dynjs/runtime/ExecutionContext;Ljava/lang/Object;[Ljava/lang/Object;)Ljava/lang/Object;:31 - ReplaceComparisonOperator >= -> ==
11,12,InsertUnaryOp,org.dynjs.runtime.builtins.types.array.prototype.Concat.call(Lorg/dynjs/runtime/ExecutionContext;Ljava/lang/Object;[Ljava/lang/Object;)Ljava/lang/Object;:32 - InsertUnaryOp Negation of i
12,13,InsertUnaryOp,org.dynjs.runtime.builtins.types.array.prototype.Concat.call(Lorg/dynjs/runtime/ExecutionContext;Ljava/lang/Object;[Ljava/lang/Object;)Ljava/lang/Object;:32 - InsertUnaryOp IINC 1 i
13,14,InsertUnaryOp,org.dynjs.runtime.builtins.types.array.prototype.Concat.call(Lorg/dynjs/runtime/ExecutionContext;Ljava/lang/Object;[Ljava/lang/Object;)Ljava/lang/Object;:32 - InsertUnaryOp IINC -1 i
14,15,ReplaceConstant,org.dynjs.runtime.builtins.types.array.prototype.Concat.call(Lorg/dynjs/runtime/ExecutionContext;Ljava/lang/Object;[Ljava/lang/Object;)Ljava/lang/Object;:36 - ReplaceConstant - 0 -> 1
15,16,ReplaceComparisonOperator,org.dynjs.runtime.builtins.types.array.prototype.Concat.call(Lorg/dynjs/runtime/ExecutionContext;Ljava/lang/Object;[Ljava/lang/Object;)Ljava/lang/Object;:37 - ReplaceComparisonOperator == -> -2
16,17,ReplaceComparisonOperator,org.dynjs.runtime.builtins.types.array.prototype.Concat.call(Lorg/dynjs/runtime/ExecutionContext;Ljava/lang/Object;[Ljava/lang/Object;)Ljava/lang/Object;:37 - ReplaceComparisonOperator == -> >=
17,18,ReplaceComparisonOperator,org.dynjs.runtime.builtins.types.array.prototype.Concat.call(Lorg/dynjs/runtime/ExecutionContext;Ljava/lang/Object;[Ljava/lang/Object;)Ljava/lang/Object;:37 - ReplaceComparisonOperator == -> <=
18,19,ReplaceComparisonOperator,org.dynjs.runtime.builtins.types.array.prototype.Concat.call(Lorg/dynjs/runtime/ExecutionContext;Ljava/lang/Object;[Ljava/lang/Object;)Ljava/lang/Object;:38 - ReplaceComparisonOperator == -> -2
19,20,ReplaceComparisonOperator,org.dynjs.runtime.builtins.types.array.prototype.Concat.call(Lorg/dynjs/runtime/ExecutionContext;Ljava/lang/Object;[Ljava/lang/Object;)Ljava/lang/Object;:38 - ReplaceComparisonOperator == -> >=
20,21,ReplaceComparisonOperator,org.dynjs.runtime.builtins.types.array.prototype.Concat.call(Lorg/dynjs/runtime/ExecutionContext;Ljava/lang/Object;[Ljava/lang/Object;)Ljava/lang/Object;:38 - ReplaceComparisonOperator == -> <=
21,22,ReplaceConstant,org.dynjs.runtime.builtins.types.array.prototype.Concat.call(Lorg/dynjs/runtime/ExecutionContext;Ljava/lang/Object;[Ljava/lang/Object;)Ljava/lang/Object;:38 - ReplaceConstant - Array -> 
22,23,ReplaceComparisonOperator,org.dynjs.runtime.builtins.types.array.prototype.Concat.call(Lorg/dynjs/runtime/ExecutionContext;Ljava/lang/Object;[Ljava/lang/Object;)Ljava/lang/Object;:38 - ReplaceComparisonOperator == -> -2
23,24,ReplaceComparisonOperator,org.dynjs.runtime.builtins.types.array.prototype.Concat.call(Lorg/dynjs/runtime/ExecutionContext;Ljava/lang/Object;[Ljava/lang/Object;)Ljava/lang/Object;:38 - ReplaceComparisonOperator == -> >=
24,25,ReplaceComparisonOperator,org.dynjs.runtime.builtins.types.array.prototype.Concat.call(Lorg/dynjs/runtime/ExecutionContext;Ljava/lang/Object;[Ljava/lang/Object;)Ljava/lang/Object;:38 - ReplaceComparisonOperator == -> <=
25,26,ReplaceConstant,org.dynjs.runtime.builtins.types.array.prototype.Concat.call(Lorg/dynjs/runtime/ExecutionContext;Ljava/lang/Object;[Ljava/lang/Object;)Ljava/lang/Object;:41 - ReplaceConstant - length -> 
26,27,ReplaceConstant,org.dynjs.runtime.builtins.types.array.prototype.Concat.call(Lorg/dynjs/runtime/ExecutionContext;Ljava/lang/Object;[Ljava/lang/Object;)Ljava/lang/Object;:43 - ReplaceConstant - 0 -> 1
27,28,ReplaceConstant,org.dynjs.runtime.builtins.types.array.prototype.Concat.call(Lorg/dynjs/runtime/ExecutionContext;Ljava/lang/Object;[Ljava/lang/Object;)Ljava/lang/Object;:43 - ReplaceConstant - 0 -> -1
28,29,InsertUnaryOp,org.dynjs.runtime.builtins.types.array.prototype.Concat.call(Lorg/dynjs/runtime/ExecutionContext;Ljava/lang/Object;[Ljava/lang/Object;)Ljava/lang/Object;:43 - InsertUnaryOp Negation of k
29,30,InsertUnaryOp,org.dynjs.runtime.builtins.types.array.prototype.Concat.call(Lorg/dynjs/runtime/ExecutionContext;Ljava/lang/Object;[Ljava/lang/Object;)Ljava/lang/Object;:43 - InsertUnaryOp Negation of len
30,31,ReplaceComparisonOperator,org.dynjs.runtime.builtins.types.array.prototype.Concat.call(Lorg/dynjs/runtime/ExecutionContext;Ljava/lang/Object;[Ljava/lang/Object;)Ljava/lang/Object;:43 - ReplaceComparisonOperator >= -> -1
31,32,ReplaceComparisonOperator,org.dynjs.runtime.builtins.types.array.prototype.Concat.call(Lorg/dynjs/runtime/ExecutionContext;Ljava/lang/Object;[Ljava/lang/Object;)Ljava/lang/Object;:43 - ReplaceComparisonOperator >= -> ==
32,33,ReplaceComparisonOperator,org.dynjs.runtime.builtins.types.array.prototype.Concat.call(Lorg/dynjs/runtime/ExecutionContext;Ljava/lang/Object;[Ljava/lang/Object;)Ljava/lang/Object;:43 - ReplaceComparisonOperator >= -> >
33,34,InsertUnaryOp,org.dynjs.runtime.builtins.types.array.prototype.Concat.call(Lorg/dynjs/runtime/ExecutionContext;Ljava/lang/Object;[Ljava/lang/Object;)Ljava/lang/Object;:44 - InsertUnaryOp Negation of k
34,35,InsertUnaryOp,org.dynjs.runtime.builtins.types.array.prototype.Concat.call(Lorg/dynjs/runtime/ExecutionContext;Ljava/lang/Object;[Ljava/lang/Object;)Ljava/lang/Object;:45 - InsertUnaryOp Negation of n
35,36,InsertUnaryOp,org.dynjs.runtime.builtins.types.array.prototype.Concat.call(Lorg/dynjs/runtime/ExecutionContext;Ljava/lang/Object;[Ljava/lang/Object;)Ljava/lang/Object;:45 - InsertUnaryOp IINC 1 n
36,37,InsertUnaryOp,org.dynjs.runtime.builtins.types.array.prototype.Concat.call(Lorg/dynjs/runtime/ExecutionContext;Ljava/lang/Object;[Ljava/lang/Object;)Ljava/lang/Object;:45 - InsertUnaryOp IINC -1 n
