,col0,col1,col2,col3,col4,col5,col6
0,Status,,,N NI,,,"bit field (0=IsAccepted, 1=IsFilled, 2=IsUpdated, 3=IsFinished)"
1,StreamCount,,,N YI,,,Count of streams of that kind available
2,StreamKind,Image,,N NI,,,Stream type name
3,StreamKind/String,,,N NI,,,Stream type name
4,StreamKindID,,,N NI,,,Number of the stream (base=0)
5,StreamKindPos,,,N NI,,,"When multiple streams, number of the stream (base=1)"
6,Inform,,,N NT,,,Last **Inform** call
7,ID,,,N YI,,,A ID for this stream in this file
8,ID/String,,,Y NT,,,The ID for this stream in this file
9,UniqueID,,,N YI,,,"A unique ID for this stream, should be copied with stream copy"
10,UniqueID/String,,,Y NT,,,"A unique ID for this stream, should be copied with stream copy"
11,MenuID,,,N YI,,,The menu ID for this stream in this file
12,MenuID/String,,,Y NT,,,The menu ID for this stream in this file
13,Title,,,Y YI,,,Name of the track
14,Format,,,Y YT,,,Format used
15,Format/Info,,,Y NT,,,Info about Format
16,Format/Url,,,N NT,,,Link
17,Format_Commercial,,,N NT,,,Commercial name used by vendor for theses setings or Format field if there is no difference
18,Format_Commercial_IfAny,,,Y NT,,,Commercial name used by vendor for theses setings if there is one
19,Format_Version,,,Y NT,,,Version of this format
20,Format_Profile,,,Y NT,,,Profile of the Format
21,Format_Compression,,,N YT,,,Compression mode of the Format
22,Format_Settings,,,Y NT,,,Settings needed for decoder used
23,Format_Settings_Wrapping,,,Y YT,,,Wrapping mode (Frame wrapped or Clip wrapped)
24,InternetMediaType,,,N YT,,,"Internet Media Type (aka MIME Type, Content-Type)"
25,CodecID/Info,,,Y NT,,,Info about codec ID
26,CodecID/Hint,,,Y NT,,,A hint for this codec ID
27,CodecID/Url,,,N NT,,,A link for more details about this codec ID
28,CodecID_Description,,,Y NT,,,Manual description given by the container
29,Codec,,,N NT,,,"Deprecated, do not use in new projects"
30,Codec/String,,,N NT,,,"Deprecated, do not use in new projects"
31,Codec/Family,,,N NT,,,"Deprecated, do not use in new projects"
32,Codec/Info,,,N NT,,,"Deprecated, do not use in new projects"
33,Codec/Url,,,N NT,,,"Deprecated, do not use in new projects"
34,Width,, pixel,N YI,,,Width (aperture size if present) in pixel
35,Width/String,,,Y NT,,,Width (aperture size if present) with measurement (pixel)
36,Width_Offset,, pixel,N YI,,,Offset between original width and displayed width (aperture size) in pixel
37,Width_Offset/String,,,N NT,,,Offset between original width and displayed width (aperture size)  in pixel
38,Width_Original,, pixel,N YI,,,Original (in the raw stream) width in pixel
39,Width_Original/String,,,Y NT,,,Original (in the raw stream) width with measurement (pixel)
40,Height,, pixel,N YI,,,Height (aperture size if present) in pixel
41,Height/String,,,Y NT,,,Height (aperture size if present) with measurement (pixel)
42,Height_Offset,, pixel,N YI,,,Offset between original height and displayed height (aperture size) in pixel
43,Height_Offset/String,,,N NT,,,Offset between original height and displayed height (aperture size)  in pixel
44,Height_Original,, pixel,N YI,,,Original (in the raw stream) height in pixel
45,Height_Original/String,,,Y NT,,,Original (in the raw stream) height with measurement (pixel)
46,PixelAspectRatio,,,N YF,,,Pixel Aspect ratio
47,PixelAspectRatio/String,,,N NT,,,Pixel Aspect ratio
48,PixelAspectRatio_Original,,,N YF,,,Original (in the raw stream) Pixel Aspect ratio
49,PixelAspectRatio_Original/String,,,N NT,,,Original (in the raw stream) Pixel Aspect ratio
50,DisplayAspectRatio,,,N YF,,,Display Aspect ratio
51,DisplayAspectRatio/String,,,Y NT,,,Display Aspect ratio
52,DisplayAspectRatio_Original,,,N YF,,,Original (in the raw stream) Display Aspect ratio
53,DisplayAspectRatio_Original/String,,,Y NT,,,Original (in the raw stream) Display Aspect ratio
54,ColorSpace,,,Y YT,,,
55,ChromaSubsampling,,,Y YT,,,
56,Resolution,, bit,N NI,,,"Deprecated, do not use in new projects"
57,Resolution/String,,,N NT,,,"Deprecated, do not use in new projects"
58,BitDepth,, bit,N YI,,,
59,BitDepth/String,,,Y NT,,,
60,Compression_Mode,,,N YT,,,Compression mode (Lossy or Lossless)
61,Compression_Mode/String,,,Y NT,,,Compression mode (Lossy or Lossless)
62,StreamSize,, byte,N YI,,,Stream size in bytes
63,StreamSize/String,,,Y NT,,,
64,StreamSize/String1,,,N NT,,,
65,StreamSize/String2,,,N NT,,,
66,StreamSize/String3,,,N NT,,,
67,StreamSize/String4,,,N NT,,,
68,Default,,Yes,N YT,,,Set if that track should be used if no language found matches the user preference.
69,Default/String,,,Y NT,,,Set if that track should be used if no language found matches the user preference.
70,Forced,,Yes,N YT,,,Set if that track should be used if no language found matches the user preference.
71,Forced/String,,,Y NT,,,Set if that track should be used if no language found matches the user preference.
