,col0,col1,col2,col3,col4,col5,col6,col7,col8,col9,col10,col11,col12,col13,col14,col15,col16,col17,col18
0,VERBATIM,double window,wide screen,window width,window height,window x,window y,minimal interframe latency,time scale,initial time,camera ID,message pixel length,trace output frame number,trace time,first frame number,last frame number,max mouse recording frames (for track drawing reording),max network message length,nb of particles
1,TYPE,bool,bool,int,int,int,int,float,float,float,int,int,bool,bool,int,int,int,int,int
2,ID,double_window,wide_screen,window_width,window_height,window_x,window_y,minimal_interframe_latency,time_scale,initial_time,camID,message_pixel_length,trace_output_frame_number,trace_time,first_frame_number,last_frame_number,max_mouse_recording_frames,max_network_message_length,nb_particles
3,initial_values,,,,,,,,,,,,,,,,,,
4,,0,0,1920,1080,0,0,0.01,1,0,0,128,0,0,0,4000000,16384,65535,20000
5,/initial_values,,,,,,,,,,,,,,,,,,
6,rendering_files,,,,,,,,,,,,,,,,,,
7,TYPE,int,int,int,string,string,,,,,,,,,,,,,
8,ID,begin,end,step,id,shots,,,,,,,,,,,,,
9,VIDEO,1000000,90000,1,test.avi,video/,,,,,,,,,,,,,
10,SVG,1000000,90000,600,pic-LYM-demo,snapshots/pic_demo/,,,,,,,,,,,,,
11,PNG,1000000,90000,600,pic-LYM-demo,snapshots/pic_demo/,,,,,,,,,,,,,
12,JPG,1,90000,600,pic-LYM-demo,snapshots/pic_demo/,,,,,,,,,,,,,
13,/rendering_files,,,,,,,,,,,,,,,,,,
14,udp_local_server,2,,,,,,,,,,,,,,,,,
15,VERBATIM,,,,,,,,,,,,,,,,,,
16,TYPE,string,int,string,bool,int,bool,bool,,,,,,,,,,,
17,ID,id,local_port,receive_format,UDP_message_trace,input_message_stack_depth,OSC_duplicate_removal,OSC_endian_reversal,,,,,,,,,,,
18,server,udp_PD_receive,1978,Plain,0,300,1,1,,,,,,,,,,,
19,server,udp_TouchOSC_receive,9000,OSC,0,100,0,1,,,,,,,,,,,
20,/udp_local_server,,,,,,,,,,,,,,,,,,
21,udp_remote_client,3,,,,,,,,,,,,,,,,,
22,VERBATIM,,,,,,,,,,,,,,,,,,
23,TYPE,string,string,int,string,bool,int,bool,,,,,,,,,,,
24,ID,id,remote_ip,local_port,send_format,UDP_message_trace,input_message_stack_depth,OSC_endian_reversal,,,,,,,,,,,
25,client,udp_TouchOSC_send,192.168.43.1,8000,OSC,0,500,1,,,,,,,,,,,
26,client,udp_PD_send,127.0.0.1,1980,Plain,0,100,1,,,,,,,,,,,
27,client,udp_RN_send,127.0.0.1,8000,OSC,0,300,1,,,,,,,,,,,
28,/udp_remote_client,,,,,,,,,,,,,,,,,,
29,shader_files,7,,,,,,,,,,,,,,,,,
30,VERBATIM,,,,,,,,,,,,,,,,,,
31,TYPE,string,,,,,,,,,,,,,,,,,
32,ID,id,,,,,,,,,,,,,,,,,
33,filename,LYM_ParticleAnimation_demo,2,GL_VERTEX_SHADER,GL_FRAGMENT_SHADER,,,,,,,,,,,,,,
34,filename,LYM_Update_Biches,2,GL_VERTEX_SHADER,GL_FRAGMENT_SHADER,,,,,,,,,,,,,,
35,filename,LYM_ParticleSplat_Biches,3,GL_VERTEX_SHADER,GL_GEOMETRY_SHADER,GL_FRAGMENT_SHADER,,,,,,,,,,,,,
36,filename,LYM_Mixing_Biches,2,GL_VERTEX_SHADER,GL_FRAGMENT_SHADER,,,,,,,,,,,,,,
37,filename,LYM_Master_Biches,2,GL_VERTEX_SHADER,GL_FRAGMENT_SHADER,,,,,,,,,,,,,,
38,filename,LYM_Sensor_demo,2,GL_VERTEX_SHADER,GL_FRAGMENT_SHADER,,,,,,,,,,,,,,
39,filename,LYM_ClipArt_demo,2,GL_VERTEX_SHADER,GL_FRAGMENT_SHADER,,,,,,,,,,,,,,
40,/shader_files,,,,,,,,,,,,,,,,,,
41,directories,1,,,,,,,,,,,,,,,,,
42,snapshots,./snapshots,,,,,,,,,,,,,,,,,
43,/directories,,,,,,,,,,,,,,,,,,
44,/head,,,,,,,,,,,,,,,,,,
