,col0,col1,col2,col3,col4
0,123.2581,124.3641,Hand,FailOnTouchObstacleShort,PickedUp
1,123.3111,123.3778,Hand,FailOnTouchObstacleShort,LeftGate
2,123.3111,123.4889,Hand,FailOnTouchObstacleLong,LeftGate
3,123.3222,123.3778,Hand,FailOnTouchObstacleShort,RightGate
4,123.4445,123.4778,Hand,FailOnTouchObstacleShort,LeftGate
5,123.5556,124.1556,Hand,FailOnTouchObstacleShort,LeftGate
6,124.2667,124.3222,Hand,FailOnTouchObstacleShort,LeftGate
7,124.2667,124.3,Hand,FailOnTouchObstacleShort,RightGate
8,124.3333,124.4222,Hand,FailOnTouchObstacleShort,LeftGate
9,124.3333,124.4445,Hand,FailOnTouchObstacleShort,RightGate
10,124.4556,124.6778,Hand,FailOnTouchObstacleShort,RightGate
11,124.7222,125.0111,Hand,FailOnTouchObstacleShort,RightGate
12,124.7778,125.1667,HandToWrist,FailOnTouchObstacleShort,RightGate
13,124.8111,124.9778,Hand,FailOnTouchObstacleLong,LeftGate
14,124.8444,125.0667,HandToWrist,FailOnTouchObstacleLong,LeftGate
15,124.9667,126.3222,WristToElbow,FailOnTouchObstacleLong,LeftGate
16,124.9889,126.2556,WristToElbow,FailOnTouchObstacleShort,RightGate
17,125.1778,125.4333,Hand,FailOnTouchObstacleMed,LeftGate
18,125.1778,125.4333,Hand,FailOnTouchObstacleShort-1,RightGate
19,125.2222,125.6889,HandToWrist,FailOnTouchObstacleShort-1,RightGate
20,125.2222,125.6889,HandToWrist,FailOnTouchObstacleMed,LeftGate
21,125.4222,126.0556,WristToElbow,FailOnTouchObstacleShort-1,RightGate
22,125.4222,126.0556,WristToElbow,FailOnTouchObstacleMed,LeftGate
23,125.7,125.9556,Hand,Target,Pushed
24,125.7385,,Hand,Target,PickedUp
25,125.8889,126.1556,HandToWrist,FailOnTouchObstacleMed,LeftGate
26,125.8889,126.1556,HandToWrist,FailOnTouchObstacleShort-1,RightGate
27,126.0222,126.1667,Hand,FailOnTouchObstacleMed,LeftGate
28,126.0222,126.1667,Hand,FailOnTouchObstacleShort-1,RightGate
29,126.1778,126.3444,HandToWrist,FailOnTouchObstacleShort,RightGate
30,126.2333,126.3556,Hand,FailOnTouchObstacleShort,RightGate
31,126.2444,126.4,HandToWrist,FailOnTouchObstacleLong,LeftGate
32,126.2889,126.4,Hand,FailOnTouchObstacleLong,LeftGate
