,col0,col1,col2,col3,col4,col5,col6,col7,col8,col9,col10,col11,col12,col13,col14,col15,col16,col17,col18,col19
0,e1fce7f4-8fd1-11eb-924d-9cd76263cbd0,genus,Conicosia,,,N.E.Br.,Q721850,1925,,"Gard. Chron., ser. 3 78: 433. 1925.",,,,,,325652-2,wfo-4000009128,7615849,,
1,d126f366-8fcc-11eb-924d-9cd76263cbd0,species,affinis,Conicosia,,N.E.Br.,Q721850,1928,,"Gard. Chron. III, 84: 253 1928",,,,,,361013-1,wfo-0000617861,7907108,,
2,d1271062-8fcc-11eb-924d-9cd76263cbd0,species,alborosea,Conicosia,,L.Bolus,Q63764,1958,,Notes Mesembryanthemum 3: 301 1958,,,,,,57229-1,wfo-0000617862,3707133,,
3,d1272d54-8fcc-11eb-924d-9cd76263cbd0,species,australis,Conicosia,,L.Bolus,Q63764,1958,,Notes Mesembryanthemum 3: 300 1958,,,,,,57230-1,wfo-0000617863,3707126,,
4,d1274b22-8fcc-11eb-924d-9cd76263cbd0,species,bijlii,Conicosia,,N.E.Br.,Q721850,1931,,"Gard. Chron. III, 90: 14 1931",,,,,,361015-1,wfo-0000617864,3707111,,
5,d127aaea-8fcc-11eb-924d-9cd76263cbd0,species,brevicaulis,Conicosia,,(Haw.) Schwantes,"Q373119,Q78016",1928,,Gartenflora 77: 69 1928,,,,,,361016-1,wfo-0000617865,3707104,,
6,d1280210-8fcc-11eb-924d-9cd76263cbd0,species,capensis,Conicosia,,N.E.Br.,Q721850,1928,,"Gard. Chron. III, 84: 253 1928",,,,,,361017-1,wfo-0000617866,3707094,,
7,d12843ce-8fcc-11eb-924d-9cd76263cbd0,species,capitata,Conicosia,,(Haw.) Schwantes,"Q373119,Q78016",1928,,Gartenflora 77: 69 1928,,,,,,361018-1,wfo-0000617868,3707087,,
8,d1285f76-8fcc-11eb-924d-9cd76263cbd0,species,communis,Conicosia,,N.E.Br.,Q721850,1931,,"Gard. Chron. III, 90: 14 1931",,,,,,361019-1,wfo-0000617869,3707081,,
9,d12884d8-8fcc-11eb-924d-9cd76263cbd0,species,coruscans,Conicosia,,(Haw.) Schwantes,"Q373119,Q78016",1928,,Gartenflora 77: 69 1928,,,,,,361020-1,wfo-0000617870,3707075,,
10,d128a62a-8fcc-11eb-924d-9cd76263cbd0,species,elongata,Conicosia,,(Haw.) Schwantes,"Q373119,Q78016",1928,,Gartenflora 77: 69 1928,,,,df235400-8fcc-11eb-924d-9cd76263cbd0,,361021-1,wfo-0000617871,3707067,,
11,d128c448-8fcc-11eb-924d-9cd76263cbd0,species,fusiformis,Conicosia,,(Haw.) N.E.Br.,"Q373119,Q721850",1928,,"Gard. Chron. III, 84: 253 1928",,,,,,361022-1,wfo-0000617872,3707059,,
12,d128de74-8fcc-11eb-924d-9cd76263cbd0,species,muirii,Conicosia,,N.E.Br.,Q721850,1928,,"Gard. Chron. III, 84: 253 1928",,,,,,361023-1,wfo-0000617873,8151574,,
13,d128fc88-8fcc-11eb-924d-9cd76263cbd0,species,pugioniformis,Conicosia,,(L.) N.E.Br.,"Q1043,Q721850",1926,,Gen. S. Afr. Fl. Pl. 247 1926,,,,15bfa568-8fcd-11eb-924d-9cd76263cbd0,,361025-1,wfo-0000617874,3084867,,
14,d1291a92-8fcc-11eb-924d-9cd76263cbd0,subspecies,alborosea,Conicosia,pugioniformis,(L.Bolus) Ihlenf. & Gerbaulet,"Q63764,Q5891844,Q18984857",1990,,Bot. Jahrb. Syst. 111: 484 1990,,,,d1271062-8fcc-11eb-924d-9cd76263cbd0,,956341-1,wfo-0000617875,8601058,,
15,d12937ca-8fcc-11eb-924d-9cd76263cbd0,subspecies,muirii,Conicosia,pugioniformis,(N.E.Br.) Ihlenf. & Gerbaulet,"Q721850,Q5891844,Q18984857",1990,,Bot. Jahrb. Syst. 111: 485 1990,,,,,,956342-1,wfo-0000617876,3707026,,
16,d1295430-8fcc-11eb-924d-9cd76263cbd0,species,pulliloba,Conicosia,,N.E.Br.,Q721850,1931,,"Gard. Chron. III, 90: 14 1931",,,,,,361026-1,wfo-0000617877,3707023,,
17,d1298c66-8fcc-11eb-924d-9cd76263cbd0,species,robusta,Conicosia,,N.E.Br.,Q721850,1928,,"Gard. Chron. III, 84: 253 1928",,,,,,361027-1,wfo-0000617879,8102775,,
18,d129ac32-8fcc-11eb-924d-9cd76263cbd0,species,roodiae,Conicosia,,N.E.Br.,Q721850,1928,,"Gard. Chron. III, 84: 253 1928",,,,,,361012-1,wfo-0000617880,7522598,,
