,col0,col1,col2,col3,col4,col5,col6,col7,col8,col9,col10,col11,col12,col13,col14,col15,col16,col17,col18,col19
0,a061787c-9bad-11eb-a8a2-19ed5c03f8d3,genus,Lophomerum,,,Ouell. & Magasi,,1966.0,,Mycologia 58(2): 275 (1966),,,,a061787c-9bad-11eb-a8a2-19ed5c03f8d3,,,,,2943, 
1,1ef5b8ac-9bad-11eb-a8a2-19ed5c03f8d3,species,agharkarii,Lophomerum,,(Tilak) Darker,,,,Can. J. Bot. 45: 1434 (1967),,,,9a97dd06-9bac-11eb-a8a2-19ed5c03f8d3,,,,,333473, 
2,1ef5e85e-9bad-11eb-a8a2-19ed5c03f8d3,species,autumnale,Lophomerum,,(Darker) Magasi,,1966.0,,Mycologia 58(2): 275 (1966),,,,d5394aa8-9bac-11eb-a8a2-19ed5c03f8d3,,,,,333474, 
3,1ef6376e-9bad-11eb-a8a2-19ed5c03f8d3,species,clavuligerum,Lophomerum,,(Speg.) Darker,Q648013,,,Can. J. Bot. 45: 1434 (1967),,,,9644258e-9bac-11eb-a8a2-19ed5c03f8d3,,,,,333475, 
4,1ef67238-9bad-11eb-a8a2-19ed5c03f8d3,species,darkeri,Lophomerum,,Ouell.,,1966.0,,Mycologia 58(2): 276 (1966),,,,1ef67238-9bad-11eb-a8a2-19ed5c03f8d3,,,,,333476, 
5,108ce506-9bad-11eb-a8a2-19ed5c03f8d3,species,kamatene,Lophomerum,,Mhaskar,,1972.0,,Journal of the University of Poona 42: 88 (1972),,,,108ce506-9bad-11eb-a8a2-19ed5c03f8d3,,,,,317011, 
6,65643b1a-9bad-11eb-a8a2-19ed5c03f8d3,species,ponticum,Lophomerum,,Minter,,1980.0,,Trans. Br. mycol. Soc. 74(1): 202 (1980),,,,65643b1a-9bad-11eb-a8a2-19ed5c03f8d3,,,,,113554, 
7,1ef6a9c4-9bad-11eb-a8a2-19ed5c03f8d3,species,quercus,Lophomerum,,(S.K. Bose & E. Müll.) Darker,,,,Can. J. Bot. 45: 1434 (1967),,,,1ef55646-9bad-11eb-a8a2-19ed5c03f8d3,,,,,333477, 
8,2c57e7d2-9bac-11eb-a8a2-19ed5c03f8d3,species,rhododendri,Lophomerum,,(Ces. ex Rehm) Remler,"Q2138005,Q4393082",1980.0,,Biblthca Mycol. 68: 179 (1980),,,,7c44ba1c-9bad-11eb-a8a2-19ed5c03f8d3,,,,,113858, 
9,1ef6e1c8-9bad-11eb-a8a2-19ed5c03f8d3,species,septatum,Lophomerum,,Tehon ex Ouell.,,1966.0,,Mycologia 58(2): 279 (1966),,,,1ef6e1c8-9bad-11eb-a8a2-19ed5c03f8d3,,,,,333478, 
