,col0,col1,col2,col3,col4,col5,col6,col7
0,1.0,BOTTOM PLATE,1/2 INCH FLATSTOCK,,665696.936 mm^3,,,
1,1.0,TOP PLATE,1/2 INCH FLATSTOCK,,620989.605 mm^3,,,
2,1.0,BASALT BED,BASALT,,516236.765 mm^3,,,
3,3.0,SHOULDER,PLA,,95960.308 mm^3,,,
4,3.0,PLASTIC WASHER,PLA,,145.644 mm^3,,,
5,3.0,MOTOR ARM,PLA,,156075.916 mm^3,,,
6,3.0,PULLEY,PLA,,2825.177 mm^3,,,
7,1.0,HUB BOTTOM,PLA,,58445.393 mm^3,,,
8,1.0,HUB CENTER,PLA,,35496.645 mm^3,,,
9,1.0,HUB WASHER,PLA,,113.086 mm^3,,,
10,1.0,HUB SCREW,PLA,,,,,
11,1.0,HUB TOP,PLA,,45030.490 mm^3,,,
12,1.0,LOCK NUT,PLA,,2179.019 mm^3,,,
13,1.0,BOWDEN NUT,PLA,,4428.572 mm^3,,,
14,3.0,SLAVE ARM,PLA,,180181.836 mm^3,,,
15,3.0,ECCENTRIC STOP,PLA,,454.113 mm^3,,,
16,1.0,STANDOFF,PLA,,7266.169 mm^3,,,
17,1.0,FILAMENT DRIVE-ARM,PLA,,,,,
18,1.0,FILAMENT DRIVE-BLOCK,PLA,,,,,
19,1.0,FILAMENT DRIVE-BEARING INSERT,PLA,,,,,
20,2.0,FILAMENT DRIVE-SPRING,,,,http://www.mcmaster.com/,"Steel Compression Spring, Zinc-Plated Music Wire,.500"" L,.187"" OD,.029"" Wire",http://www.mcmaster.com/#9657K268
21,1.0,BOWDEN TUBE,PTFE,4mm OD x 2mm ID x 24 inches,,,,
22,1.0,HOT BED,SILICONE,,,http://www.qu-bd.com/,"CIRCULAR 24V SILICONE RUBBER HEATER BED 200MM DIAMETER (8"")",http://store.qu-bd.com/product.php?id_product=59
23,19.0,608 BEARING,STEEL,,2309.071 mm^3,,,
24,12.0,M8 WASHER,STEEL,,220.434 mm^3,,,
25,3.0,M8X100 HEX BOLT,STEEL,,5848.615 mm^3,,,
26,3.0,TUNING PEG,STEEL,,5621.126 mm^3,http://www.amazon.com/,B00BJTGILG,http://amzn.com/B00BJTGILG
27,3.0,M3X16 SHCS,STEEL,,173.767 mm^3,,,
28,9.0,M2X16 SHCS,STEEL,,,,,
29,12.0,M8X60 HEX BOLT,STEEL,,3837.996 mm^3,,,
30,6.0,M8X55 HEX BOLT,STEEL,,3586.668 mm^3,,,
31,12.0,M3X6 SHCS,STEEL,,103.081 mm^3,,,
32,6.0,M3X8,STEEL,,117.218 mm^3,,,
33,6.0,M3X20,STEEL,,202.041 mm^3,,,
34,2.0,M3X25,STEEL,,,,,
35,2.0,M3X30,STEEL,,,,,
36,2.0,M3X35,STEEL,,,,,
37,4.0,6702 BEARING,STEEL,,678.584 mm^3,,,
38,2.0,M4 FULL NUT,STEEL,,107.865 mm^3,,,
39,1.0,HOBBED PULLEY,STEEL,,,http://www.qu-bd.com/,MK7 *STAINLESS* FILAMENT DRIVE GEAR,http://store.qu-bd.com/product.php?id_product=142
40,3.0,SPRING,STEEL,,,http://www.mcmaster.com,9654K108,http://www.mcmaster.com/#9654k108/=pkklz1
41,33.0,M8 NYLOC STOP NUT,STEEL/NYLON,,749.524 mm^3,,,
42,11.0,M3 NYLOC STOP NUT,STEEL/NYLON,,50.833 mm^3,,,
43,3.0,LIMIT SWITCH,VARIES,,473.476 mm^3,http://www.mouser.com/,611-ZMA00A080L04PC,http://www.mouser.com/Search/ProductDetail.aspx?R=ZMA00A080L04PCvirtualkey61110000virtualkey611-ZMA00A080L04PC
44,4.0,NEMA 17 STEPPER,VARIES,,67718.266 mm^3,http://www.qu-bd.com/,NEMA 17 STEPPER MOTOR 4.5KG*CM,http://store.qu-bd.com/product.php?id_product=46
45,1.0,ANUBIS HOT END,VARIES,,11631.524 mm^3,http://www.qu-bd.com/,ANUBIS 24V HEATER CARTRIDGE KIT,http://store.qu-bd.com/product.php?id_product=137
46,1.0,POWER SUPPLY,VARIES,,,http://www.qu-bd.com/,350W POWER SUPPLY 14.6A @ 24V POWER SUPPLY,http://store.qu-bd.com/product.php?id_product=111
47,1.0,CONTROLLER,,,,http://www.qu-bd.com/,AZTEEG X1 - 'RAMPS ON STEROIDS',http://store.qu-bd.com/product.php?id_product=53
48,4.0,STEPPER DRIVER,,,,http://www.qu-bd.com/,SURESTEPR SUPER PREMIUM STEPPER DRIVERS,http://store.qu-bd.com/product.php?id_product=55
49,,STRING,,80lb+ TEST BRAIDED FISHING LINE,,,,
50,,WIRE,,FOR LIMIT SWITCHES AND HOT END,,,,
