,col0,col1,col2,col3,col4,col5,col6,col7,col8,col9,col10,col11,col12,col13,col14,col15,col16,col17,col18,col19,col20,col21,col22,col23,col24,col25,col26,col27
0,22000746,1610612747,LAL,Los Angeles,1628398,Kyle Kuzma,F,,36:17,11.0,18.0,0.611,4.0,7.0,0.5710000000000001,4.0,5.0,0.8,0.0,5.0,5.0,3.0,0.0,0.0,3.0,1.0,30.0,29.0
1,22000746,1610612747,LAL,Los Angeles,202693,Markieff Morris,F,,31:37,6.0,13.0,0.462,2.0,6.0,0.33299999999999996,0.0,0.0,0.0,3.0,5.0,8.0,2.0,0.0,0.0,0.0,1.0,14.0,8.0
2,22000746,1610612747,LAL,Los Angeles,201188,Marc Gasol,C,,28:07,2.0,4.0,0.5,1.0,3.0,0.33299999999999996,0.0,0.0,0.0,2.0,7.0,9.0,6.0,1.0,0.0,5.0,3.0,5.0,20.0
3,22000746,1610612747,LAL,Los Angeles,203484,Kentavious Caldwell-Pope,G,,36:30,4.0,11.0,0.364,4.0,7.0,0.5710000000000001,1.0,2.0,0.5,0.0,10.0,10.0,3.0,0.0,1.0,2.0,4.0,13.0,23.0
4,22000746,1610612747,LAL,Los Angeles,203471,Dennis Schroder,G,,31:16,7.0,13.0,0.5379999999999999,3.0,4.0,0.75,0.0,2.0,0.0,0.0,4.0,4.0,8.0,4.0,0.0,5.0,3.0,17.0,4.0
5,22000746,1610612747,LAL,Los Angeles,202083,Wesley Matthews,,,4:43,0.0,3.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,-3.0
6,22000746,1610612747,LAL,Los Angeles,1626149,Montrezl Harrell,,,16:42,2.0,7.0,0.28600000000000003,0.0,0.0,0.0,1.0,2.0,0.5,5.0,5.0,10.0,0.0,0.0,0.0,0.0,1.0,5.0,3.0
7,22000746,1610612747,LAL,Los Angeles,1627936,Alex Caruso,,,18:14,3.0,4.0,0.75,2.0,2.0,1.0,0.0,0.0,0.0,0.0,2.0,2.0,3.0,0.0,0.0,2.0,4.0,8.0,9.0
8,22000746,1610612747,LAL,Los Angeles,1629659,Talen Horton-Tucker,,,21:32,6.0,12.0,0.5,1.0,2.0,0.5,2.0,2.0,1.0,0.0,2.0,2.0,1.0,4.0,0.0,0.0,0.0,15.0,9.0
9,22000746,1610612747,LAL,Los Angeles,1628035,Alfonzo McKinnie,,,8:40,1.0,2.0,0.5,0.0,0.0,0.0,2.0,2.0,1.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0,4.0,7.0
10,22000746,1610612747,LAL,Los Angeles,1628961,Kostas Antetokounmpo,,,3:11,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,-2.0
11,22000746,1610612747,LAL,Los Angeles,1629719,Devontae Cacok,,,3:11,1.0,3.0,0.33299999999999996,0.0,0.0,0.0,2.0,3.0,0.667,1.0,0.0,1.0,0.0,0.0,1.0,0.0,1.0,4.0,-2.0
12,22000746,1610612758,SAC,Sacramento,1627741,Buddy Hield,F,,28:50,3.0,11.0,0.273,1.0,9.0,0.111,0.0,0.0,0.0,0.0,6.0,6.0,3.0,3.0,0.0,0.0,4.0,7.0,-19.0
13,22000746,1610612758,SAC,Sacramento,203084,Harrison Barnes,F,,37:15,9.0,10.0,0.9,3.0,4.0,0.75,5.0,5.0,1.0,2.0,3.0,5.0,5.0,1.0,1.0,5.0,1.0,26.0,-8.0
14,22000746,1610612758,SAC,Sacramento,1626158,Richaun Holmes,C,,24:18,4.0,10.0,0.4,0.0,0.0,0.0,3.0,5.0,0.6,2.0,5.0,7.0,0.0,0.0,0.0,0.0,2.0,11.0,-20.0
15,22000746,1610612758,SAC,Sacramento,1630169,Tyrese Haliburton,G,,29:12,4.0,9.0,0.444,1.0,3.0,0.33299999999999996,0.0,0.0,0.0,0.0,2.0,2.0,2.0,0.0,1.0,2.0,0.0,9.0,-21.0
16,22000746,1610612758,SAC,Sacramento,1628368,De'Aaron Fox,G,,28:44,5.0,20.0,0.25,0.0,4.0,0.0,2.0,4.0,0.5,0.0,1.0,1.0,5.0,3.0,1.0,2.0,0.0,12.0,-24.0
17,22000746,1610612758,SAC,Sacramento,1626153,Delon Wright,,,21:15,5.0,7.0,0.7140000000000001,3.0,4.0,0.75,0.0,0.0,0.0,0.0,3.0,3.0,1.0,0.0,0.0,0.0,0.0,13.0,-15.0
18,22000746,1610612758,SAC,Sacramento,1629002,Chimezie Metu,,,15:29,2.0,2.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,4.0,2.0,0.0,1.0,1.0,2.0,4.0,7.0
19,22000746,1610612758,SAC,Sacramento,1629056,Terence Davis,,,21:38,3.0,9.0,0.33299999999999996,2.0,7.0,0.28600000000000003,0.0,0.0,0.0,1.0,4.0,5.0,2.0,1.0,0.0,2.0,1.0,8.0,1.0
20,22000746,1610612758,SAC,Sacramento,203090,Maurice Harkless,,,22:34,0.0,4.0,0.0,0.0,3.0,0.0,2.0,2.0,1.0,0.0,2.0,2.0,1.0,0.0,0.0,0.0,4.0,2.0,-10.0
21,22000746,1610612758,SAC,Sacramento,1630218,Robert Woodard II,,,3:11,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,2.0,2.0
22,22000746,1610612758,SAC,Sacramento,1629610,DaQuan Jeffries,,,3:11,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,2.0,1.0,0.0,0.0,1.0,0.0,0.0,2.0
