,col0,col1,col2,col3,col4,col5,col6,col7,col8,col9,col10,col11,col12,col13,col14,col15,col16,col17,col18,col19
0,f9176f96-9bab-11eb-a8a2-19ed5c03f8d3,genus,Pseudolachnea,,,Velen.,Q950581,1934.0,illegitimate,Monogr. Discom. Bohem. (Prague) 313 (1934),,,,f9176f96-9bab-11eb-a8a2-19ed5c03f8d3,,,,,506270, 
1,d3ea4f76-9bac-11eb-a8a2-19ed5c03f8d3,species,abietina,Pseudolachnea,,Velen.,Q950581,1934.0,,Monogr. Discom. Bohem. (Prague) 314 (1934),,,,d3ea4f76-9bac-11eb-a8a2-19ed5c03f8d3,,,,,255550, 
2,38ad9676-9bac-11eb-a8a2-19ed5c03f8d3,species,antillana,Pseudolachnea,,R.F. Castañeda,,1987.0,,Fungi Cubenses II (La Habana) 17 (1987),,,,38ad9676-9bac-11eb-a8a2-19ed5c03f8d3,,,,,131691, 
3,7810cf62-9bad-11eb-a8a2-19ed5c03f8d3,species,bubakii,Pseudolachnea,,Ranoj.,,1910.0,,Annls mycol. 8(3): 393 (1910),,,,7810cf62-9bad-11eb-a8a2-19ed5c03f8d3,,,,,214041, 
4,fb13ec48-9bab-11eb-a8a2-19ed5c03f8d3,variety,bubakii,Pseudolachnea,bubakii,Ranoj.,,1910.0,,Annls mycol. 8(3): 393 (1910),,,,fb13ec48-9bab-11eb-a8a2-19ed5c03f8d3,,,,,424688, 
5,d5ba743e-9bac-11eb-a8a2-19ed5c03f8d3,variety,longispora,Pseudolachnea,bubakii,Teng,,,,,,,,d5ba743e-9bac-11eb-a8a2-19ed5c03f8d3,,,,,259072, 
6,25863b0c-9bac-11eb-a8a2-19ed5c03f8d3,species,coronata,Pseudolachnea,,(I. Hino & Katum.) B. Sutton,,1980.0,,The Coelomycetes (Kew) 461 (1980),,,,3571846c-9bad-11eb-a8a2-19ed5c03f8d3,,,,,116366, 
7,d91cbd3a-9bac-11eb-a8a2-19ed5c03f8d3,species,echinata,Pseudolachnea,,Velen.,Q950581,1934.0,,Monogr. Discom. Bohem. (Prague) 314 (1934),,,,d91cbd3a-9bac-11eb-a8a2-19ed5c03f8d3,,,,,263709, 
8,3abd1234-9bac-11eb-a8a2-19ed5c03f8d3,species,elegans,Pseudolachnea,,Prostak. & Marzina,,,,,,,,3abd1234-9bac-11eb-a8a2-19ed5c03f8d3,,,,,337779, 
9,61cb6e98-9bac-11eb-a8a2-19ed5c03f8d3,species,hispidula,Pseudolachnea,,(Schrad.) B. Sutton,Q62591,1977.0,,Mycol. Pap. 141: 167 (1977),,,,4d9f0812-9bac-11eb-a8a2-19ed5c03f8d3,,,,,321808, 
10,dc6ee94a-9bac-11eb-a8a2-19ed5c03f8d3,species,insignis,Pseudolachnea,,Velen.,Q950581,1934.0,,Monogr. Discom. Bohem. (Prague) 1: 314 (1934),,,,dc6ee94a-9bac-11eb-a8a2-19ed5c03f8d3,,,,,267970, 
11,a67156e8-9bac-11eb-a8a2-19ed5c03f8d3,variety,insignis,Pseudolachnea,insignis,Velen.,Q950581,1934.0,,Monogr. Discom. Bohem. (Prague) 1: 314 (1934),,,,a67156e8-9bac-11eb-a8a2-19ed5c03f8d3,,,,,425003, 
12,dc6fa894-9bac-11eb-a8a2-19ed5c03f8d3,variety,minor,Pseudolachnea,insignis,Velen.,Q950581,1934.0,,Monogr. Discom. Bohem. (Prague) 1: 314 (1934),,,,dc6fa894-9bac-11eb-a8a2-19ed5c03f8d3,,,,,267974, 
13,dcd3e188-9bac-11eb-a8a2-19ed5c03f8d3,species,juniperi,Pseudolachnea,,Velen.,Q950581,1934.0,,Monogr. Discom. Bohem. (Prague) 314 (1934),,,,dcd3e188-9bac-11eb-a8a2-19ed5c03f8d3,,,,,268488, 
14,2e3eb9a4-9bac-11eb-a8a2-19ed5c03f8d3,species,longiciliata,Pseudolachnea,,(I. Hino & Katum.) B. Sutton,,1980.0,,The Coelomycetes (Kew) 461 (1980),,,,311fc1a4-9bac-11eb-a8a2-19ed5c03f8d3,,,,,116367, 
15,dee82984-9bac-11eb-a8a2-19ed5c03f8d3,species,minutissima,Pseudolachnea,,Velen.,Q950581,1934.0,,Monogr. Discom. Bohem. (Prague) 1: 315 (1934),,,,dee82984-9bac-11eb-a8a2-19ed5c03f8d3,,,,,271329, 
16,dfb38426-9bac-11eb-a8a2-19ed5c03f8d3,species,nivea,Pseudolachnea,,Velen.,Q950581,1934.0,,Monogr. Discom. Bohem. (Prague) 315 (1934),,,,dfb38426-9bac-11eb-a8a2-19ed5c03f8d3,,,,,272383, 
17,e07e5106-9bac-11eb-a8a2-19ed5c03f8d3,species,pallida,Pseudolachnea,,Velen.,Q950581,1934.0,,Monogr. Discom. Bohem. (Prague) 315 (1934),,,,e07e5106-9bac-11eb-a8a2-19ed5c03f8d3,,,,,273321, 
18,2e3f1ad4-9bac-11eb-a8a2-19ed5c03f8d3,species,ryukyuensis,Pseudolachnea,,(I. Hino & Katum.) B. Sutton,,1980.0,,The Coelomycetes (Kew) 461 (1980),,,,19ff039e-9bad-11eb-a8a2-19ed5c03f8d3,,,,,116368, 
19,e3b52142-9bac-11eb-a8a2-19ed5c03f8d3,species,scolecospora,Pseudolachnea,,Teng & C.I. Chen,,,,,,,,e3b52142-9bac-11eb-a8a2-19ed5c03f8d3,,,,,277710, 
20,38adc6e6-9bac-11eb-a8a2-19ed5c03f8d3,species,setibicolor,Pseudolachnea,,R.F. Castañeda,,1987.0,,Fungi Cubenses II (La Habana) 18 (1987),,,,38adc6e6-9bac-11eb-a8a2-19ed5c03f8d3,,,,,131692, 
