,col0,col1,col2,col3
0,"fo_o_fw_""_by_bc",A,Okay/UH ./.,Okay. /
1,qo,A,"Well/UH ,/, ho/WRB ,/, how/WRB do/VBP you/PRP feel/VB about/IN ,/, uh/UH ,/, drug/NN testing/NN ?/.","{D Well, } [ ho-, + how ] do you feel about, {F uh, } drug testing? /"
2,sd,B,"Um/UH ,/, personally/RB ,/, I/PRP do/VBP n't/RB have/VB a/DT problem/NN with/IN it/PRP ,/, uh/UH ,/,","{F Um, } personally, I don't have a problem with it, {F uh, } /"
3,sv,B,"I/PRP think/VBP ,/, uh/UH ,/, as/RB far/RB as/IN ,/, uh/UH ,/, protecting/VBG fellow/NN employees/NNS ,/, protecting/VBG their/PRP$ reputation/NN of/IN the/DT company/NN and/CC the/DT quality/NN of/IN work/NN that/WDT the/DT people/NNS do/VBP ,/, um/UH ,/, it/PRP 's/BES justified/JJ ./.","I think, {F uh, } as far as, {F uh, } protecting fellow employees, protecting their reputation of the company and the quality of work that the people do, {F um, } it's justified. /"
4,sv,B,"On/IN the/DT other/JJ hand/NN ,/, um/UH ,/, I/PRP do/VBP agree/VB that/IN it/PRP 's/BES ,/, it/PRP 's/BES a/DT ,/, it/PRP 's/BES an/DT invasion/NN of/IN privacy/NN as/RB far/RB as/IN a/DT person/NN 's/POS involvement/NN outside/IN of/IN work/NN ./.","On the other hand, {F um, } I do agree that [ [ it's, + it's a, ] + it's an ] invasion of privacy as far as a person's involvement outside of work. /"
5,b,A,Yeah/UH ./.,Yeah. /
6,sd,B,"Um/UH ,/, I/PRP would/MD never/RB ,/, I/PRP would/MD never/RB have/VB a/DT problem/NN with/IN anyone/NN testing/VBG me/PRP ,/,","{F Um, } [ I would never, + I would never ] have a problem with anyone testing me, /"
7,sd,B,but/CC I/PRP can/MD understand/VB why/WRB people/NNS would/MD object/VB ./.,{C but } I can understand why people would object. /
8,sd,B,"So/RB ,/, I/PRP guess/VBP ,/, uh/UH ,/, I/PRP guess/VBP ,/, uh/UH ,/, I/PRP 'm/VBP kind/RB of/RB mixed/JJ on/IN it/PRP ,/,","{C So, } [ I guess, + {F uh, } I guess, ] {F uh, } I'm kind of mixed on it,"
9,b,A,Yeah/UH ./.,Yeah. /
10,+,B,still/RB at/IN this/DT point/NN ./.,still at this point. /
11,aa,A,"I/PRP am/VBP too/RB a/DT little/JJ bit/NN ,/,","I am too a little bit, /"
12,sd,A,"I/PRP mean/VBP ,/, I/PRP ,/, I/PRP do/VBP n't/RB want/VB to/TO be/VB around/IN people/NNS who/WP are/VBP really/RB on/IN drugs/NNS and/CC that/DT sort/NN of/IN thing/NN ,/,","{E I mean, } [ I, + I ] don't want to be around people who are really on drugs and that sort of thing, /"
13,b,B,Uh-huh/UH ./.,Uh-huh. /
14,sv,A,"and/CC ,/, and/CC ,/, you/PRP know/VBP ,/, obviously/RB they/PRP 're/VBP probably/RB not/RB going/VBG to/TO be/VB doing/VBG a/DT good/JJ job/NN and/CC so/RB forth/RB ,/,","[ {C and, } + {C and, } ] {D you know, } obviously they're probably not going to be doing a good job and so forth, /"
15,sd,A,but/CC I/PRP do/VBP n't/RB really/RB like/VB having/VBG to/TO do/VB it/PRP ./.,{C but } I don't really like having to do it. /
16,%,A,"It/PRP ,/,","It, -/"
17,aa,B,That/DT 's/BES right/JJ ./.,That's right. /
18,sv,A,"And/CC I/PRP do/VBP n't/RB like/VB the/DT idea/NN of/IN it/PRP ,/, it/PRP 's/BES ,/, it/PRP 's/BES ,/, makes/VBZ too/RB much/JJ of/IN a/DT big/JJ brother/NN type/NN of/IN thing/NN ./.","{C And } I don't like the idea of it, [ [ it's, + it's, ] + makes ] too much of a big brother type of thing. /"
19,aa,B,That/DT 's/BES absolutely/RB right/JJ ./.,That's absolutely right. /
20,sv,B,"It/PRP ,/, it/PRP ,/, uh/UH ,/, I/PRP guess/VBP it/PRP all/DT comes/VBZ down/RP to/IN ,/, uh/UH ,/, you/PRP know/VBP ,/, a/DT ,/, a/DT definition/NN of/IN ,/, uh/UH ,/, how/WRB much/JJ out/JJ ,/, outside/JJ activities/NNS affect/VBP your/PRP$ work/NN","[ [ It, + it, ] + {F uh, } I guess it ] all comes down to, {F uh, } {D you know, } [ a, + a ] definition of, {F uh, } how much [ out, + outside ] activities affect your work /"
21,%,B,"and/CC ,/, uh/UH ,/, uh/UH ,/, granted/VBN ,/, you/PRP know/VBP ,/, that/IN ,/,","{C and, } {F uh, } {F uh, } granted, {D you know, } that, - /"
22,sv,B,"any/DT ,/, any/DT kind/NN of/IN drug/NN use/NN on/IN ,/, on/IN company/NN property/NN and/CC whatnot/NN ,/,","[ any, + any ] kind of drug use [ on, + on ] company property and whatnot,"
23,b,A,Yeah/UH ./.,Yeah. /
24,+,B,"is/VBZ ,/, is/VBZ definitely/RB not/RB acceptable/JJ ./.","[ is, + is ] definitely not acceptable. /"
25,sv,B,"Uh/UH ,/, uh/UH ,/, I/PRP do/VBP n't/RB think/VB anybody/NN would/MD ever/RB argue/VB that/DT ./.","{F Uh, } {F uh, } I don't think anybody would ever argue that."
26,b,A,Huh-uh/UH ./.,Huh-uh. /
27,+,B,"Or/CC ,/, uh/UH ,/, any/DT ,/, any/DT after/GW affects/^NNS carrying/VBG over/IN into/IN the/DT workday/NN","Or, {F uh, } [ any, + any ] after affects carrying over into the workday /"
28,sd,B,"but/CC ,/, um/UH ,/, you/PRP know/VBP ,/, I/PRP do/VBP n't/RB ,/, I/PRP 'm/VBP not/RB particularly/RB concerned/JJ with/IN what/WP people/NNS do/VBP ,/, um/UH ,/, after/IN they/PRP leave/VBP for/IN the/DT day/NN especially/RB if/IN I/PRP do/VBP n't/RB ,/, if/IN I/PRP do/VBP n't/RB ,/, uh/UH ,/, see/VB any/DT results/NNS of/IN it/PRP the/DT next/JJ day/NN ./.","{C but, } {F um, } {D you know, } [ I don't, + I'm not ] particularly concerned with what people do, {F um, } after they leave for the day especially [ if I don't, + if I don't, ] {F uh, } see any results of it the next day. /"
29,aa,A,"Yeah/UH ,/,","Yeah, /"
