,col0,col1,col2,col3
0,Access config,Configuração de acesso,,
1,Access config imported successfully,Acesso à configuração importada com sucesso,,
2,Action to perform,,,
3,Anonymize,,,
4,Anonymize data,Anonimizar dados,,
5,App,Aplicativo,,
6,Application Config,Configuração da aplicação,,
7,Apps,Aplicativos,,
8,Apps installed successfully,Aplicativos instalados com sucesso,,
9,Apps management,Gestão de aplicações,,
10,Apps refreshed successfully,Aplicativos atualizados com sucesso,,
11,Are you sure wants to anonymize data ?.,Tens a certeza que queres anonimizar os dados?,,
12,Are you sure wants to import demo data for '${name}'?,Você tem certeza de que deseja importar dados de demonstração para '${nome}'?,,
13,Are you sure wants to install '${name}'?,Tens a certeza que queres instalar ${nome}?,,
14,Are you sure wants to uninstall '${name}'?,Tens a certeza que queres desinstalar o '${nome}'?,,
15,Backup,Backup,,
16,Backup Created,Backup criado,,
17,Backup File,Arquivo de backup,,
18,Backup On,Backup On,,
19,Backup Restore Error,Erro de Restauração de Backup,,
20,Backup Restored,Backup restaurado,,
21,Bad header row:,Linha de cabeçalho ruim:,,
22,Bad import file,Arquivo de importação ruim,,
23,Bulk install,Instalação a granel,,
24,CSV,CSV,,
25,CSV Backup Fetch Limit,Limite de Busca de Apoio CSV,,
26,Cancelled,,,
27,Code,Código,,
28,Comment,,,
29,Condition,Condição,,
30,ConditionParams,CondiçãoParams,,
31,Configure,Configurar,,
32,Create,Criar,,
33,Create Backup,Criar backup,,
34,Create file,Criar arquivo,,
35,Data,Dados,,
36,Data config line,Linha de configuração de dados,,
37,Delete,Eliminar,,
38,Demo data loaded,Dados de demonstração carregados,,
39,Demo data loaded successfully,Dados de demonstração carregados com sucesso,,
40,Depends on,Depende de,,
41,Description,Descrição do produto,,
42,Details,Detalhes,,
43,Draft,Rascunho,,
44,Error in import. Please check log.,"Erro na importação. Por favor, verifique o registo.",,
45,Error in import: %s. Please check the server log,"Erro na importação: %s. Por favor, verifique o log do servidor",,
46,Error in refreshing app,Erro na atualização do aplicativo,,
47,Excel,Excel,,
48,Export,Exportação,,
49,Export file,Exportar arquivo,,
50,Export format,Formato de exportação,,
51,Exports,,,
52,Field,Campo,,
53,Field permission,Permissão de campo,,
54,Fields to delete,Campos a eliminar,,
55,Fields to export,,,
56,File,Arquivo,,
57,Group Menu Assistant,Assistente de Menu de Grupo,,
58,Groups,Grupos,,
59,Groups not found: %s,Grupos não encontrados: %s,,
60,Hide If,Ocultar se,,
61,Image,Imagem,,
62,Import,Importação,,
63,Import ID,Importar ID,,
64,Import access config,Importar configuração de acesso,,
65,Import completed successfully,Importação concluída com sucesso,,
66,Import date,Data de importação,,
67,Import demo data,Importar dados de demonstração,,
68,Import permissions,Permissões de importação,,
69,Import roles,Importar funções,,
70,Imported from,Importado de,,
71,In Progress,Em andamento,,
72,Init data loaded,Dados de inicialização carregados,,
73,Install,Instalar,,
74,Install order,Instalar ordem,,
75,Installed,Instalado,,
76,Language,Idioma,,
77,Lines,Linhas,,
78,Log,Log,,
79,Menu not found: %s,Menu não encontrado: %s,,
80,Menus,Menus,,
81,Meta Permissions,,,
82,Model,Modelo,,
83,Model select,,,
84,Modules contains in the app,Módulos contém no aplicativo,,
85,Name,Nome e Sobrenome,,
86,No application language set. Please set 'application.locale' property.,"Nenhuma linguagem de aplicação definida. Por favor, defina a propriedade 'application.locale'.",,
87,No configuration required,Nenhuma configuração necessária,,
88,No header row found,Nenhuma linha de cabeçalho encontrada,,
89,No record found for: %s,Nenhum registo encontrado: %s,,
90,None,Nenhum,,
91,Object,Objeto,,
92,Object data anonymize,,,
93,Object data config,Configuração dos dados do objeto,,
94,Object data config export,,,
95,Object data config exports,,,
96,Object not found: %s,Objeto não encontrado: %s,,
97,Objects,Objetos,,
98,Path,Caminho,,
99,Path Field,,,
100,Permission Assistant,Assistente de permissão,,
101,Query,Consulta,,
102,Query/path,Consulta/caminho,,
103,Read,Ler,,
104,Readonly If,Apenas leitura Se,,
105,Record,Registrar,,
106,Record name,,,
107,Record select,,,
108,Refresh Apps,Atualizar aplicativos,,
109,Relative Date,,,
110,Replace,Substituir,,
111,Restore,Restaurar,,
112,Restore Backup,Restaurar backup,,
113,Restored On,Restaurado em,,
114,Return to draft status,Retornar ao status de esboço,,
115,Roles,Funções,,
116,Roles imported,Funções importadas,,
117,Roles imported successfully,Funções importadas com sucesso,,
118,Roles not found: %s,Funções não encontradas: %s,,
119,Select all,Selecionar todos,,
120,Sequence,Seqüência,,
121,Status,Estado,,
122,Tab name,Nome da guia,,
123,Technical maintenance,Manutenção técnica,,
124,This app is used by %s. Please deactivate them before continue.,"Este aplicativo é usado por %s. Por favor, desactive-os antes de continuar.",,
125,Title,Título,,
126,Type,Tipo de,,
127,Uninstall,Desinstalar,,
128,Update Import Id,,,
129,User,Usuário,,
130,User access config,Configuração de acesso do usuário,,
131,User field,Campo do usuário,,
132,Validated,,,
133,Write,Escrever,,
134,{{$fmt('name')}},{{$fmt('name')}},,
