,col0,col1,col2,col3,col4,col5,col6
0,CANADA,McGill University,MECH ENG 305-260A,MACHINE TOOL LAB,ENGR 1300,ENGR PROCESSES,1.0
1,CANADA,McGill University,MECH ENG 305-260A,MACHINE TOOL LAB,ENGR 1300,ENGR PROCESSES,1.0
2,CHINA,China Agricultural University,ENGR 4,METALS TECHNOLOGY PRAC A,ENGR 1300,ENGR PROCESSES,1.0
3,CHINA,China Univ. of Petroleum E.C.,ENGR 2,METALWORKING PRACTICE,ENGR 1300,ENGR PROCESSES,1.0
4,CHINA,Chongqing Univ. of Technology,ENGR 6,METALWORKING PRACTICE,ENGR 1300,ENGR PROCESSES,1.0
5,CHINA,East China Univ. of Sci & Tech,ENGR 02,ENGINEERING BASIC MANUF SKILL,"ENGR 1000
AND ENGR 1300","GENERAL ENGINEERING ELECTIVE
AND ENGR PROCESSES","1.0
AND 1.0"
6,CHINA,Nanjing Univ. of Sci. & Tech.,TECH 2,METAL TECH PRACTICE,ENGR 1300,ENGR PROCESSES,1.0
7,CHINA,Shanghai Maritime University,ENGR 10,METALWORKING PRACTICE,ENGR 1300,ENGR PROCESSES,2.0
8,CHINA,Univ. Elec Sci & Tech of China,ENGR 16,FUND ENGINEERING TRAINING,ENGR 1300,ENGR PROCESSES,1.0
9,CHINA,Wuhan University,ENGR 6,ELEC AND ELECTRON TECH BASIS C,ENGR 1300,ENGR PROCESSES,1.0
10,CHINA,Zhejiang Gongshang Univ.,ENGR 6,PRACT OF MECHANICAL WORKSHOP,ENGR 1300,ENGR PROCESSES,1.0
11,California,City Coll San Frnsco,ENGN 20L,INTRO TO CIRCUIT ANALY-LAB,ENGR 1300,ENGR PROCESSES,1.0
12,Connecticut,Housatonic Community College,MFT E102,MANUFACTURING PROCESS,ENGR 1300,ENGR PROCESSES,1.0
13,Florida,Embry-Riddle Aero Un,ME 208,MANUFACTURING LABORAORY,ENGR 1300,ENGR PROCESSES,1.0
14,INDIA,Sri Sai Ram Engr. College,GE 1103,ENGINEERING PRACTICE LAB,ENGR 1300,ENGR PROCESSES,1.0
15,New Jersey,Burlington Co Coll,EGR 103,FUNDAMENTALS OF ENGR DESIGN,ENGR 1300,ENGR PROCESSES,1.0
16,New Jersey,County Coll Morris,MEC 117,MECHANICAL PROTOTYPING,ENGR 1300,ENGR PROCESSES,1.0
17,New Jersey,Passaic Co Cmty Coll,ES 206,ENGINEERING MECHANICS I,ENGR 1300,ENGR PROCESSES,1.0
18,New Jersey,Stevens Inst of Technolgy,E 344,MATERIALS PROCESSING,ENGR 1300,ENGR PROCESSES,1.0
19,New York,Alfred University,EGR 111,INTRO TO ENGINEERING,"ENGR 1300
AND ENGR 1000","ENGR PROCESSES
AND GENERAL ENGINEERING ELECTIVE","1.0
AND 1.0"
