,col0,col1,col2,col3,col4,col5,col6,col7,col8,col9,col10,col11,col12,col13,col14,col15,col16,col17,col18,col19,col20,col21,col22,col23,col24,col25,col26,col27,col28
0,0,21900014,1610612737,ATL,Atlanta,1629631,De'Andre Hunter,F,,25:27,5.0,8.0,0.625,2.0,3.0,0.667,2.0,2.0,1.0,0.0,2.0,2.0,0.0,0.0,0.0,2.0,0.0,14.0,12.0
1,1,21900014,1610612737,ATL,Atlanta,1628381,John Collins,F,,30:14,8.0,15.0,0.5329999999999999,1.0,3.0,0.33299999999999996,1.0,1.0,1.0,3.0,7.0,10.0,1.0,2.0,1.0,0.0,2.0,18.0,4.0
2,2,21900014,1610612737,ATL,Atlanta,203458,Alex Len,C,,23:53,1.0,5.0,0.2,0.0,2.0,0.0,2.0,2.0,1.0,2.0,4.0,6.0,1.0,2.0,1.0,1.0,2.0,4.0,1.0
3,3,21900014,1610612737,ATL,Atlanta,1629629,Cam Reddish,G,,21:27,0.0,6.0,0.0,0.0,5.0,0.0,1.0,2.0,0.5,1.0,6.0,7.0,1.0,1.0,0.0,0.0,1.0,1.0,11.0
4,4,21900014,1610612737,ATL,Atlanta,1629027,Trae Young,G,,37:15,11.0,21.0,0.524,6.0,10.0,0.6,10.0,12.0,0.833,0.0,7.0,7.0,9.0,1.0,0.0,6.0,0.0,38.0,17.0
5,5,21900014,1610612737,ATL,Atlanta,203953,Jabari Parker,,,22:41,8.0,11.0,0.727,1.0,2.0,0.5,1.0,1.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,18.0,10.0
6,6,21900014,1610612737,ATL,Atlanta,1713,Vince Carter,,,10:14,0.0,2.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,1.0,0.0,10.0
7,7,21900014,1610612737,ATL,Atlanta,1628981,Bruno Fernando,,,14:26,3.0,6.0,0.5,1.0,1.0,1.0,0.0,0.0,0.0,1.0,2.0,3.0,2.0,0.0,0.0,0.0,2.0,7.0,7.0
8,8,21900014,1610612737,ATL,Atlanta,1627761,DeAndre' Bembry,,,23:31,4.0,5.0,0.8,0.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,2.0,3.0,2.0,0.0,0.0,1.0,8.0,11.0
9,9,21900014,1610612737,ATL,Atlanta,202323,Evan Turner,,,16:48,4.0,4.0,1.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,4.0,1.0,0.0,0.0,0.0,9.0,7.0
10,10,21900014,1610612737,ATL,Atlanta,1628989,Kevin Huerter,,,14:04,0.0,3.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,4.0,4.0,5.0,0.0,0.0,3.0,5.0,0.0,-5.0
