,col0,col1,col2,col3,col4,col5,col6,col7,col8,col9,col10,col11
0,ak,ag,ag,ag,ag,ag,ag,ag,ag,ag,ag,ag
1,Ak,Ag,Ag,Ag,Ag,Ag,Ag,Ag,Ag,Ag,Ag,Ag
2,ik,ig,ig,ig,ig,ig,ig,ig,ig,ig,ig,ig
3,Ik,Ig,Ig,Ig,Ig,Ig,Ig,Ig,Ig,Ig,Ig,Ig
4,uk,ug,ug,ug,ug,ug,ug,ug,ug,ug,ug,ug
5,Uk,Ug,Ug,Ug,Ug,Ug,Ug,Ug,Ug,Ug,Ug,Ug
6,ek,eg,eg,eg,eg,eg,eg,eg,eg,eg,eg,eg
7,ok,og,og,og,og,og,og,og,og,og,og,og
8,Ek,Eg,Eg,Eg,Eg,Eg,Eg,Eg,Eg,Eg,Eg,Eg
9,Ok,Og,Og,Og,Og,Og,Og,Og,Og,Og,Og,Og
10,aw,aq,aq,aq,aq,aq,aq,aq,aq,aq,aq,aq
11,Aw,Aq,Aq,Aq,Aq,Aq,Aq,Aq,Aq,Aq,Aq,Aq
12,iw,iq,iq,iq,iq,iq,iq,iq,iq,iq,iq,iq
13,Iw,Iq,Iq,Iq,Iq,Iq,Iq,Iq,Iq,Iq,Iq,Iq
14,uw,uq,uq,uq,uq,uq,uq,uq,uq,uq,uq,uq
15,Uw,Uq,Uq,Uq,Uq,Uq,Uq,Uq,Uq,Uq,Uq,Uq
16,ew,eq,eq,eq,eq,eq,eq,eq,eq,eq,eq,eq
17,ow,oq,oq,oq,oq,oq,oq,oq,oq,oq,oq,oq
18,Ew,Eq,Eq,Eq,Eq,Eq,Eq,Eq,Eq,Eq,Eq,Eq
19,Ow,Oq,Oq,Oq,Oq,Oq,Oq,Oq,Oq,Oq,Oq,Oq
20,at,ad,ad,ad,ad,ad,ad,ad,ad,ad,ad,ad
21,At,Ad,Ad,Ad,Ad,Ad,Ad,Ad,Ad,Ad,Ad,Ad
22,it,id,id,id,id,id,id,id,id,id,id,id
23,It,Id,Id,Id,Id,Id,Id,Id,Id,Id,Id,Id
24,ut,ud,ud,ud,ud,ud,ud,ud,ud,ud,ud,ud
25,Ut,Ud,Ud,Ud,Ud,Ud,Ud,Ud,Ud,Ud,Ud,Ud
26,et,ed,ed,ed,ed,ed,ed,ed,ed,ed,ed,ed
27,ot,od,od,od,od,od,od,od,od,od,od,od
28,Et,Ed,Ed,Ed,Ed,Ed,Ed,Ed,Ed,Ed,Ed,Ed
29,Ot,Od,Od,Od,Od,Od,Od,Od,Od,Od,Od,Od
30,ap,ab,ab,ab,ab,ab,ab,ab,ab,ab,ab,ab
31,Ap,Ab,Ab,Ab,Ab,Ab,Ab,Ab,Ab,Ab,Ab,Ab
