,col0,col1,col2,col3,col4,col5,col6
0,10143625,23251162,1,1,,1.0,
1,10143625,23252298,1,1,1.0,1.0,
2,10143625,23262072,1,1,1.0,,
3,10143625,23251162,2,2,,2.0,
4,10143625,23252298,2,2,2.0,2.0,
5,10143625,23262072,2,2,2.0,,
6,10143625,23251162,1,3,,3.0,
7,10143625,23252298,1,3,3.0,3.0,
8,10143625,23262072,1,3,3.0,,
9,10143625,23251162,2,4,,4.0,
10,10143625,23252298,2,4,4.0,4.0,
11,10143625,23262072,2,4,4.0,,
12,10143625,23251162,1,5,,5.0,
13,10143625,23252298,1,5,5.0,5.0,
14,10143625,23262072,1,5,5.0,,
15,10143625,23251162,2,6,,6.0,
16,10143625,23252298,2,6,6.0,6.0,
17,10143625,23262072,2,6,6.0,,
18,10143625,23251162,1,7,,7.0,
19,10143625,23252298,1,7,7.0,7.0,
20,10143625,23262072,1,7,7.0,,
21,10143625,23251162,2,8,,8.0,
22,10143625,23252298,2,8,8.0,8.0,
23,10143625,23262072,2,8,8.0,,
24,10143625,23251162,1,9,,9.0,
25,10143625,23252298,1,9,9.0,9.0,
26,10143625,23262072,1,9,9.0,,
27,10143625,23251162,2,10,,10.0,
28,10143625,23252298,2,10,10.0,10.0,
29,10143625,23262072,2,10,10.0,,
30,10143625,23251162,1,11,,11.0,
31,10143625,23252298,1,11,11.0,11.0,
32,10143625,23262072,1,11,11.0,,
