,col0,col1,col2,col3,col4
0,1165.367,1165.745,Hand,FailOnTouchObstacleLong-1,RightGate
1,1165.411,1165.989,HandToWrist,FailOnTouchObstacleLong-1,RightGate
2,1165.489,1165.978,Hand,FailOnTouchObstacleShort,RightGate
3,1165.556,1166.111,HandToWrist,FailOnTouchObstacleShort,RightGate
4,1165.578,,WristToElbow,FailOnTouchObstacleLong-1,RightGate
5,1165.705,1166.443,Hand,FailOnTouchObstacleMed,PickedUp
6,1165.944,1166.322,WristToElbow,FailOnTouchObstacleShort,RightGate
7,1166.211,1166.656,Hand,FailOnTouchObstacleLong,RightGate
8,1166.278,1166.589,HandToWrist,FailOnTouchObstacleLong,RightGate
9,1166.533,,WristToElbow,FailOnTouchObstacleShort,RightGate
10,1166.889,,Hand,FailOnTouchObstacleLong,RightGate
11,1166.989,,HandToWrist,FailOnTouchObstacleLong,RightGate
12,1167.169,,Hand,FailOnTouchObstacleMed-1,PickedUp
13,1167.245,,FailOnTouchObstacleMed-1,Target,Pushed
