,col0,col1,col2,col3,col4,col5,col6,col7,col8,col9
0,43,9,6,4.0,7.0,,2.7125,2.7125,2,120
1,68,6,0,4.0,7.0,,2.5333333330000003,2.5333333330000003,2,150
2,134,8,6,7.0,7.0,10.0,3.2675,3.576923077,3,90
3,153,10,7,7.0,7.0,10.0,3.8125,3.8125,3,120
4,177,10,10,10.0,10.0,,3.764705882,3.764705882,3,60
5,192,10,9,9.0,7.0,,3.670731707,3.375,3,60
6,229,10,10,10.0,10.0,,4.0,4.0,3,60
7,290,4,6,5.0,5.0,,2.6076923080000003,2.6076923080000003,3,60
8,291,5,4,7.0,7.0,,3.214285714,3.214285714,3,120
9,330,10,10,10.0,10.0,,4.0,4.0,3,80
10,342,6,4,4.0,7.0,10.0,3.56875,3.56875,3,90
11,347,9,6,3.0,4.0,,2.08,2.08,2,120
12,348,10,7,5.0,7.0,,2.8,2.8,3,90
13,381,6,5,7.0,10.0,,2.526666667,2.526666667,2,90
14,437,9,10,10.0,10.0,,2.320689655,2.442857143,2,80
15,515,7,10,7.0,7.0,,2.733333333,2.733333333,2,90
16,528,8,4,3.0,0.0,4.0,1.8,1.8,2,120
17,554,5,7,10.0,10.0,,3.46875,3.142857143,3,80
18,585,7,6,5.0,10.0,,3.506666667,3.506666667,3,90
19,619,10,10,7.0,7.0,,3.8,3.8,3,90
20,645,10,10,10.0,,,3.6,3.75,3,50
21,679,4,4,7.0,7.0,,2.666666667,2.666666667,3,60
22,711,3,1,7.0,,,3.066666667,3.066666667,3,90
23,713,5,7,7.0,7.0,,3.3125,3.3125,3,90
24,780,9,4,,10.0,,3.4,3.4,3,30
25,825,7,5,4.0,7.0,,2.85625,2.85625,3,60
26,890,7,2,6.0,,,3.2,3.2,3,90
27,1078,8,7,7.0,10.0,10.0,3.571428571,3.571428571,3,120
28,1103,10,10,10.0,10.0,,3.914754098,3.907692308,3,80
29,1183,7,1,5.0,10.0,,2.474418605,2.76,2,90
30,1196,6,2,4.0,7.0,10.0,3.450980392,3.833333333,3,90
31,1199,6,4,4.0,7.0,,2.4375,2.4375,2,90
32,1345,10,10,10.0,10.0,10.0,3.580645161,3.3529411760000003,3,110
33,1575,5,7,,,,2.850980392,2.925,3,0
34,1579,8,0,4.0,10.0,,2.666666667,2.666666667,2,120
35,1614,7,7,7.0,10.0,,3.466666667,3.466666667,3,90
36,1775,7,4,4.0,7.0,,3.0,3.0,3,90
37,1825,6,3,5.0,,,1.38,1.38,2,50
38,1857,6,6,6.0,7.0,,2.9125,2.9125,3,60
39,1904,9,4,4.0,7.0,,2.882352941,2.882352941,3,120
40,1930,9,6,7.0,7.0,,3.1,3.1,3,90
41,1999,10,10,10.0,,,3.406666667,3.406666667,3,60
42,2057,10,10,10.0,7.0,,3.34,3.34,3,60
43,2074,9,6,4.0,8.0,10.0,1.653846154,1.653846154,2,90
44,2097,9,6,4.0,8.0,,3.08,3.08,3,90
45,2125,6,7,4.0,4.0,10.0,3.60625,3.60625,3,90
46,2145,5,0,0.0,4.0,,1.7416666669999998,1.7416666669999998,1,150
47,2208,7,7,7.0,4.0,,2.253333333,2.253333333,2,60
48,2210,10,10,10.0,10.0,,3.8125,3.8125,3,90
49,2270,1,3,7.0,7.0,,2.9933333330000003,2.9933333330000003,3,60
50,2307,8,7,7.0,,,2.74,2.0,2,90
51,2358,3,3,6.0,4.0,,2.18,2.18,2,120
52,2394,9,9,10.0,7.0,,3.0625,3.0625,3,90
53,2405,0,4,8.0,7.0,10.0,2.516129032,3.2,2,110
54,2433,7,4,7.0,10.0,,3.066666667,3.066666667,3,90
55,2448,7,7,4.0,7.0,9.0,3.28125,3.28125,3,120
56,2450,0,7,7.0,10.0,,2.866666667,2.866666667,2,120
57,2474,10,10,10.0,,,3.428571429,3.428571429,3,90
58,2545,7,6,3.0,1.0,,2.635526316,1.864285714,2,90
59,2551,7,8,9.0,10.0,,2.566666667,2.566666667,2,60
60,2669,10,10,9.0,7.0,,3.5764705880000003,3.5764705880000003,3,90
61,2676,9,7,9.0,7.0,,2.885,2.633333333,3,80
62,2694,7,4,7.0,7.0,,3.375,3.375,3,120
63,2736,7,7,7.0,,,3.1461538460000003,3.1461538460000003,3,60
64,2738,10,6,,9.0,,2.638372093,2.671428571,3,50
65,2748,6,0,7.0,10.0,,2.509090909,2.5,2,90
66,2760,7,4,4.0,7.0,,1.5,1.5,1,60
67,2780,8,3,5.0,7.0,7.0,2.735294118,2.647058824,2,80
68,2797,0,4,10.0,7.0,,2.933333333,2.933333333,2,90
69,2828,8,7,10.0,7.0,,3.8,3.8,3,90
70,2907,3,4,4.0,0.0,,2.518181818,2.518181818,2,150
71,2937,8,7,,,,3.236363636,3.470588235,3,30
72,2966,8,7,9.0,10.0,,3.673333333,3.673333333,3,90
73,2971,10,10,7.0,0.0,,0.5625,0.5625,1,90
74,2979,10,10,10.0,,,4.0,4.0,3,60
75,2993,9,7,8.0,10.0,,3.642857143,3.642857143,3,60
76,3014,7,7,8.0,7.0,,2.673333333,2.673333333,2,60
77,3092,0,0,0.0,,,2.833333333,2.833333333,2,90
78,3157,10,10,10.0,10.0,,3.5333333330000003,3.5333333330000003,3,90
79,3229,10,10,10.0,10.0,,4.0,4.0,3,90
80,3239,10,9,,,,3.389655172,3.325,3,30
81,3297,9,4,8.0,1.0,4.0,2.822727273,2.469230769,2,120
82,3334,7,4,9.0,10.0,,3.483870968,3.625,3,80
83,3337,6,6,4.0,8.0,,3.26875,3.26875,3,90
84,3366,10,7,9.0,4.0,,1.08,0.5,1,110
