,col0,col1,col2,col3,col4
0,474.9451,475.9837,Hand,FailOnTouchObstacleShort,PickedUp
1,475.4445,475.4667,Hand,FailOnTouchObstacleShort,RightGate
2,475.5111,476.1111,Hand,FailOnTouchObstacleShort,RightGate
3,476.8667,477.0778,Hand,FailOnTouchObstacleMed,LeftGate
4,476.8667,477.0778,Hand,FailOnTouchObstacleLong,RightGate
5,476.9,477.1333,Hand,FailOnTouchObstacleShort,RightGate
6,476.9111,477.2,HandToWrist,FailOnTouchObstacleMed,LeftGate
7,476.9111,477.2,HandToWrist,FailOnTouchObstacleLong,RightGate
8,476.9333,477.6333,HandToWrist,FailOnTouchObstacleShort,RightGate
9,477.0334,480.9333,WristToElbow,FailOnTouchObstacleMed,LeftGate
10,477.0334,480.9333,WristToElbow,FailOnTouchObstacleLong,RightGate
11,477.1,480.8667,WristToElbow,FailOnTouchObstacleShort,RightGate
12,477.5259,478.5084,Hand,FailOnTouchObstacleLong-1,PickedUp
13,477.9,479.0,HandToWrist,FailOnTouchObstacleShort,RightGate
14,478.2444,478.6556,Hand,FailOnTouchObstacleShort-1,RightGate
15,478.2444,478.6556,Hand,FailOnTouchObstacleMed-1,RightGate
16,478.3,478.3333,Hand,FailOnTouchObstacleLong-1,LeftGate
17,478.3667,478.3889,Hand,FailOnTouchObstacleLong-1,LeftGate
18,478.5778,478.6222,Hand,FailOnTouchObstacleLong-1,LeftGate
19,479.1333,479.5111,Hand,FailOnTouchObstacleShort-1,RightGate
20,479.1333,479.5111,Hand,FailOnTouchObstacleMed-1,RightGate
21,479.2,479.8222,HandToWrist,FailOnTouchObstacleShort-1,RightGate
22,479.2,479.8222,HandToWrist,FailOnTouchObstacleMed-1,RightGate
23,479.2444,480.3445,Hand,FailOnTouchObstacleLong-1,LeftGate
24,479.3222,480.3,HandToWrist,FailOnTouchObstacleLong-1,LeftGate
25,479.4111,480.2667,WristToElbow,FailOnTouchObstacleShort-1,RightGate
26,479.4111,480.2667,WristToElbow,FailOnTouchObstacleMed-1,RightGate
27,479.6111,480.1333,WristToElbow,FailOnTouchObstacleLong-1,LeftGate
28,479.9159,,Hand,Target,PickedUp
29,479.9556,480.4333,HandToWrist,FailOnTouchObstacleMed-1,RightGate
30,479.9556,480.4333,HandToWrist,FailOnTouchObstacleShort-1,RightGate
31,480.1778,480.4556,Hand,FailOnTouchObstacleMed-1,RightGate
32,480.1778,480.4556,Hand,FailOnTouchObstacleShort-1,RightGate
33,480.6667,481.0111,HandToWrist,FailOnTouchObstacleShort,RightGate
34,480.7111,481.0556,HandToWrist,FailOnTouchObstacleLong,RightGate
35,480.7111,481.0556,HandToWrist,FailOnTouchObstacleMed,LeftGate
36,480.7889,481.0445,Hand,FailOnTouchObstacleShort,RightGate
37,480.8111,481.0778,Hand,FailOnTouchObstacleLong,RightGate
38,480.8111,481.0778,Hand,FailOnTouchObstacleMed,LeftGate
