,col0,col1,col2,col3
0,T1205.001,Port Knocking,Defense Evasion|Persistence|Command And Control,no
1,T1564.006,Run Virtual Instance,Defense Evasion,no
2,T1564.005,Hidden File System,Defense Evasion,Strider|Equation
3,T1556.003,Pluggable Authentication Modules,Credential Access|Defense Evasion,no
4,T1574.012,COR_PROFILER,Persistence|Privilege Escalation|Defense Evasion,Blue Mockingbird
5,T1562.007,Disable or Modify Cloud Firewall,Defense Evasion,no
6,T1098.004,SSH Authorized Keys,Persistence,no
7,T1480.001,Environmental Keying,Defense Evasion,APT41|Equation
8,T1059.007,JavaScript/JScript,Execution,APT32|FIN7|Cobalt Group|Molerats|TA505|Silence|Leafminer
9,T1578.004,Revert Cloud Instance,Defense Evasion,no
10,T1578.003,Delete Cloud Instance,Defense Evasion,no
11,T1578.001,Create Snapshot,Defense Evasion,no
12,T1578.002,Create Cloud Instance,Defense Evasion,no
13,T1127.001,MSBuild,Defense Evasion,Frankenstein
14,T1027.005,Indicator Removal from Tools,Defense Evasion,Soft Cell|TEMP.Veles|Patchwork|APT3|Turla|OilRig|Deep Panda
15,T1562.006,Indicator Blocking,Defense Evasion,no
16,T1573.002,Asymmetric Cryptography,Command And Control,Tropic Trooper|Cobalt Group|OilRig|FIN8|FIN6
17,T1573.001,Symmetric Cryptography,Command And Control,Frankenstein|Inception|APT28|APT33|BRONZE BUTLER|Stealth Falcon|Lazarus Group
18,T1573,Encrypted Channel,Command And Control,Tropic Trooper
19,T1027.004,Compile After Delivery,Defense Evasion,Gamaredon Group|Rocke|MuddyWater
20,T1574.004,Dylib Hijacking,Persistence|Privilege Escalation|Defense Evasion,no
21,T1546.015,Component Object Model Hijacking,Privilege Escalation|Persistence,APT28
22,T1071.004,DNS,Command And Control,APT39|Tropic Trooper|OilRig|Ke3chang|Cobalt Group|APT18|APT41|FIN7
23,T1071.003,Mail Protocols,Command And Control,APT32|SilverTerrier|APT28
24,T1071.002,File Transfer Protocols,Command And Control,APT41|SilverTerrier|Machete|Honeybee
25,T1071.001,Web Protocols,Command And Control,Sandworm Team|TA505|Rocke|APT39|Tropic Trooper|MuddyWater|Wizard Spider|Inception|APT41|SilverTerrier|Machete|APT28|WIRTE|APT33|FIN4|Night Dragon|APT18|APT38|Cobalt Group|APT19|Threat Group-3390|Rancor|Orangeworm|APT37|Ke3chang|Dark Caracal|Turla|Lazarus Group|BRONZE BUTLER|APT32|OilRig|Magic Hound|Gamaredon Group|Stealth Falcon
26,T1572,Protocol Tunneling,Command And Control,OilRig|Cobalt Group|FIN6
27,T1048.003,Exfiltration Over Unencrypted/Obfuscated Non-C2 Protocol,Exfiltration,APT32|APT33|Thrip|FIN8|OilRig|Lazarus Group
28,T1048.002,Exfiltration Over Asymmetric Encrypted Non-C2 Protocol,Exfiltration,no
29,T1048.001,Exfiltration Over Symmetric Encrypted Non-C2 Protocol,Exfiltration,no
30,T1001.003,Protocol Impersonation,Command And Control,Lazarus Group
31,T1001.002,Steganography,Command And Control,Axiom
32,T1001.001,Junk Data,Command And Control,APT28
33,T1132.002,Non-Standard Encoding,Command And Control,no
34,T1132.001,Standard Encoding,Command And Control,Sandworm Team|Tropic Trooper|MuddyWater|APT33|APT19|Lazarus Group|BRONZE BUTLER|Patchwork
35,T1090.004,Domain Fronting,Command And Control,APT29
36,T1090.003,Multi-hop Proxy,Command And Control,Inception|FIN4|APT29
37,T1090.002,External Proxy,Command And Control,APT39|Silence|Soft Cell|MuddyWater|APT3|FIN5|Lazarus Group|menuPass|APT28
38,T1090.001,Internal Proxy,Command And Control,APT39|Strider
39,T1102.003,One-Way Communication,Command And Control,Leviathan
40,T1102.002,Bidirectional Communication,Command And Control,Sandworm Team|APT39|APT12|Turla|FIN7|APT37|Magic Hound|Carbanak
41,T1102.001,Dead Drop Resolver,Command And Control,Rocke|APT41|BRONZE BUTLER|RTM|Patchwork
42,T1571,Non-Standard Port,Command And Control,Sandworm Team|Rocke|DarkVishnya|Silence|APT-C-36|Magic Hound|APT33|APT32|TEMP.Veles|Lazarus Group|FIN7
43,T1074.002,Remote Data Staging,Collection,Threat Group-3390|menuPass|FIN6|Night Dragon|FIN8
44,T1074.001,Local Data Staging,Collection,Machete|Soft Cell|TEMP.Veles|Patchwork|Dragonfly 2.0|Honeybee|Leviathan|APT3|FIN5|menuPass|FIN6|Lazarus Group|Threat Group-3390|APT28
45,T1078.004,Cloud Accounts,Defense Evasion|Persistence|Privilege Escalation|Initial Access,APT33
46,T1564.004,NTFS File Attributes,Defense Evasion,APT32
47,T1564.003,Hidden Window,Defense Evasion,Gorgon Group|Deep Panda|DarkHydrus|CopyKittens|APT19|APT32|APT28|APT3|Magic Hound
48,T1078.003,Local Accounts,Defense Evasion|Persistence|Privilege Escalation|Initial Access,Tropic Trooper|FIN10|Stolen Pencil|APT32
49,T1078.002,Domain Accounts,Defense Evasion|Persistence|Privilege Escalation|Initial Access,TA505|APT3|Threat Group-1314
