,col0,col1,col2,col3,col4,col5,col6,col7,col8,col9
0,Res_2112,3.92331,48.09225,CR/LWAL+CDN/H:2,0.975,275773.68,Auxon,10018,RES,RURAL
1,Res_12729,2.03914,43.268809999999995,W/LWAL+CDN/H:2,12.25,4427306.8,Pexiora,11281,RES,RURAL
2,Res_26362,-0.9572700000000001,49.33554,MUR+CL/LWAL+CDN/H:2,5.9,2132335.52,Longueville,14378,RES,RURAL
3,Res_28169,5.72445,45.81306,CR/LFINF+CDM/HBET:3-5,0.016666667,18856.32,Vongnes,1456,RES,RURAL
4,Res_28800,-0.11590999999999999,49.15819000000001,CR/LFINF+CDM/H:2,3.55,1450365.28,Saint-Ouen-du-Mesnil-Oger,14637,RES,RURAL
5,Res_35769,0.57681,45.84868,CR/LWAL+CDM/H:2,6.1,2492176.96,Genouillac,16149,RES,RURAL
6,Res_38773,-0.05921000000000001,45.64308,CR/LWAL+CDM/H:2,4.4,1797635.84,Vibrac,16402,RES,RURAL
7,Res_41352,-0.63157,45.540459999999996,CR/LWAL+CDM/H:2,0.6,245132.16,Givrezac,17178,RES,RURAL
8,Res_46848,2.40178,46.63317,MUR+CL/LWAL+CDN/H:1,67.3,12161540.72,Loye-sur-Arnon,18130,RES,RURAL
9,Res_68038,-1.9971599999999998,48.345659999999995,CR/LFINF+CDM/H:1,13.9,2839447.52,Le Quiou,22263,RES,RURAL
10,Res_88757,6.46698,47.01815,MUR+ST/LWAL+CDN/H:1,7.1,1283015.44,La Longeville,25347,RES,RURAL
11,Res_102059,0.6882699999999999,49.36924000000001,CR/LFINF+CDM/H:2,4.0,1634214.4,Ã?turqueraye,27228,RES,RURAL
12,Res_114491,-4.04208,48.6564,MUR+CL/LWAL+CDN/H:2,0.7,197991.36,Plougoulm,29192,RES,RURAL
13,Res_117890,9.30874,42.32719,MUR+CL/LWAL+CDN/H:2,2.9,1048097.12,Bustanico,2B045,RES,RURAL
14,Res_118177,9.151539999999999,42.26185,W/LWAL+CDN/H:1,18.2,3288856.48,Casanova,2B074,RES,RURAL
15,Res_141174,0.01072,43.637229999999995,CR/LFINF+CDM/H:2,3.05,1246088.48,Tasque,32440,RES,RURAL
16,Res_182979,1.1072600000000001,47.86841,MUR+CL/LWAL+CDN/H:2,3.1,1120379.68,Lisle,41116,RES,RURAL
17,Res_186316,4.28794,46.13443,CR/LWAL+CDM/H:2,0.15,56568.96,Arcinges,42007,RES,RURAL
18,Res_199500,2.66367,47.862359999999995,CR/LFINF+CDM/H:1,136.6,27904210.88,Varennes-Changy,45332,RES,RURAL
19,Res_213710,-0.5425399999999999,47.579879999999996,CR/LFINF+CDM/H:2,24.5,10009563.2,Soulaire-et-Bourg,49339,RES,RURAL
20,Res_214502,-1.7760900000000002,49.52849000000001,CR/LFINF+CDM/H:2,11.35,4637083.36,BenoÃÂ®tville,50045,RES,RURAL
21,Res_217764,-1.4093799999999999,48.4814,W/LWAL+CDN/H:2,9.2,3324997.76,Montanel,50337,RES,RURAL
22,Res_223228,4.3423300000000005,48.83349000000001,CR/LFINF+CDM/H:1,8.0,1634214.4,Cernon,51106,RES,RURAL
23,Res_243016,6.49524,48.4352,CR/LWAL+CDM/H:2,0.075,28284.48,Giriviller,54228,RES,RURAL
24,Res_250544,5.46823,48.86618,CR/LFINF+CDM/H:2,2.65,1082667.04,Koeur-la-Grande,55263,RES,RURAL
25,Res_254396,-2.9034,47.6147,CR/LWAL+CDM/H:2,111.7,45635437.12,Baden,56008,RES,RURAL
26,Res_256119,-2.19297,47.87838,W/LWAL+CDM/H:1,19.8,4044680.64,Monteneuf,56136,RES,RURAL
27,Res_256623,-2.0666,47.83538,CR/LWAL+CDN/HBET:3-5,0.125,106066.8,Quelneuc,56183,RES,RURAL
28,Res_257935,6.05729,48.99349,MUR+ST/LWAL+CDN/H:1,7.3,1319156.72,Arry,57030,RES,RURAL
29,Res_272009,3.64477,50.07089000000001,W/LWAL+CDN/H:2,14.75,5330838.8,Catillon-sur-Sambre,59137,RES,RURAL
30,Res_272954,3.94213,50.32719,CR/LFINF+CDM/H:1,41.8,8538770.24,Gognies-ChaussÃÂ©e,59264,RES,RURAL
31,Res_273564,3.27075,50.29225,MUR+CL/LWAL+CDN/H:2,0.4,113137.92,Marquette-en-Ostrevant,59387,RES,RURAL
32,Res_289357,0.5077699999999999,48.72415,W/LWAL+CDM/H:2,1.55,633258.08,Saint-Hilaire-sur-Risle,61406,RES,RURAL
33,Res_296637,2.12684,50.73404,MUR+CL/LWAL+CDN/H:2,3.1,1120379.68,Quelmes,62674,RES,RURAL
34,Res_316728,0.41113999999999995,42.96013,CR/LWAL+CDM/H:1,17.2,3513560.96,Sarrancolin,65408,RES,RURAL
35,Res_317259,0.25042,42.753859999999996,CR/LFINF+CDM/H:1,6.6,1348226.88,TramezaÃÂ¯gues,65450,RES,RURAL
36,Res_327396,7.29063,47.6278,CR/LWAL+CDM/HBET:3-5,0.058333333,65997.12,Emlingen,68080,RES,RURAL
37,Res_337465,4.29805,44.33765,W/LWAL+CDN/H:1,22.5,4065894.0,Bessas,7033,RES,RURAL
38,Res_348823,5.07126,46.9117,CR/LFINF+CDM/H:1,5.0,1021384.0,SauniÃÂ¨res,71504,RES,RURAL
39,Res_368077,0.74835,49.730270000000004,CR/LWAL+CDM/H:2,2.45,1000956.32,Routes,76542,RES,RURAL
40,Res_371817,3.0711,48.59444000000001,CR/LWAL+CDM/HBET:3-5,0.11666666699999999,131994.24,La Croix-en-Brie,77147,RES,RURAL
41,Res_378807,-0.69591,46.86354,MUR+ST/LWAL+CDN/H:1,18.2,3288856.48,Combrand,79096,RES,RURAL
42,Res_383188,4.30494,49.84451,MUR+ST/LWAL+CDN/H:1,5.8,1048097.12,Antheny,8015,RES,RURAL
43,Res_400783,5.80189,43.57685,MUR+ST/LWAL+CDN/H:1,3.4,614401.76,Artigues,83006,RES,RURAL
44,Res_406256,-0.80748,46.400890000000004,CR/LWAL+CDM/HBET:3-5,0.291666667,329985.6,Doix lÃÂ¨s Fontaines,85080,RES,RURAL
45,Res_408493,-1.0991,47.001870000000004,CR/LWAL+CDM/H:1,79.3,16199150.24,Tiffauges,85293,RES,RURAL
46,Res_413560,1.17272,46.22858,MUR+ST/LWAL+CDN/H:1,67.2,12143470.08,Magnac-Laval,87089,RES,RURAL
47,Res_433056,1.9366900000000002,42.658390000000004,MUR+CL/LWAL+CDN/H:1,39.1,7065620.24,Orlu,9220,RES,RURAL
48,Res_433717,1.54787,43.08789,MUR+ST/LWAL+CDN/H:1,4.9,885461.36,Saint-Victor-Rouzaud,9276,RES,RURAL
