,col0,col1,col2,col3,col4,col5,col6,col7,col8,col9,col10,col11,col12,col13,col14,col15,col16,col17,col18,col19
0,df2e0f94-8fd1-11eb-924d-9cd76263cbd0,genus,Amblogyna,,,Raf.,Q364857,1836,,Fl. Tellur. 3: 42. 1836[1837].,,,,,,,wfo-4000001502,7761668,,
1,9b4d5e24-8fcc-11eb-924d-9cd76263cbd0,species,fimbriata,Amblogyna,,(Torr.) A.Gray,"Q1346660,Q347356",1861,,Proc. Amer. Acad. Arts 5: 167 1861,,,,c7ed3472-8fd1-11eb-924d-9cd76263cbd0,,59738-1,wfo-0000530680,3674959,,
2,9b4d795e-8fcc-11eb-924d-9cd76263cbd0,species,polygonoides,Amblogyna,,(L.) Raf.,"Q1043,Q364857",1837,,Fl. Tellur. 3: 42 1837,,,,,,59739-1,wfo-0000530681,8237634,,
3,9b4d96aa-8fcc-11eb-924d-9cd76263cbd0,species,scariosa,Amblogyna,,(Benth.) A.Gray,"Q731808,Q347356",1861,,Proc. Amer. Acad. Arts 5: 169 1861,,,,ee13e1c4-8fcb-11eb-924d-9cd76263cbd0,,,wfo-0000530682,8097367,,
4,9b4db4b4-8fcc-11eb-924d-9cd76263cbd0,species,squarrulosa,Amblogyna,,A.Gray,Q347356,1861,,Proc. Amer. Acad. Arts 5: 169 1861,,,,,,59742-1,wfo-0000530683,3674934,,
5,9b4dd160-8fcc-11eb-924d-9cd76263cbd0,species,torreyi,Amblogyna,,A.Gray,Q347356,1861,,Proc. Amer. Acad. Arts 5: 167 1861,,,,,,327380-2,wfo-0000530684,3674926,,
6,9b4def38-8fcc-11eb-924d-9cd76263cbd0,species,urceolata,Amblogyna,,(Benth.) Andersson,"Q731808,Q1348854",1857,,"Freg. Eugenies Resa, Bot. 59 1857",,,,,,59745-1,wfo-0000530685,7323587,,
7,9b4e0bc6-8fcc-11eb-924d-9cd76263cbd0,species,urceolata,Amblogyna,,(Benth.) A.Gray,"Q731808,Q347356",1861,,Proc. Amer. Acad. Arts 5: 168 1861,,,,,,,wfo-0000530686,8230778,,
8,9b4e2854-8fcc-11eb-924d-9cd76263cbd0,variety,obcordata,Amblogyna,urceolata,A.Gray,Q347356,1861,,Proc. Amer. Acad. Arts 5: 168 1861,,,,,,10962-2,wfo-0000530687,3674909,,
9,2018669e-8fcd-11eb-924d-9cd76263cbd0,species,albiflora,Amblostima,,Raf.,Q364857,1837,,Fl. Tellur. 2: 26 1837,,,,,,272049-2,wfo-0000759912,2771083,,
10,2018850c-8fcd-11eb-924d-9cd76263cbd0,species,crocea,Amblostima,,(Michx.) Raf.,"Q521848,Q364857",1837,,Fl. Tellur. 2: 26 1837,,,,,,530068-1,wfo-0000759913,2771088,,
11,2018a168-8fcd-11eb-924d-9cd76263cbd0,species,latifolia,Amblostima,,Raf. ex S.Watson,"Q364857,Q960820",1879,,Proc. Amer. Acad. Arts 14: 242 1879,,,,,,530069-1,wfo-0000759914,2771084,,
