,col0,col1,col2
0,1,InsertUnaryOp,org.jfree.chart.urls.CustomCategoryURLGenerator.getURLCount(I)I:85 - InsertUnaryOp Negation of list
1,2,InsertUnaryOp,org.jfree.chart.urls.CustomCategoryURLGenerator.getURLCount(I)I:85 - InsertUnaryOp IINC 1 list
2,3,InsertUnaryOp,org.jfree.chart.urls.CustomCategoryURLGenerator.getURLCount(I)I:85 - InsertUnaryOp IINC -1 list
3,4,ReplaceComparisonOperator,org.jfree.chart.urls.CustomCategoryURLGenerator.getURLCount(I)I:86 - ReplaceComparisonOperator = null -> != null
4,5,InsertUnaryOp,org.jfree.chart.urls.CustomCategoryURLGenerator.getURLCount(I)I:89 - InsertUnaryOp Negation of result
5,6,InsertUnaryOp,org.jfree.chart.urls.CustomCategoryURLGenerator.getURLCount(I)I:89 - InsertUnaryOp IINC 1 result
6,7,InsertUnaryOp,org.jfree.chart.urls.CustomCategoryURLGenerator.getURLCount(I)I:89 - InsertUnaryOp IINC -1 result
7,8,InsertUnaryOp,org.jfree.chart.urls.CustomCategoryURLGenerator.getURL(II)Ljava/lang/String;:102 - InsertUnaryOp Negation of series
8,9,InsertUnaryOp,org.jfree.chart.urls.CustomCategoryURLGenerator.getURL(II)Ljava/lang/String;:102 - InsertUnaryOp IINC 1 series
9,10,InsertUnaryOp,org.jfree.chart.urls.CustomCategoryURLGenerator.getURL(II)Ljava/lang/String;:102 - InsertUnaryOp IINC -1 series
10,11,ReplaceComparisonOperator,org.jfree.chart.urls.CustomCategoryURLGenerator.getURL(II)Ljava/lang/String;:102 - ReplaceComparisonOperator >= -> -1
11,12,ReplaceComparisonOperator,org.jfree.chart.urls.CustomCategoryURLGenerator.getURL(II)Ljava/lang/String;:102 - ReplaceComparisonOperator >= -> >
12,13,ReplaceComparisonOperator,org.jfree.chart.urls.CustomCategoryURLGenerator.getURL(II)Ljava/lang/String;:102 - ReplaceComparisonOperator >= -> ==
13,14,InsertUnaryOp,org.jfree.chart.urls.CustomCategoryURLGenerator.getURL(II)Ljava/lang/String;:103 - InsertUnaryOp Negation of series
14,15,InsertUnaryOp,org.jfree.chart.urls.CustomCategoryURLGenerator.getURL(II)Ljava/lang/String;:103 - InsertUnaryOp IINC 1 series
15,16,InsertUnaryOp,org.jfree.chart.urls.CustomCategoryURLGenerator.getURL(II)Ljava/lang/String;:103 - InsertUnaryOp IINC -1 series
16,17,ReplaceComparisonOperator,org.jfree.chart.urls.CustomCategoryURLGenerator.getURL(II)Ljava/lang/String;:104 - ReplaceComparisonOperator = null -> != null
17,18,InsertUnaryOp,org.jfree.chart.urls.CustomCategoryURLGenerator.getURL(II)Ljava/lang/String;:105 - InsertUnaryOp Negation of item
18,19,InsertUnaryOp,org.jfree.chart.urls.CustomCategoryURLGenerator.getURL(II)Ljava/lang/String;:105 - InsertUnaryOp IINC 1 item
19,20,InsertUnaryOp,org.jfree.chart.urls.CustomCategoryURLGenerator.getURL(II)Ljava/lang/String;:105 - InsertUnaryOp IINC -1 item
20,21,ReplaceComparisonOperator,org.jfree.chart.urls.CustomCategoryURLGenerator.getURL(II)Ljava/lang/String;:105 - ReplaceComparisonOperator >= -> -1
21,22,ReplaceComparisonOperator,org.jfree.chart.urls.CustomCategoryURLGenerator.getURL(II)Ljava/lang/String;:105 - ReplaceComparisonOperator >= -> >
22,23,ReplaceComparisonOperator,org.jfree.chart.urls.CustomCategoryURLGenerator.getURL(II)Ljava/lang/String;:105 - ReplaceComparisonOperator >= -> ==
23,24,InsertUnaryOp,org.jfree.chart.urls.CustomCategoryURLGenerator.getURL(II)Ljava/lang/String;:106 - InsertUnaryOp Negation of item
24,25,InsertUnaryOp,org.jfree.chart.urls.CustomCategoryURLGenerator.getURL(II)Ljava/lang/String;:106 - InsertUnaryOp IINC 1 item
25,26,InsertUnaryOp,org.jfree.chart.urls.CustomCategoryURLGenerator.getURL(II)Ljava/lang/String;:106 - InsertUnaryOp IINC -1 item
26,27,InsertUnaryOp,org.jfree.chart.urls.CustomCategoryURLGenerator.generateURL(Lorg/jfree/data/category/CategoryDataset;II)Ljava/lang/String;:124 - InsertUnaryOp Negation of series
27,28,InsertUnaryOp,org.jfree.chart.urls.CustomCategoryURLGenerator.generateURL(Lorg/jfree/data/category/CategoryDataset;II)Ljava/lang/String;:124 - InsertUnaryOp IINC 1 series
28,29,InsertUnaryOp,org.jfree.chart.urls.CustomCategoryURLGenerator.generateURL(Lorg/jfree/data/category/CategoryDataset;II)Ljava/lang/String;:124 - InsertUnaryOp IINC -1 series
29,30,InsertUnaryOp,org.jfree.chart.urls.CustomCategoryURLGenerator.generateURL(Lorg/jfree/data/category/CategoryDataset;II)Ljava/lang/String;:124 - InsertUnaryOp Negation of item
30,31,InsertUnaryOp,org.jfree.chart.urls.CustomCategoryURLGenerator.generateURL(Lorg/jfree/data/category/CategoryDataset;II)Ljava/lang/String;:124 - InsertUnaryOp IINC 1 item
31,32,InsertUnaryOp,org.jfree.chart.urls.CustomCategoryURLGenerator.generateURL(Lorg/jfree/data/category/CategoryDataset;II)Ljava/lang/String;:124 - InsertUnaryOp IINC -1 item
32,33,ReplaceComparisonOperator,org.jfree.chart.urls.CustomCategoryURLGenerator.addURLSeries(Ljava/util/List;)V:134 - ReplaceComparisonOperator = null -> != null
33,34,ReplaceComparisonOperator,org.jfree.chart.urls.CustomCategoryURLGenerator.equals(Ljava/lang/Object;)Z:149 - ReplaceComparisonOperator != -> ==
34,35,ReplaceConstant,org.jfree.chart.urls.CustomCategoryURLGenerator.equals(Ljava/lang/Object;)Z:150 - ReplaceConstant - 1 -> 0
35,36,ReplaceComparisonOperator,org.jfree.chart.urls.CustomCategoryURLGenerator.equals(Ljava/lang/Object;)Z:152 - ReplaceComparisonOperator != -> -1
36,37,ReplaceComparisonOperator,org.jfree.chart.urls.CustomCategoryURLGenerator.equals(Ljava/lang/Object;)Z:152 - ReplaceComparisonOperator != -> <
37,38,ReplaceComparisonOperator,org.jfree.chart.urls.CustomCategoryURLGenerator.equals(Ljava/lang/Object;)Z:152 - ReplaceComparisonOperator != -> >
38,39,ReplaceConstant,org.jfree.chart.urls.CustomCategoryURLGenerator.equals(Ljava/lang/Object;)Z:153 - ReplaceConstant - 0 -> 1
39,40,InsertUnaryOp,org.jfree.chart.urls.CustomCategoryURLGenerator.equals(Ljava/lang/Object;)Z:157 - InsertUnaryOp Negation of listCount
40,41,InsertUnaryOp,org.jfree.chart.urls.CustomCategoryURLGenerator.equals(Ljava/lang/Object;)Z:157 - InsertUnaryOp IINC 1 listCount
41,42,InsertUnaryOp,org.jfree.chart.urls.CustomCategoryURLGenerator.equals(Ljava/lang/Object;)Z:157 - InsertUnaryOp IINC -1 listCount
42,43,ReplaceComparisonOperator,org.jfree.chart.urls.CustomCategoryURLGenerator.equals(Ljava/lang/Object;)Z:157 - ReplaceComparisonOperator == -> -2
43,44,ReplaceComparisonOperator,org.jfree.chart.urls.CustomCategoryURLGenerator.equals(Ljava/lang/Object;)Z:157 - ReplaceComparisonOperator == -> >=
44,45,ReplaceComparisonOperator,org.jfree.chart.urls.CustomCategoryURLGenerator.equals(Ljava/lang/Object;)Z:157 - ReplaceComparisonOperator == -> <=
45,46,ReplaceConstant,org.jfree.chart.urls.CustomCategoryURLGenerator.equals(Ljava/lang/Object;)Z:158 - ReplaceConstant - 0 -> 1
46,47,ReplaceConstant,org.jfree.chart.urls.CustomCategoryURLGenerator.equals(Ljava/lang/Object;)Z:161 - ReplaceConstant - 0 -> 1
47,48,InsertUnaryOp,org.jfree.chart.urls.CustomCategoryURLGenerator.equals(Ljava/lang/Object;)Z:161 - InsertUnaryOp Negation of series
