,col0,col1,col2,col3,col4,col5,col6
0,#,Part,of,pyprf,library,,
1,#,Copyright,(C),2017,,Ingo,Marquardt
2,#,,,,,,
3,#,version.,,,,,
4,#,,,,,,
5,#,details.,,,,,
6,#,,,,,,
7,#,Number,of,x-positions,to,model:,
8,varNumX,=,40,,,,
9,#,Number,of,y-positions,to,model:,
10,varNumY,=,40,,,,
11,#,Number,of,pRF,sizes,to,model:
12,varNumPrfSizes,=,40,,,,
13,#,visual,angle.,,,,
14,varExtXmin,=,-5.19,,,,
15,#,visual,angle.,,,,
16,varExtXmax,=,5.19,,,,
17,#,visual,angle.,,,,
18,varExtYmin,=,-5.19,,,,
19,#,visual,angle.,,,,
20,varExtYmax,=,5.19,,,,
21,#,[degrees,of,visual,angle]:,,
22,varPrfStdMin,=,0.2,,,,
23,varPrfStdMax,=,7.0,,,,
24,#,Volume,TR,of,input,data,[s]:
25,varTr,=,2.079,,,,
26,varVoxRes,=,0.8,,,,
27,varSdSmthTmp,=,2.5,,,,
28,#,"kernel,",in,mm],,,
29,varSdSmthSpt,=,1.0,,,,
30,lgcLinTrnd,=,True,,,,
31,varNumVol,=,400,,,,
32,varPar,=,PLACEHOLDER_FOR_CPU_USAGE,,,,
33,varVslSpcSzeX,=,300,,,,
34,varVslSpcSzeY,=,300,,,,
35,lstPathNiiFunc,=,['PLACEHOLDER_FOR_DATA_PATHPLACEHOLDER_FOR_SUBJECT_ID/nii/feat_level_1/func_07.feat/filtered_func_data.nii.gz'],,#noqa,,
36,strPathNiiMask,=,'PLACEHOLDER_FOR_DATA_PATHPLACEHOLDER_FOR_SUBJECT_ID/nii/retinotopy/mask/brainmask.nii.gz',,#noqa,,
37,#,Output,basename:,,,,
38,strPathOut,=,'PLACEHOLDER_FOR_DATA_PATHPLACEHOLDER_FOR_SUBJECT_ID/nii/retinotopy/pRF_results/pRF_results',,#noqa,,
39,#,"CPU,",'gpu',for,using,GPU.,
40,strVersion,=,'cython',,,,
41,#,Create,pRF,time,course,models?,
42,lgcCrteMdl,=,False,,,,
43,#,be,provided:,,,,
44,#,experiment.,,,,,
45,strPathPng,=,'PLACEHOLDER_FOR_DATA_PATHBIDS/stimuli/pyprf/pRF_stimuli/run_01_frame_',,,,
46,#,`file_001.png`.,,,,,
47,varStrtIdx,=,1,,,,
48,#,`file_0007.png`.,,,,,
49,varZfill,=,3,,,,
50,#,file,extension.,,,,
51,strPathMdl,=,'PLACEHOLDER_FOR_DATA_PATHBIDS/stimuli/pyprf/pRF_time_course_models/pRF_model_tc',,,,
