,col0,col1,col2,col3,col4,col5,col6,col7,col8,col9
0,90.0,,,,,,,,,
1,91.0,,,,,,,,,
2,92.0,,,,,,,,,
3,93.0,,,,,,,,,
4,94.0,,,,,,,,,
5,95.0,,,,,,,,,
6,96.0,,,,,,,,,
7,97.0,,,,,,,,,
8,98.0,,,,,,,,,
9,99.0,,,,,,,,,
10,100.0,1fi,1fi_0,always_left.0,5.1,0.0,,,,
11,100.0,2fi,2fi_0,horizontal.0,5.1,0.0,,,,
12,100.0,3fi,3fi_0,always_right.0,5.1,0.0,,,,
13,101.0,1fi,1fi_0,always_left.0,6.54,1.44,,,,
14,101.0,2fi,2fi_0,horizontal.0,6.77,1.67,,,,
15,101.0,3fi,3fi_0,always_right.0,7.64,2.54,,,,
16,102.0,1fi,1fi_0,always_left.0,9.94,3.4,,,,
17,102.0,2fi,2fi_0,horizontal.0,10.28,3.51,,,,
18,102.0,3fi,3fi_0,vertical.0,5.1,0.0,,,,
19,102.0,3fi,3fi_0,always_right.0,12.73,5.08,,,,
20,103.0,1fi,1fi_0,always_left.0,14.98,5.04,,,,
21,103.0,2fi,2fi_0,horizontal.0,16.07,5.79,,,,
22,103.0,3fi,3fi_0,vertical.0,5.54,0.44,,,,
23,103.0,3fi,3fi_0,always_right.0,19.7,6.98,,,,
24,104.0,1fi,1fi_0,always_left.0,22.61,7.63,,,,
25,104.0,2fi,2fi_0,horizontal.0,23.58,7.51,,,,
26,104.0,3fi,3fi_0,vertical.0,8.0,2.46,,,,
27,104.0,3fi,3fi_0,always_right.0,28.67,8.97,,,,
28,105.0,1fi,1fi_0,always_left.0,32.1,9.49,,,,
29,105.0,2fi,2fi_0,horizontal.0,33.34,9.77,,,,
30,105.0,3fi,3fi_0,vertical.0,11.92,3.92,,,,
31,105.0,3fi,3fi_0,always_right.0,39.7,11.03,,,,
32,106.0,1fi,1fi_0,always_left.0,42.79,10.69,,,,
33,106.0,2fi,2fi_0,horizontal.0,43.56,10.22,,,,
34,106.0,3fi,3fi_0,vertical.0,17.77,5.85,,,,
35,106.0,3fi,3fi_0,always_right.0,50.75,11.05,,,,
36,107.0,1fi,1fi_0,always_left.0,53.5,10.71,,,,
37,107.0,2fi,2fi_0,horizontal.0,53.85,10.29,,,,
38,107.0,3fi,3fi_0,vertical.0,25.15,7.38,,,,
39,107.0,3fi,3fi_0,always_right.0,60.64,9.89,,,,
40,108.0,1fi,1fi_0,always_left.0,63.46,9.96,,,,
41,108.0,2fi,2fi_0,horizontal.0,64.44,10.59,,,,
42,108.0,3fi,3fi_0,vertical.0,34.82,9.67,,,,
43,108.0,3fi,3fi_0,always_right.0,71.04,10.4,,,,
44,109.0,1fi,1fi_0,always_left.0,74.53,11.07,,,,
45,109.0,2fi,2fi_0,horizontal.0,75.16,10.72,,,,
46,109.0,3fi,3fi_0,vertical.0,45.73,10.9,,,,
47,109.0,3fi,3fi_0,always_right.0,81.16,10.12,,,,
48,110.0,1fi,1fi_0,always_left.1,5.1,0.0,,,,
49,110.0,1fi,1fi_0,always_left.0,84.4,9.87,,,,
50,110.0,2fi,2fi_0,horizontal.1,5.1,0.0,,,,
51,110.0,2fi,2fi_0,horizontal.0,86.23,11.07,,,,
52,110.0,3fi,3fi_0,always_right.1,5.1,0.0,,,,
53,110.0,3fi,3fi_0,vertical.0,56.41,10.68,,,,
54,110.0,3fi,3fi_0,always_right.0,91.38,10.22,,,,
55,111.0,1fi,1fi_0,always_left.1,7.54,2.44,,,,
56,111.0,1fi,1fi_0,always_left.0,95.34,10.94,,,,
57,111.0,2fi,2fi_0,horizontal.1,6.45,1.35,,,,
58,111.0,2fi,2fi_0,horizontal.0,96.81,10.58,,,,
59,111.0,3fi,3fi_0,always_right.1,7.48,2.38,,,,
60,111.0,3fi,3fi_0,vertical.0,67.23,10.82,,,,
61,111.0,3fi,3fi_0,always_right.0,102.15,10.77,,,,
62,112.0,1fi,1fi_0,always_left.1,12.26,4.72,,,,
63,112.0,1fi,1fi_0,always_left.0,105.7,10.37,,,,
64,112.0,2fi,2fi_0,horizontal.1,10.28,3.83,,,,
65,112.0,2fi,2fi_0,horizontal.0,106.86,10.05,,,,
66,112.0,3fi,3fi_0,always_right.1,11.69,4.21,,,,
67,112.0,3fi,3fi_0,vertical.0,77.41,10.18,,,,
68,112.0,3fi,3fi_0,always_right.0,112.39,10.24,,,,
69,113.0,1fi,1fi_0,always_left.1,18.37,6.11,,,,
70,113.0,1fi,1fi_0,always_left.0,115.91,10.21,,,,
71,113.0,2fi,2fi_0,horizontal.1,16.31,6.03,,,,
72,113.0,2fi,2fi_0,horizontal.0,116.73,9.86,,,,
73,113.0,3fi,3fi_0,vertical.1,5.1,0.0,,,,
74,113.0,3fi,3fi_0,always_right.1,18.28,6.59,,,,
75,113.0,3fi,3fi_0,vertical.0,87.76,10.36,,,,
76,113.0,3fi,3fi_0,always_right.0,122.86,10.47,,,,
77,114.0,1fi,1fi_0,always_left.1,26.84,8.47,,,,
78,114.0,1fi,1fi_0,always_left.0,125.78,9.87,,,,
79,114.0,2fi,2fi_0,horizontal.1,24.74,8.43,,,,
80,114.0,2fi,2fi_0,horizontal.0,127.0,10.28,,,,
81,114.0,3fi,3fi_0,vertical.1,6.49,1.39,,,,
82,114.0,3fi,3fi_0,always_right.1,26.75,8.48,,,,
83,114.0,3fi,3fi_0,vertical.0,98.51,10.75,,,,
84,114.0,3fi,3fi_0,always_right.0,133.93,11.07,,,,
85,115.0,1fi,1fi_0,always_left.1,37.67,10.84,,,,
86,115.0,1fi,1fi_0,always_left.0,136.81,11.02,,,,
87,115.0,2fi,2fi_0,horizontal.1,35.36,10.62,,,,
88,115.0,2fi,2fi_0,horizontal.0,136.82,9.82,,,,
89,115.0,3fi,3fi_0,vertical.1,10.22,3.72,,,,
90,115.0,3fi,3fi_0,always_right.1,37.09,10.34,,,,
91,115.0,3fi,3fi_0,vertical.0,109.51,11.0,,,,
92,115.0,3fi,3fi_0,always_right.0,144.6,10.67,,,,
93,116.0,1fi,1fi_0,always_left.1,48.72,11.05,,,,
94,116.0,1fi,1fi_0,always_left.0,147.68,10.88,,,,
95,116.0,2fi,2fi_0,horizontal.1,45.54,10.17,,,,
96,116.0,2fi,2fi_0,horizontal.0,147.83,11.01,,,,
97,116.0,3fi,3fi_0,vertical.1,15.66,5.44,,,,
98,116.0,3fi,3fi_0,always_right.1,47.93,10.83,,,,
99,116.0,3fi,3fi_0,vertical.0,120.24,10.73,,,,
100,116.0,3fi,3fi_0,always_right.0,155.25,10.65,,,,
101,117.0,1fi,1fi_0,always_left.1,59.03,10.31,,,,
102,117.0,1fi,1fi_0,always_left.0,158.24,10.56,,,,
103,117.0,2fi,2fi_0,horizontal.1,55.98,10.44,,,,
104,117.0,2fi,2fi_0,horizontal.0,158.43,10.6,,,,
105,117.0,3fi,3fi_0,vertical.1,23.23,7.57,,,,
106,117.0,3fi,3fi_0,always_right.1,58.49,10.57,,,,
107,117.0,3fi,3fi_0,vertical.0,130.59,10.35,,,,
108,117.0,3fi,3fi_0,always_right.0,165.29,10.04,,,,
109,118.0,1fi,1fi_0,always_left.1,70.11,11.08,,,,
110,118.0,1fi,1fi_0,always_left.0,168.08,9.84,,,,
111,118.0,2fi,2fi_0,horizontal.1,66.95,10.97,,,,
112,118.0,2fi,2fi_0,horizontal.0,169.15,10.72,,,,
113,118.0,3fi,3fi_0,vertical.1,32.75,9.53,,,,
114,118.0,3fi,3fi_0,always_right.1,68.4,9.91,,,,
115,118.0,3fi,3fi_0,vertical.0,140.89,10.3,,,,
116,118.0,3fi,3fi_0,always_right.0,175.26,9.97,,,,
117,119.0,1fi,1fi_0,always_left.1,80.3,10.19,,,,
118,119.0,1fi,1fi_0,always_left.0,178.64,10.56,,,,
119,119.0,2fi,2fi_0,horizontal.1,76.93,9.97,,,,
120,119.0,2fi,2fi_0,horizontal.0,179.66,10.52,,,,
121,119.0,3fi,3fi_0,vertical.1,43.33,10.58,,,,
122,119.0,3fi,3fi_0,always_right.1,79.13,10.72,,,,
123,119.0,3fi,3fi_0,vertical.0,150.73,9.85,,,,
124,119.0,3fi,3fi_0,always_right.0,185.62,10.36,,,,
