,col0,col1,col2,col3,col4,col5,col6,col7,col8,col9,col10,col11,col12,col13,col14
0,butt,,,,,x,,,x,,,x,x,,1.0
1,arse,,,,,x,,,x,,,x,x,,1.0
2,cunt,,,,,x,,,,,,,x,,1.0
3,penis,,,,,x,,,x,,,,x,,
4,whore,whoring,,,,x,,,,,,,x,,2.0
5,dick,,,,,x,,,x,,,x,x,,1.0
6,cheese,,cheesy,,,,,x,,,,x,x,,
7,bum,,,,,x,,,,,,,x,,1.0
8,dildo,,,,,x,,,,,,,x,,6.0
9,cock,cocking,,,,x,,,x,,,x,x,,1.0
10,fuck,fucking,fucked,fucker,,x,,x,x,,,x,x,,5.0
11,bitch,bitching,bitchy,,,x,,,,,,,x,,
12,retard,,retarded,,,x,,,,,,,x,,
13,shit,shitting,shitty,,,x,,x,,,,x,x,,1.0
14,,sucking,sucked,,,x,,,,,,,,,
15,ass,,assy,,,x,,,x,,,x,x,,1.0
16,faggot,,,,,x,,,,,,,x,,
17,pirate,pirating,pirated,,,,,,,,,x,x,,
18,sponge,,,,,,,,,,,,x,,
19,gooch,,,,,x,,,,,,,x,,
20,moat,,,,,x,,,,,,,x,,
21,goblin,,,,,,,,,,,x,x,,
22,cornhole,,cornholed,,,x,,,x,,,,x,,
23,spank,spanking,spanked,,,x,,,,,,,,,
24,monkey,,,,,,,,,,,x,x,,6.0
25,fart,farting,farted,farter,,x,,x,,,,x,x,,1.0
26,knocker,knocking,knocked,,,x,,,,,,x,x,,
27,schlong,,,,,x,,,x,,,,x,,2.0
28,puke,puking,puked,,,x,,x,,,,x,x,,1.0
29,vomit,vomiting,vomited,,,x,,x,,,,x,x,,
30,chocolate,,,,,,,x,,,,x,,,
31,hole,,holed,,,,,,x,,,,x,,
32,,,black,,,,,,,x,,,,,
33,,,brown,,,,,,,x,,,,,
34,,,yellow,,,,,,,x,,,,,
35,,,red,,,,,,,x,,,,,
36,,,white,,,,,,,x,,,,,
37,,,blue,,,,,,,x,,,,,
38,,,violet,,,,,,,x,,,,,
39,,,green,,,,,,,x,,,,,
40,,,pink,,,,,,,x,,,,,
41,mango,,,,,,,x,,,,,x,,4.0
42,melon,,,,,,,x,,,,,x,,
43,,,dumb,,,x,,,,,,,,,1.0
44,weed,,,,,,,x,,,,,x,,1.0
45,dill,,,,,,,x,,,,,x,,1.0
46,bull,,,,,,,,,,,x,x,,1.0
47,douche,,,,,x,,,,,,,x,,2.0
48,bag,,,,,,,,,,,,,,
49,sack,,,,,,,,,,,,x,,1.0
50,blowjob,,,,,x,,,,,,,,,
51,licker,,,,,,,,,,,,,,
52,love,loving,lovely,lover,,,x,,,,,,,,
53,face,,faced,,,,,,x,,,,x,,2.0
54,coffee,,,,,,,x,,,,,x,,6.0
55,aids,,,,,x,,,,,,,x,,1.0
56,cancer,,,,,x,,,,,,,x,,
57,salami,,,,,,,x,,,,x,x,,
58,wiener,,,,,,,x,,,,x,x,,
59,butter,buttering,buttered,,,,,x,,,,x,x,,
60,dish,,,,,,,,,,,,,,
61,,,sweet,,,,x,,,,,,,,
62,,,awful,,,,,,,,,,,,
63,well,,,,,,,,x,,,,,,
64,,,beautiful,,,,x,,,,,,,,
65,,,glorious,,,,x,,,,,,,,
66,blood,,bloody,,,,,,x,,,,x,,1.0
67,,,pure,,,,x,,,,,,,,
68,slut,,slutty,,,x,,,,,,,x,,1.0
69,skank,,skanky,,,x,,,,,,,x,,
70,skcunt,,,,,x,,,,,,,x,,
71,maggot,,,,,x,,,,,,,x,,
72,mobile,,,,,,,,,,,,x,,
73,vehicle,,,,,,,,,,,,x,,
74,,,,,zilla,x,,,,,,,,,1.0
75,,,,, kong,x,,,,,,,,,2.0
76,,masturbating,,masturbator,,x,,,,,,,x,,
77,,wanking,wanked,wanker,,x,,,,,,,x,,
78,,jerking,,jerk,,x,,,,,,,x,,
79,,slapping,slapped,,,,,,,,,,,,
80,rape,raping,raped,raper,,x,,,,,,,x,,1.0
81,pump,pumping,pumped,,,,,,,,,,,,1.0
82,shotgun,,,,,,,,,,,,x,,
83,cum,cumming,,,,x,,x,,,,,x,,1.0
84,jizz,jizzing,,,,x,,x,,,,,x,,1.0
85,lob,lobbing,,lobber,,,,,,,,,x,,1.0
86,spunk,spunking,,,,x,,x,,,,,x,,
87,discharge,discharging,discharged,,,x,,x,,,,,x,,
88,polyp,,,,,x,,,,,,x,x,,
89,cyst,,,,,x,,,,,,x,x,,
90,fetus,,,,,,,,,,,x,x,,
91,vagina,,vaginal,,,x,,,,,,,x,,6.0
92,nozzle,,,,,,,,,,,,x,,
93,tornado,,,,,,,,,,,x,x,,4.0
94,hose,,,,,,,,,,,,,,
95,gash,,,,,x,,,x,,,,x,,
96,slit,,,,,x,,,x,,,,x,,1.0
97,fist,fisting,fisted,fister,,x,,,,,,,x,,1.0
98,,caring,,,,,x,,,,,,,,
99,passion,,passionate,,,,x,,,,,,,,
100,,,generous,,,,x,,,,,,,,
101,,,endearing,,,,x,,,,,,,,
102,flower,flowering,,,,,x,,,,,,x,,2.0
103,,erecting,,erect,,x,,,,,,,x,,
104,crap,crapping,crapped,,,x,,,,,,,x,,1.0
105,sacrifice,sacrificing,sacrificed,,,,,,,,,,,,
106,cactus,,,,,,,,,,,,x,,2.0
107,description,describing,descriptive,,,,,,,,,,x,,
108,,,godly,god,,,,,,,,,x,,
109,drop,dropping,dropped,,,,,,,,,,x,,1.0
110,accident,,accidental,,,,,,,,,,x,,
111,fat,,fat,,,x,,,,,,,x,,1.0
112,,aborting,aborted,abortion,,,,,,,,x,x,,
113,thief,thieving,,,,,,,,,,,,,
114,mouth,,,,,,,,,,,x,,,
115,flumpkin,,,,,x,,,,,,,x,,
116,flush,flushing,flushed,,,,,,,,,,,,
117,,,smart,,,,,,,,,,,,
118,boner,,,,,x,,,,,,,x,,
119,woodrow,,,,,x,,,,,,,x,,
120,testicle,,,,,x,,,,,,,x,,
121,sack,sacking,sacked,,,,,,,,,,,,
122,leak,leaking,,,,,,,,,,,,,
123,,,sloppy,,,,,,,,,,,,
124,,dripping,,,,,,,,,,,,,
125,,,tight,,,,,,,,,,,,
126,pussy,,,,,x,,,,,,x,x,,4.0
127,head,,,,,,,,,,,,x,,1.0
128,nut,,,,,x,,,,,,x,,,1.0
129,seed,,,,,,,,,,,,,,
130,twat,,,,,x,,,,,,,x,,
131,,,,mother,,,,,,,,x,x,,
132,,,,father,,,,,,,,x,x,,
133,,sucking,sucked,sucker,,x,,,,,,,x,,
134,,,,butler,,,,,,,,,x,,
135,probe,probing,,,,,,,,,,,,,
136,tit,,,,,true,,,,,,,x,,1.0
137,,,bastardized,bastard,,true,,,,,,,x,,
138,,,spastic,,,,,,,,,,,,
139,,voyeuring,,voyeur,,,,,,,,,x,,
140,,,enormous,,,,,,,,,,,,
141,semen,,,,,true,,,,,,x,x,,
142,blend,blending,blended,blender,,,,,,,,,x,,
143,,bloating,bloated,,,,,,,,,,,,
144,,,one-balled,,,true,,,,,,,,,
145,shaft,,,,,,,,,,,,x,,
146,force,forcing,forced,,,,,,,,,x,,,
147,,,,fondler,,,,,,,,,x,,
148,,sniffing,sniffed,sniffer,,,,,,,,,x,,
149,,,old,,,,,,,,,,,,
150,,,young,,,,,,,,,,,,
151,,,fresh,,,,,,,,,,,,
152,,,expired,,,,,,,,,,,,
153,excrement,excrementing,excremented,,,x,,x,,,,x,x,,
154,,collecting,collected,collector,,,,,,,,,x,,
155,nugget,,,,,,,,,,,,x,,2.0
156,experiment,experimenting,experimental,,,,,,,,,,x,,
157,,,irrelevant,,,,,,,,,,,,
158,shark,,,,,,,,,,,,x,,1.0
159,,,,infidel,,x,,,,,,,x,,
160,,,,shiner,,,,,,,,,x,,
161,,graduating,graduated,graduate,,,,,,,,,x,,
162,cockroach,,,,,x,,,,,,,x,,
163,,handling,handled,handler,,,,,,,,,,,
164,,,long,,,,,,,,,,,,
165,,,short,,,,,,,,,,,,
166,,,,professor,,,,,,,,,x,,
167,,herding,,herder,,,,,,,,,x,,
168,stain,,,,,,,,,,,,x,,
169,,,,clusterfuck,,x,,,,,,,x,,
170,thistle,,,,,,,,,,,,x,,
171,,,senile,,,x,,,,,,,,,
172,,,,gay,,x,,,,,,x,x,,
