,col0,col1,col2,col3,col4,col5,col6,col7
0,ChIJuUOES45t5kcRupQaIy6R2b0,15-7 Rue Emile Landrin,48.863642,2.3983365,,,,route
1,ChIJuS5aN45t5kcRv2HfNEnB9hM,Hôtel Paris Gambetta,48.8641122,2.3979614,,4.0,141.0,lodging point_of_interest establishment
2,ChIJUzIGOI5t5kcRItWtCx2fuJg,Janah Brahim,48.8639602,2.397898,,,,grocery_or_supermarket food point_of_interest store establishment
3,ChIJH70qMY5t5kcRUYGa-p7svQk,Lichtlé Nicolas,48.8642093,2.3981141,,,,point_of_interest establishment
4,ChIJ30hDnJJt5kcRPCqkm4lme_Q,Time2digital,48.863572600000005,2.3982805,,,,point_of_interest establishment
5,ChIJUzIGOI5t5kcRIiicoYeCrns,Dr Nacasch Claude - Paris 20,48.8639602,2.397898,,3.7,108.0,dentist health point_of_interest establishment
6,ChIJR5oWrP1t5kcRC2RnvqaPy2s,Club Vet,48.8639179,2.3988603,,4.9,206.0,point_of_interest store establishment
7,ChIJ9VBkM0tu5kcRST9FiO8PyyA,Sineau Gregoire Osteopathe,48.8639953,2.3978509,,5.0,2.0,health point_of_interest establishment
8,ChIJ34WcJY5t5kcRVGlull-2QTg,A FLOWER HILL,48.8642472,2.3981208,,4.6,20.0,florist point_of_interest store establishment
9,ChIJNQwP41Ft5kcR5toZplw5zKU,Optel Thevon,48.86345120000001,2.3982595,,,,point_of_interest establishment
10,ChIJAQBwtI9t5kcRY97SMFkAFHk,Coffre Privé,48.863741100000006,2.3986172999999997,,,,point_of_interest establishment
11,ChIJAetonJJt5kcR2f1wLHV2BEo,Adenium Paris,48.863479,2.398341,,,,point_of_interest establishment
12,ChIJ2aZhvI9t5kcRoRR6Zy6CV5k,Le Narval,48.86397589999999,2.3990131000000003,,3.3,48.0,bar restaurant food point_of_interest establishment
13,ChIJyWnyR45t5kcRG0gaDCe_tJ8,"Notaires, Christian BROGI et Claire CAILLOUX",48.8638119,2.3978106,,3.9,76.0,finance point_of_interest establishment
14,ChIJH70qMY5t5kcRtYTLag4A0us,Chez Betty,48.8643034,2.3981493,2.0,4.4,60.0,restaurant food point_of_interest establishment
15,ChIJ_fzqiQZt5kcR4_7ZANQgAiU,BEBECRECHE,48.863761100000005,2.3982415,,4.0,1.0,point_of_interest establishment
16,ChIJze7KtI9t5kcRgAAD-eUvUes,5 Horizons,48.8636982,2.3985203,,,,point_of_interest establishment
17,ChIJ1zjUNY5t5kcR-7TQDMxhDBY,Enfants d'Orient,48.864079600000004,2.3982144,,5.0,1.0,point_of_interest establishment
18,ChIJ1zjUNY5t5kcR9WXwJwOXIRw,Reteno Igor,48.864079600000004,2.3982144,,,,point_of_interest establishment
19,ChIJD7fiBh9u5kcRYJSMaMOCCwQ,Paris,48.856614,2.3522218999999995,,,,locality political
20,ChIJ1V-rtY9t5kcRPYbkyoeSEfs,Le Moigne Claude,48.863736200000005,2.398767,,,,doctor health point_of_interest establishment
21,ChIJHyAhSI5t5kcRdUZQaf7Q4NE,"Céline, Salon de coiffure « hommes & femmes »",48.8639297,2.3979339,,4.9,29.0,hair_care point_of_interest establishment
22,ChIJH70qMY5t5kcR7h8Bl7EBuY8,Boukaïef,48.8639563,2.3979117000000003,,,,point_of_interest establishment
23,ChIJTU8etI9t5kcR1jpWC7-j4dg,Perlowska Miroslawa,48.8636479,2.398729,,,,point_of_interest establishment
24,ChIJUzIGOI5t5kcR9EWr0Z9zrac,Ruiz Brigitte,48.8639602,2.397898,,,,point_of_interest establishment
25,ChIJUzIGOI5t5kcR5AoF09JHp8o,Subovici Vera,48.8639602,2.397898,,5.0,2.0,doctor health point_of_interest establishment
26,ChIJUzIGOI5t5kcRhyMjQShnTR0,Peter Denis Charles,48.8639602,2.397898,,5.0,1.0,restaurant bar food point_of_interest establishment
27,ChIJuWtG6i5t5kcRPEyhfVMszRo,ALEXANDRE RODZINSKI,48.863935299999994,2.3978638,,5.0,4.0,health point_of_interest establishment
28,ChIJhdG_dGVt5kcRRyQJpY_Qtqc,Le Bear cafe,48.86403370000001,2.3979066,,4.6,48.0,restaurant food point_of_interest establishment
