,col0,col1,col2,col3,col4
0, COBOLDoc ,  ,  ,  , Yes 
1, Ddoc , with macros ,  ,  , 
2, Document! X ," customizable HTML based templates, custom comment tags ", linked graphical object relationship diagrams , internal links and links to .NET framework documentation , types extracted and linked  
3, Doxygen , with XSLT ," caller and callee graphs, dependency graphs, inheritance diagrams, collaboration diagrams ", , 
4, Epydoc ,  ,  ,  ,  
5, Haddock ,  ,  , Yes , Yes 
6, HeaderDoc ," Custom headers, footers, code coloring, and other CSS styles in individual pages.  Project-wide TOC is generated from a user-defined template. ",  ," Configurable syntax highlighting/coloring with automatic linking to symbols in declaration, ability to manually link to symbols in discussion, etc. "," Provides warnings if tagged parameters do not match code, parsed parameters included in XML output and Doxygen-style tagfile (-D flag in 8.7).  Partial C preprocessor support with -p flag.  Support for #if/#ifdef control over documentation inclusion using the -D and -U command-line flags. "
7, Imagix 4D , customizable through style sheets and CSS ," linked hierarchy and dependency graphs for function calls, variable sets and reads, class inheritance and interface, and file includes and interface, intra-function flow charts "," fully cross-linked project-wide, including all hierarchy and dependency graphs, metrics tables, source code snippets, and source files "," full semantic analysis of source code, including parameter types, conditional compilation directives, macro expansions "
8, Javadoc ,  ,  ,  ,  
9, JSDoc ,  ,  ,  , Yes 
10, JsDoc Toolkit ,  ,  ,  , Yes 
11, mkd , Customisable for all type of comments , 'as-is' in comments ," all general documentation, references, manual, organigrams, ... Including the binary codes included in the comments. ", all coded comments 
12, Natural Docs ,  ,  ,  ,  
13, NDoc ,  ,  ,  ,  
14, perldoc , Extend the generator classes through Perl programming. ,  , Only linking ,  
15, pdoc3 , overridable mako templates ,  ," source code syntax highlighting, automatic cross-linking to symbol declarations ", Yes 
16, phpDocumentor , Smarty-based templates , class inheritance diagrams ," cross reference to generated documentation, and to php.net function reference ", Yes 
17, pydoc ,  ,  ,  ,  
18, RDoc ,  ,  ,  ,  
19, ROBODoc ,  ,  ,  ,  
20, Sphinx ," 10 themes, Jinja2 templating, Python plugins "," several in sphinx-contrib, e.g. using aafigure, actdiag, Google Chart, or gnuplot "," Table of Contents, Index, cross referencing, syntax highlighting with Pygments ", custom objects (such as functions and classes) 
21, Visual Expert , documentation content and styles customizable ," Class inheritance, call trees, dependencies (impact analysis) "," internal links between classes, methods, variables, tables, columns... ", all types extracted 
22, VSdocman ," full customization for all output formats, templates for MSDN-like output, custom XML comment tags "," linked graphical class diagrams, class inheritance tree ", internal links and links to .NET framework documentation , types extracted and linked 
23, YARD , customizable Ruby templates , class diagrams with extra tool , internal classes/modules cross-referenced and Ruby source highlighted , 
